Name,Boiling Point (F),Boiling Point (K),Compare Temp,Temperature (K),Pressure (atm),Density (Kg/m^3),Enthalpy (kJ/mol),Heat Capacity (Isobaric J/mol.K),Heat Capacity (Isobaric cal/mol.K),Reference,HFE (kcal/mol),Amoeba09 HFE (kcal/mol)
Acetaldehyde,69.8,294.15,50.15,244,1,841.43,28.933,,,DIPPR,-3.5,
Acetaldehyde,69.8,294.15,40.15,254,1,829.64,28.413,,,DIPPR,-3.5,
Acetaldehyde,69.8,294.15,30.15,264,1,817.62,27.857,,,DIPPR,-3.5,
Nitromethane,214.16,374.35,74.35,300,1,1126.2,38.164,,,DIPPR,-3.95,
Nitromethane,214.16,374.35,59.35,315,1,1105.8,37.474,,,DIPPR,-3.95,
Nitromethane,214.16,374.35,44.35,330,1,1085,36.769,,,DIPPR,-3.95,
Nitrobenzene,411.44,483.95,183.95,300,1,1196.7,54.907,,,DIPPR,-4.1,
Nitrobenzene,411.44,483.95,198.95,285,1,1211.3,55.645,,,DIPPR,-4.1,
Nitrobenzene,411.44,483.95,168.95,315,1,1181.8,54.152,,,DIPPR,-4.1,
Pyrolidine,187.83,359.7222222,59.72222222,300,1,857.84,37.153,,,DIPPR,-5.48,
Pyrolidine,187.83,359.7222222,44.72222222,315,1,843.8,36.245,,,DIPPR,-5.48,
Pyrolidine,187.83,359.7222222,74.72222222,285,1,772.55,38.055,,,DIPPR,-5.48,
