
Host: bme-nova.bme.utexas.edu

Timers On : Tue Dec 31 10:21:27 2019
Timers Off: Tue Dec 31 10:22:16 2019

Wall Time:       48.37 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
| | bMatrix pseudoinverse           :      0.083u      0.017s      0.015w    282 calls
| | New vector                      :      0.133u      0.050s      0.027w    282 calls
HF: Form C                          :      2.033u      0.117s      0.298w    301 calls
DFMP2 Singles                       :      0.050u      0.000s      0.004w     20 calls
DFMP2 Aia                           :     17.767u      0.583s      2.750w     20 calls
| DFMP2 (A|mn)                      :      4.300u      0.000s      0.649w     20 calls
| DFMP2 (A|mn)C_mi                  :      0.200u      0.000s      0.019w     20 calls
| DFMP2 (A|mi)C_na                  :      0.050u      0.000s      0.008w     20 calls
| DFMP2 Aia Write                   :      0.100u      0.067s      0.026w     20 calls
DFMP2 iaQ                           :     12.450u      0.550s      1.951w     20 calls
| DFMP2 Metric                      :     11.600u      0.433s      1.805w     20 calls
| DFMP2 Aia Read                    :      0.017u      0.017s      0.011w     20 calls
| DFMP2 (Q|A)(A|ia)                 :      0.300u      0.000s      0.053w     40 calls
| DFMP2 Qia Write                   :      0.117u      0.050s      0.026w     20 calls
| DFMP2 Qia Read                    :      0.017u      0.017s      0.005w     20 calls
| DFMP2 Bia Write                   :      0.167u      0.017s      0.026w     20 calls
DFMP2 aiQ                           :      0.283u      0.083s      0.057w     20 calls
DFMP2 Tij                           :      2.267u      0.167s      0.358w     20 calls
| DFMP2 Qia Read                    :      0.100u      0.000s      0.015w     40 calls
| DFMP2 Cia Read                    :      0.050u      0.000s      0.011w     20 calls
| DFMP2 I                           :      0.483u      0.000s      0.074w     20 calls
| DFMP2 T2                          :      0.383u      0.000s      0.057w     20 calls
| DFMP2 G                           :      0.533u      0.017s      0.076w     20 calls
| DFMP2 Pab                         :      0.083u      0.017s      0.021w     20 calls
| DFMP2 Gia Write                   :      0.150u      0.067s      0.029w     20 calls
DFMP2 Tab                           :      1.717u      0.083s      0.277w     20 calls
| DFMP2 Qai Read                    :      0.050u      0.033s      0.016w     40 calls
| DFMP2 I                           :      0.450u      0.000s      0.073w     20 calls
| DFMP2 T2                          :      0.517u      0.000s      0.085w     20 calls
| DFMP2 Pij                         :      0.350u      0.000s      0.047w     20 calls
DFMP2 gamma                         :      0.483u      0.017s      0.080w     20 calls
| DFMP2 Gia Read                    :      0.033u      0.000s      0.008w     20 calls
| DFMP2 Cia Read                    :      0.017u      0.000s      0.006w     20 calls
| DFMP2 g                           :      0.200u      0.000s      0.035w     20 calls
DFMP2 Gia                           :      0.533u      0.150s      0.099w     20 calls
| DFMP2 Gia Read                    :      0.000u      0.000s      0.005w     20 calls
| DFMP2 aiG Write                   :      0.067u      0.050s      0.017w     20 calls
DFMP2 AB^x                          :      8.900u      0.350s      1.391w     20 calls
DFMP2 Amn^x                         :     23.950u      0.583s      3.673w     20 calls
DFMP2 L                             :     18.333u      0.667s      2.854w     20 calls
DFMP2 P                             :      0.050u      0.017s      0.008w     20 calls
DFMP2 W                             :      0.050u      0.033s      0.009w     20 calls
