
Host: node37.bme.utexas.edu

Timers On : Wed Jul 28 13:50:09 2021
Timers Off: Wed Jul 28 13:50:27 2021

Wall Time:       18.21 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
HF: Form G                          :      0.733u      0.033s      0.119w     14 calls
| JK: D                             :      0.000u      0.000s      0.001w     14 calls
| JK: USO2AO                        :      0.000u      0.000s      0.000w     14 calls
| JK: JK                            :      0.717u      0.033s      0.115w     14 calls
| | DFH: compute_JK()               :      0.717u      0.033s      0.115w     14 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w     14 calls
| | | DFH: compute_J                :      0.100u      0.000s      0.018w     14 calls
| | | DFH: compute_K                :      0.617u      0.033s      0.095w     14 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     14 calls
HF: Form F                          :      0.000u      0.000s      0.001w     14 calls
HF: Form D                          :      0.017u      0.000s      0.001w     14 calls
HF: DIIS                            :      0.117u      0.000s      0.027w     13 calls
| DIISManager::add_entry            :      0.017u      0.000s      0.008w     13 calls
| DIISManager::extrapolate          :      0.067u      0.000s      0.007w     13 calls
| | bMatrix setup                   :      0.050u      0.000s      0.003w     13 calls
| | bMatrix pseudoinverse           :      0.017u      0.000s      0.001w     13 calls
| | New vector                      :      0.000u      0.000s      0.002w     13 calls
HF: Form C                          :      0.133u      0.017s      0.021w     13 calls
DFMP2 Singles                       :      0.000u      0.000s      0.000w      1 calls
DFMP2 Aia                           :      1.433u      0.067s      0.229w      1 calls
| DFMP2 (A|mn)                      :      0.483u      0.000s      0.075w      1 calls
| DFMP2 (A|mn)C_mi                  :      0.017u      0.000s      0.003w      1 calls
| DFMP2 (A|mi)C_na                  :      0.017u      0.000s      0.002w      1 calls
| DFMP2 Aia Write                   :      0.000u      0.000s      0.001w      1 calls
DFMP2 iaQ                           :      1.017u      0.067s      0.164w      1 calls
| DFMP2 Metric                      :      0.867u      0.050s      0.135w      1 calls
| DFMP2 Aia Read                    :      0.017u      0.000s      0.002w      1 calls
| DFMP2 (Q|A)(A|ia)                 :      0.050u      0.000s      0.009w      2 calls
| DFMP2 Qia Write                   :      0.017u      0.000s      0.002w      1 calls
| DFMP2 Qia Read                    :      0.000u      0.000s      0.001w      1 calls
| DFMP2 Bia Write                   :      0.017u      0.000s      0.002w      1 calls
DFMP2 aiQ                           :      0.050u      0.000s      0.011w      1 calls
DFMP2 Tij                           :      0.200u      0.017s      0.032w      1 calls
| DFMP2 Qia Read                    :      0.000u      0.000s      0.001w      2 calls
| DFMP2 Cia Read                    :      0.000u      0.017s      0.001w      1 calls
| DFMP2 I                           :      0.050u      0.000s      0.007w      1 calls
| DFMP2 T2                          :      0.017u      0.000s      0.002w      1 calls
| DFMP2 G                           :      0.033u      0.000s      0.007w      1 calls
| DFMP2 Pab                         :      0.017u      0.000s      0.002w      1 calls
| DFMP2 Gia Write                   :      0.000u      0.000s      0.002w      1 calls
DFMP2 Tab                           :      0.117u      0.000s      0.022w      1 calls
| DFMP2 Qai Read                    :      0.017u      0.000s      0.001w      2 calls
