
Host: node37.bme.utexas.edu

Timers On : Tue Feb 22 17:46:01 2022
Timers Off: Tue Feb 22 17:54:53 2022

Wall Time:      532.36 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
HF: Form S/X                        :      8.167u      0.600s      1.996w     10 calls
HF: Guess                           :     62.150u      4.383s     13.286w     10 calls
SAD Guess                           :     60.733u      4.233s     12.951w     10 calls
HF: Form G                          :    449.883u    173.183s    179.682w    114 calls
JK: D                               :      0.800u      0.033s      0.146w    114 calls
JK: USO2AO                          :      0.283u      0.050s      0.060w    114 calls
JK: JK                              :    446.567u    172.883s    178.888w    114 calls
DFH: compute_JK()                   :    446.567u    172.883s    178.886w    114 calls
DFH: Grabbing AOs                   :     24.350u    136.383s     85.164w    114 calls
DFH: compute_J                      :     70.433u      0.617s     14.090w    114 calls
DFH: compute_K                      :    333.633u     10.617s     63.793w    114 calls
JK: AO2USO                          :      0.000u      0.000s      0.001w    114 calls
HF: Form F                          :      0.683u      0.150s      0.196w    114 calls
HF: Form D                          :      1.483u      0.133s      0.367w    114 calls
HF: DIIS                            :     25.150u      3.067s      5.694w    104 calls
DIISManager::add_entry              :      2.667u      0.683s      0.650w    104 calls
DIISManager::extrapolate            :      6.383u      1.733s      1.565w    104 calls
bMatrix setup                       :      4.017u      1.133s      1.018w    104 calls
bMatrix pseudoinverse               :      0.067u      0.033s      0.013w    104 calls
New vector                          :      2.283u      0.567s      0.531w    104 calls
HF: Form C                          :     75.883u      4.183s     15.791w    104 calls
DFMP2 Singles                       :      1.250u      0.083s      0.296w     10 calls
DFMP2 Aia                           :    325.317u     19.300s     89.050w     10 calls
DFMP2 (A|mn)                        :    257.050u      0.200s     47.745w     10 calls
DFMP2 (A|mn)C_mi                    :     16.000u      0.317s      2.950w     10 calls
DFMP2 (A|mi)C_na                    :      9.367u      0.167s      1.756w     10 calls
DFMP2 Aia Write                     :      1.100u      0.600s      0.357w     10 calls
DFMP2 Qia                           :     69.583u      4.633s     15.997w     10 calls
DFMP2 Metric                        :     53.967u      3.033s     12.378w     10 calls
DFMP2 Aia Read                      :      0.483u      0.300s      0.201w     10 calls
DFMP2 (Q|A)(A|ia)                   :     11.467u      0.167s      2.361w     10 calls
DFMP2 Qia Write                     :      1.150u      0.517s      0.339w     10 calls
DFMP2 Energy                        :     37.383u      1.300s      7.637w     10 calls
DFMP2 Qia Read                      :      0.767u      0.250s      0.305w     20 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :     18.933u      0.100s     12.774w     10 calls
DFH: initialize()                   :    688.650u     42.300s    147.078w     10 calls
| DFH: AO Construction              :     59.150u      2.083s     12.780w      7 calls
| DFH: AO-Met. Contraction          :     60.883u      3.883s     14.587w      7 calls
| DFH: Total Workflow               :    523.833u     18.667s     97.558w      3 calls
| | DFH: AO Construction            :    236.667u      8.600s     43.754w      3 calls
| | DFH: AO-Met. Contraction        :    287.167u     10.067s     53.804w      3 calls
HF: Form core H                     :      0.600u      0.117s      0.407w     10 calls
HF: Form S/X                        :      8.167u      0.600s      1.996w     10 calls
HF: Guess                           :     62.150u      4.383s     13.286w     10 calls
| SAD Guess                         :     60.733u      4.233s     12.951w     10 calls
HF: Form G                          :    449.883u    173.183s    179.682w    114 calls
| JK: D                             :      0.800u      0.033s      0.146w    114 calls
| JK: USO2AO                        :      0.283u      0.050s      0.060w    114 calls
| JK: JK                            :    446.567u    172.883s    178.888w    114 calls
| | DFH: compute_JK()               :    446.567u    172.883s    178.886w    114 calls
| | | DFH: Grabbing AOs             :     24.350u    136.383s     85.164w    114 calls
| | | DFH: compute_J                :     70.433u      0.617s     14.090w    114 calls
| | | DFH: compute_K                :    333.633u     10.617s     63.793w    114 calls
| JK: AO2USO                        :      0.000u      0.000s      0.001w    114 calls
HF: Form F                          :      0.683u      0.150s      0.196w    114 calls
HF: Form D                          :      1.483u      0.133s      0.367w    114 calls
HF: DIIS                            :     25.150u      3.067s      5.694w    104 calls
| DIISManager::add_entry            :      2.667u      0.683s      0.650w    104 calls
| DIISManager::extrapolate          :      6.383u      1.733s      1.565w    104 calls
| | bMatrix setup                   :      4.017u      1.133s      1.018w    104 calls
| | bMatrix pseudoinverse           :      0.067u      0.033s      0.013w    104 calls
| | New vector                      :      2.283u      0.567s      0.531w    104 calls
HF: Form C                          :     75.883u      4.183s     15.791w    104 calls
DFMP2 Singles                       :      1.250u      0.083s      0.296w     10 calls
DFMP2 Aia                           :    325.317u     19.300s     89.050w     10 calls
| DFMP2 (A|mn)                      :    257.050u      0.200s     47.745w     10 calls
| DFMP2 (A|mn)C_mi                  :     16.000u      0.317s      2.950w     10 calls
| DFMP2 (A|mi)C_na                  :      9.367u      0.167s      1.756w     10 calls
| DFMP2 Aia Write                   :      1.100u      0.600s      0.357w     10 calls
DFMP2 Qia                           :     69.583u      4.633s     15.997w     10 calls
| DFMP2 Metric                      :     53.967u      3.033s     12.378w     10 calls
| DFMP2 Aia Read                    :      0.483u      0.300s      0.201w     10 calls
| DFMP2 (Q|A)(A|ia)                 :     11.467u      0.167s      2.361w     10 calls
| DFMP2 Qia Write                   :      1.150u      0.517s      0.339w     10 calls
DFMP2 Energy                        :     37.383u      1.300s      7.637w     10 calls
| DFMP2 Qia Read                    :      0.767u      0.250s      0.305w     20 calls

**************************************************************************************

Host: node37.bme.utexas.edu

Timers On : Tue Feb 22 17:55:07 2022
Timers Off: Tue Feb 22 18:03:23 2022

Wall Time:      495.62 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :     19.167u      0.117s     11.945w     10 calls
DFH: initialize()                   :    659.667u     43.133s    131.846w     10 calls
DFH: AO Construction                :    277.867u      9.900s     51.196w     10 calls
DFH: AO-Met. Contraction            :    337.100u     15.950s     60.304w     10 calls
DFH: Total Workflow                 :    497.833u     19.517s     88.708w      3 calls
HF: Form core H                     :      0.567u      0.167s      1.347w     10 calls
HF: Form S/X                        :      6.583u      0.450s      1.328w     10 calls
HF: Guess                           :     57.700u      3.600s     17.342w     10 calls
SAD Guess                           :     56.300u      3.483s     17.055w     10 calls
HF: Form G                          :    455.850u    171.950s    167.509w    113 calls
JK: D                               :      0.667u      0.050s      0.128w    113 calls
JK: USO2AO                          :      0.333u      0.017s      0.061w    113 calls
JK: JK                              :    453.083u    171.650s    166.927w    113 calls
DFH: compute_JK()                   :    453.083u    171.650s    166.925w    113 calls
DFH: Grabbing AOs                   :     26.400u    129.867s     80.789w    113 calls
DFH: compute_J                      :     80.267u      4.200s     14.562w    113 calls
DFH: compute_K                      :    325.233u     12.300s     56.435w    113 calls
JK: AO2USO                          :      0.000u      0.000s      0.001w    113 calls
HF: Form F                          :      1.083u      0.117s      0.230w    113 calls
HF: Form D                          :      1.083u      0.083s      0.204w    113 calls
HF: DIIS                            :     24.500u      2.750s      4.960w    103 calls
DIISManager::add_entry              :      2.933u      0.650s      0.625w    103 calls
DIISManager::extrapolate            :      6.300u      1.667s      1.377w    103 calls
bMatrix setup                       :      3.600u      1.100s      0.816w    103 calls
bMatrix pseudoinverse               :      0.133u      0.050s      0.015w    103 calls
New vector                          :      2.500u      0.517s      0.542w    103 calls
HF: Form C                          :     69.317u      3.250s     13.052w    103 calls
DFMP2 Singles                       :      0.867u      0.033s      0.136w     10 calls
DFMP2 Aia                           :    318.967u     21.017s     79.665w     10 calls
DFMP2 (A|mn)                        :    249.583u      1.333s     41.490w     10 calls
DFMP2 (A|mn)C_mi                    :     14.500u      0.750s      2.466w     10 calls
DFMP2 (A|mi)C_na                    :      9.017u      0.150s      1.540w     10 calls
DFMP2 Aia Write                     :      1.167u      0.550s      0.294w     10 calls
DFMP2 Qia                           :     60.867u      4.167s     13.606w     10 calls
DFMP2 Metric                        :     44.467u      2.250s     10.050w     10 calls
DFMP2 Aia Read                      :      0.467u      0.333s      0.253w     10 calls
DFMP2 (Q|A)(A|ia)                   :     11.733u      0.200s      2.217w     10 calls
DFMP2 Qia Write                     :      1.383u      0.667s      0.351w     10 calls
DFMP2 Energy                        :     35.650u      1.700s      6.331w     10 calls
DFMP2 Qia Read                      :      0.617u      0.250s      0.287w     20 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :     19.167u      0.117s     11.945w     10 calls
DFH: initialize()                   :    659.667u     43.133s    131.846w     10 calls
| DFH: AO Construction              :     55.817u      1.783s     11.191w      7 calls
| DFH: AO-Met. Contraction          :     61.317u      4.550s     11.600w      7 calls
| DFH: Total Workflow               :    497.833u     19.517s     88.708w      3 calls
| | DFH: AO Construction            :    222.050u      8.117s     40.005w      3 calls
| | DFH: AO-Met. Contraction        :    275.783u     11.400s     48.703w      3 calls
HF: Form core H                     :      0.567u      0.167s      1.347w     10 calls
HF: Form S/X                        :      6.583u      0.450s      1.328w     10 calls
HF: Guess                           :     57.700u      3.600s     17.342w     10 calls
| SAD Guess                         :     56.300u      3.483s     17.055w     10 calls
HF: Form G                          :    455.850u    171.950s    167.509w    113 calls
| JK: D                             :      0.667u      0.050s      0.128w    113 calls
| JK: USO2AO                        :      0.333u      0.017s      0.061w    113 calls
| JK: JK                            :    453.083u    171.650s    166.927w    113 calls
| | DFH: compute_JK()               :    453.083u    171.650s    166.925w    113 calls
| | | DFH: Grabbing AOs             :     26.400u    129.867s     80.789w    113 calls
| | | DFH: compute_J                :     80.267u      4.200s     14.562w    113 calls
| | | DFH: compute_K                :    325.233u     12.300s     56.435w    113 calls
| JK: AO2USO                        :      0.000u      0.000s      0.001w    113 calls
HF: Form F                          :      1.083u      0.117s      0.230w    113 calls
HF: Form D                          :      1.083u      0.083s      0.204w    113 calls
HF: DIIS                            :     24.500u      2.750s      4.960w    103 calls
| DIISManager::add_entry            :      2.933u      0.650s      0.625w    103 calls
| DIISManager::extrapolate          :      6.300u      1.667s      1.377w    103 calls
| | bMatrix setup                   :      3.600u      1.100s      0.816w    103 calls
| | bMatrix pseudoinverse           :      0.133u      0.050s      0.015w    103 calls
| | New vector                      :      2.500u      0.517s      0.542w    103 calls
HF: Form C                          :     69.317u      3.250s     13.052w    103 calls
DFMP2 Singles                       :      0.867u      0.033s      0.136w     10 calls
DFMP2 Aia                           :    318.967u     21.017s     79.665w     10 calls
| DFMP2 (A|mn)                      :    249.583u      1.333s     41.490w     10 calls
| DFMP2 (A|mn)C_mi                  :     14.500u      0.750s      2.466w     10 calls
| DFMP2 (A|mi)C_na                  :      9.017u      0.150s      1.540w     10 calls
| DFMP2 Aia Write                   :      1.167u      0.550s      0.294w     10 calls
DFMP2 Qia                           :     60.867u      4.167s     13.606w     10 calls
| DFMP2 Metric                      :     44.467u      2.250s     10.050w     10 calls
| DFMP2 Aia Read                    :      0.467u      0.333s      0.253w     10 calls
| DFMP2 (Q|A)(A|ia)                 :     11.733u      0.200s      2.217w     10 calls
| DFMP2 Qia Write                   :      1.383u      0.667s      0.351w     10 calls
DFMP2 Energy                        :     35.650u      1.700s      6.331w     10 calls
