
     ######################################################################
   ##########################################################################
  ###                                                                      ###
 ###            Tinker  ---  Software Tools for Molecular Design            ###
 ##                                                                          ##
 ##                      Version 8.9.4   September 2021                      ##
 ##                                                                          ##
 ##               Copyright (c)  Jay William Ponder  1990-2021               ##
 ###                           All Rights Reserved                          ###
  ###                                                                      ###
   ##########################################################################
     ######################################################################


 Additional Atom Definition Parameters :

     Type  Class  Symbol  Description               Atomic    Mass   Valence

      402   402     Cl    CHCl3                       17     35.453     1
      401   401     C     CHCl3                        6     12.011     4
      403   403     H     CHCl3                        1      1.008     1

 Additional Bond Stretching Parameters :

     Atom Classes             K(S)         Length

       401 402             272.148         1.7600
       403 401             391.278         1.0900

 Additional Angle Bending Parameters :

     Atom Classes             K(B)          Angle

     402 401 402           114.900        111.250
     403 401 402            43.615        107.620

 Additional Stretch-Bend Parameters :

     Atom Classes          K(SB)-1        K(SB)-2

     402 401 402             5.713          5.713
     403 401 402             5.713          5.713

 Additional Atomic Multipole Parameters :

     Atom Type     Coordinate Frame Definition         Multipole Moments

         402      401      0      0   Z-Only      -0.09880
                                                   0.00000  0.00000  0.05552
                                                  -0.65260
                                                   0.00000 -0.65260
                                                   0.00000  0.00000  1.30520

         401      402    402    402   3-Fold       0.19385
                                                  -0.00213  0.00000  0.32219
                                                   0.30491
                                                   0.00000  0.30607
                                                   0.00059  0.00000 -0.61098

         403      401      0      0   Z-Only       0.10255
                                                   0.00000  0.00000 -0.18734
                                                   0.03579
                                                   0.00000  0.03579
                                                   0.00000  0.00000 -0.07158

 Additional Atomic Dipole Polarizability Parameters :

     Atom Type           Alpha       Thole     Group Atom Types

         402             2.337       0.390         401
         401             1.620       0.390         402  403
         403             0.480       0.390         401

 Additional van der Waals Parameters :

     Atom Class               Size        Epsilon        Reduction

         401                3.8200         0.1010          0.000
         402                3.8980         0.3620          0.000
         403                2.9600         0.0240          0.920

 Additional Solvation Parameters :

     Atom Type                PB Size     CS Size     GK Size

         403             2.9089      2.8360      3.5214
         401             3.3967      3.2550      4.7385

 Limited Memory BFGS Quasi-Newton Optimization :

 QN Iter     F Value      G RMS      F Move   X Move   Angle  FG Call  Comment

     0      110.3566   125.4565                                   1
     1       75.2817   113.9685     35.0750   0.0702    0.00      3    Success 
     2       51.5732    49.6321     23.7084   0.0470   42.21      4    Success 
     3       34.8043    23.9912     16.7689   0.0765   33.45      5    Success 
     4       25.7428    21.7283      9.0616   0.0672   23.45      6    Success 
     5       19.6214    73.1080      6.1214   0.1307   37.08      7    Success 
     6       11.3792    29.1624      8.2422   0.0605   69.76      8    Success 
     7        7.6626    21.1501      3.7166   0.0754   72.27      9    Success 
     8        3.9123    17.5558      3.7503   0.0796   68.09     10    Success 
     9        1.0685    16.5452      2.8439   0.1091   70.00     11    Success 
    10        0.2590    13.0404      0.8094   0.0410   70.55     12    Success 
    11       -0.2699     4.5751      0.5290   0.0113   49.32     13    Success 
    12       -0.4168     3.6971      0.1469   0.0134   59.98     14    Success 
    13       -0.4704     3.2073      0.0536   0.0109   78.28     15    Success 
    14       -0.5494     2.0224      0.0789   0.0229   79.50     16    Success 
    15       -0.6098     1.8381      0.0604   0.0307   79.66     17    Success 
    16       -0.6436     2.9828      0.0338   0.0348   81.73     18    Success 
    17       -0.6722     1.3775      0.0285   0.0201   84.75     19    Success 
    18       -0.6821     0.6394      0.0100   0.0123   83.59     20    Success 
    19       -0.6862     0.5794      0.0040   0.0063   79.73     21    Success 
    20       -0.6893     0.5607      0.0031   0.0049   78.90     22    Success 
    21       -0.6915     0.5863      0.0022   0.0045   77.61     23    Success 
    22       -0.6930     0.3675      0.0016   0.0021   71.75     24    Success 
    23       -0.6940     0.3858      0.0009   0.0006   55.45     25    Success 
    24       -0.6957     0.4478      0.0017   0.0012   58.73     26    Success 
    25       -0.6987     0.6233      0.0030   0.0023   65.25     27    Success 
    26       -0.7040     0.8240      0.0053   0.0046   74.71     28    Success 
    27       -0.7132     1.3226      0.0092   0.0087   79.30     29    Success 
    28       -0.7273     2.1155      0.0140   0.0164   83.89     30    Success 
    29       -0.7433     3.3389      0.0161   0.0266   86.42     31    Success 
    30       -0.7679     2.3266      0.0246   0.0163   85.77     32    Success 
    31       -0.8042     2.8870      0.0362   0.0280   84.58     33    Success 
    32       -0.8494     1.4294      0.0452   0.0203   81.10     34    Success 
    33       -0.8607     1.2958      0.0113   0.0112   83.13     35    Success 
    34       -0.8720     1.9774      0.0113   0.0185   83.43     36    Success 
    35       -0.8886     1.3037      0.0166   0.0165   85.15     37    Success 
    36       -0.9083     1.8994      0.0197   0.0285   84.19     38    Success 
    37       -0.9188     2.4407      0.0105   0.0233   83.59     39    Success 
    38       -0.9318     2.2632      0.0130   0.0206   87.01     40    Success 
    39       -0.9455     1.0286      0.0136   0.0033   68.03     41    Success 
    40       -0.9509     1.1167      0.0054   0.0094   84.62     42    Success 
    41       -0.9584     0.7975      0.0075   0.0094   82.55     43    Success 
    42       -0.9630     1.4603      0.0046   0.0158   85.55     45    Success 
    43       -0.9696     0.9327      0.0066   0.0088   84.91     46    Success 
    44       -0.9762     0.8984      0.0066   0.0150   85.17     47    Success 
    45       -0.9829     0.6850      0.0067   0.0165   84.94     48    Success 
    46       -0.9857     1.0749      0.0028   0.0133   86.19     50    Success 
    47       -0.9893     0.6955      0.0036   0.0074   85.02     51    Success 
    48       -0.9930     0.5609      0.0037   0.0129   85.71     52    Success 
    49       -0.9960     0.7762      0.0030   0.0113   82.72     53    Success 
    50       -0.9984     0.6658      0.0024   0.0134   87.22     54    Success 
    51       -1.0001     0.9031      0.0018   0.0070   82.63     55    Success 
    52       -1.0028     0.6574      0.0026   0.0107   87.37     56    Success 
    53       -1.0055     0.5791      0.0028   0.0120   86.01     57    Success 
    54       -1.0078     0.5718      0.0023   0.0076   85.69     58    Success 
    55       -1.0110     0.8235      0.0032   0.0183   86.90     59    Success 
    56       -1.0159     0.5510      0.0049   0.0143   86.07     60    Success 
    57       -1.0202     0.8063      0.0043   0.0277   86.72     61    Success 
    58       -1.0250     0.5464      0.0048   0.0153   84.99     62    Success 
    59       -1.0277     1.0709      0.0027   0.0366   87.55     63    Success 
    60       -1.0319     0.5260      0.0042   0.0021   71.86     64    Success 
    61       -1.0390     0.3579      0.0071   0.0211   84.57     65    Success 
    62       -1.0493     1.1954      0.0102   0.0383   82.51     66    Success 
    63       -1.0636     1.5462      0.0143   0.0297   85.86     67    Success 
    64       -1.0826     0.8976      0.0190   0.0186   82.86     68    Success 
    65       -1.0914     1.3758      0.0088   0.0269   85.55     70    Success 
    66       -1.1031     0.9623      0.0117   0.0191   85.19     71    Success 
    67       -1.1164     1.1151      0.0133   0.0174   79.99     72    Success 
    68       -1.1280     0.6573      0.0117   0.0141   82.50     73    Success 
    69       -1.1337     1.9375      0.0056   0.0299   82.71     74    Success 
    70       -1.1418     1.5582      0.0081   0.0064   83.48     75    Success 
    71       -1.1508     0.6905      0.0090   0.0106   83.47     76    Success 
    72       -1.1573     0.8906      0.0065   0.0126   82.61     77    Success 
    73       -1.1650     0.8204      0.0077   0.0164   83.58     78    Success 
    74       -1.1698     1.0724      0.0048   0.0082   77.57     79    Success 
    75       -1.1718     1.0340      0.0020   0.0093   84.29     80    Success 
    76       -1.1752     0.6049      0.0033   0.0044   83.67     81    Success 
    77       -1.1800     0.5305      0.0048   0.0105   82.46     82    Success 
    78       -1.1848     1.1158      0.0048   0.0151   83.66     83    Success 
    79       -1.1923     0.9974      0.0075   0.0192   86.80     84    Success 
    80       -1.2017     1.8662      0.0094   0.0344   86.88     85    Success 
    81       -1.2148     1.3337      0.0132   0.0310   87.68     86    Success 
    82       -1.2260     1.4352      0.0112   0.0276   86.41     87    Success 
    83       -1.2282     1.8295      0.0022   0.0143   82.18     88    Success 
    84       -1.2322     1.3630      0.0040   0.0025   83.00     89    Success 
    85       -1.2385     0.6566      0.0063   0.0075   84.36     90    Success 
    86       -1.2425     1.1473      0.0040   0.0086   79.77     91    Success 
    87       -1.2443     0.9551      0.0018   0.0029   85.88     92    Success 
    88       -1.2474     0.8574      0.0032   0.0095   87.24     93    Success 
    89       -1.2531     0.6318      0.0056   0.0116   85.43     94    Success 
    90       -1.2621     1.0084      0.0090   0.0276   85.35     95    Success 
    91       -1.2751     1.3496      0.0130   0.0308   85.83     96    Success 
    92       -1.2814     2.3010      0.0063   0.0365   86.23     97    Success 
    93       -1.2911     1.4536      0.0097   0.0040   80.03     98    Success 
    94       -1.3016     1.1354      0.0105   0.0212   85.51     99    Success 
    95       -1.3095     0.9946      0.0079   0.0083   79.11    100    Success 
    96       -1.3185     1.3552      0.0090   0.0306   86.26    101    Success 
    97       -1.3289     1.0366      0.0104   0.0203   86.18    102    Success 
    98       -1.3401     0.8494      0.0112   0.0089   73.78    103    Success 
    99       -1.3478     1.3819      0.0078   0.0235   85.67    105    Success 
   100       -1.3547     1.4417      0.0068   0.0205   87.01    106    Success 
   101       -1.3640     0.6955      0.0093   0.0089   82.40    107    Success 
   102       -1.3710     2.4114      0.0070   0.0324   84.07    108    Success 
   103       -1.3817     1.2338      0.0107   0.0048   81.30    109    Success 
   104       -1.3931     0.9297      0.0114   0.0273   86.02    110    Success 
   105       -1.3971     0.8766      0.0040   0.0053   78.11    112    Success 
   106       -1.4022     0.9678      0.0051   0.0145   85.47    113    Success 
   107       -1.4079     0.9599      0.0057   0.0062   79.82    114    Success 
   108       -1.4157     1.7437      0.0078   0.0162   84.74    115    Success 
   109       -1.4285     1.8183      0.0128   0.0118   84.56    116    Success 
   110       -1.4480     1.1439      0.0195   0.0139   82.74    117    Success 
   111       -1.4589     2.1288      0.0109   0.0167   82.80    119    Success 
   112       -1.4721     1.1460      0.0131   0.0125   84.09    120    Success 
   113       -1.4831     1.8713      0.0110   0.0174   84.12    121    Success 
   114       -1.4986     1.5778      0.0155   0.0168   84.98    122    Success 
   115       -1.5177     1.4131      0.0191   0.0237   84.23    123    Success 
   116       -1.5262     1.4841      0.0085   0.0174   85.04    124    Success 
   117       -1.5292     1.7154      0.0030   0.0088   86.88    126    Success 
   118       -1.5343     1.3629      0.0050   0.0023   78.64    127    Success 
   119       -1.5417     0.9153      0.0074   0.0056   80.53    128    Success 
   120       -1.5479     1.1623      0.0062   0.0101   80.18    129    Success 
   121       -1.5565     0.7961      0.0085   0.0069   78.75    130    Success 
   122       -1.5645     1.4715      0.0080   0.0128   80.09    131    Success 
   123       -1.5680     1.4964      0.0036   0.0118   83.38    132    Success 
   124       -1.5732     0.9312      0.0051   0.0047   82.72    133    Success 
   125       -1.5768     0.6919      0.0036   0.0051   81.86    134    Success 
   126       -1.5791     1.0272      0.0024   0.0061   83.80    135    Success 
   127       -1.5819     0.7116      0.0028   0.0048   83.00    136    Success 
   128       -1.5850     0.7317      0.0030   0.0073   83.94    137    Success 
   129       -1.5882     0.5794      0.0032   0.0057   82.00    138    Success 
   130       -1.5908     0.5281      0.0026   0.0073   83.77    139    Success 
   131       -1.5933     0.7014      0.0025   0.0093   82.35    140    Success 
   132       -1.5948     0.8621      0.0015   0.0077   86.63    142    Success 
   133       -1.5970     0.5814      0.0022   0.0050   85.06    143    Success 
