
Host: node165.bme.utexas.edu

Timers On : Sat Nov 18 08:15:53 2023
Timers Off: Sat Nov 18 08:16:05 2023

Wall Time:       11.24 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: compute_wK()                   :      6.267u      0.917s      0.868w     10 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     10 calls
HF: Form F                          :      0.033u      0.000s      0.002w     10 calls
HF: Form D                          :      0.000u      0.000s      0.001w     10 calls
HF: DIIS                            :      1.183u      0.117s      0.162w      9 calls
HF: Form C                          :      0.400u      0.000s      0.047w      9 calls

--------------------------------------------------------------------------------------
V: Grid                             :      2.600u      0.067s      0.325w      1 calls
| build grid                        :      1.817u      0.033s      0.224w      1 calls
| post-process grid                 :      0.783u      0.033s      0.101w      1 calls
DFH: sparsity prep                  :      0.067u      0.000s      0.045w      1 calls
| Libint2ERI::Libint2ERI            :      0.050u      0.000s      0.031w      1 calls
DFH: initialize()                   :     25.267u      0.667s      3.169w      1 calls
| Libint2ERI::Libint2ERI            :      0.233u      0.000s      0.028w      6 calls
| Libint2ErfERI::Libint2ErfERI      :      0.300u      0.000s      0.036w      1 calls
| DFH: AO Construction              :      3.400u      0.033s      0.415w      1 calls
| DFH: AO-Met. Contraction          :      6.617u      0.083s      0.811w      2 calls
| DFH: wAO Construction             :      6.700u      0.017s      0.809w      1 calls
| DFH: wAO Copy                     :      2.050u      0.017s      0.253w      1 calls
HF: Form core H                     :      0.150u      0.000s      0.020w      1 calls
HF: Form S/X                        :      0.100u      0.000s      0.012w      1 calls
HF: Guess                           :      0.567u      0.033s      0.071w      1 calls
| SAD Guess                         :      0.550u      0.017s      0.069w      1 calls
HF: Form G                          :     38.850u      3.700s      5.191w     10 calls
| RV: Form V                        :     27.917u      2.233s      3.693w     10 calls
| | Properties                      :      6.434p                          23830 calls
| | Functional                      :      2.039p                          23830 calls
| | V_xc                            :      9.905p                          23830 calls
| JK: D                             :      0.033u      0.000s      0.001w     10 calls
| JK: USO2AO                        :      0.017u      0.000s      0.000w     10 calls
| JK: JK                            :     10.833u      1.467s      1.492w     10 calls
| | DFH: compute_JK()               :      4.567u      0.550s      0.622w     10 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w     10 calls
| | | DFH: compute_J                :      0.850u      0.250s      0.134w     10 calls
| | | DFH: compute_K                :      2.700u      0.150s      0.347w     10 calls
| | DFH: compute_wK()               :      6.267u      0.917s      0.868w     10 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     10 calls
HF: Form F                          :      0.033u      0.000s      0.002w     10 calls
HF: Form D                          :      0.000u      0.000s      0.001w     10 calls
HF: DIIS                            :      1.183u      0.117s      0.162w      9 calls
HF: Form C                          :      0.400u      0.000s      0.047w      9 calls

**************************************************************************************

Host: node165.bme.utexas.edu

Timers On : Sat Nov 18 08:16:16 2023
Timers Off: Sat Nov 18 08:16:27 2023

Wall Time:       10.74 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      3.200u      0.100s      0.405w      1 calls
build grid                          :      2.450u      0.050s      0.300w      1 calls
post-process grid                   :      0.750u      0.050s      0.105w      1 calls
DFH: sparsity prep                  :      0.083u      0.000s      0.055w      1 calls
Libint2ERI::Libint2ERI              :      0.317u      0.017s      0.069w      7 calls
DFH: initialize()                   :     23.583u      0.817s      3.038w      1 calls
Libint2ErfERI::Libint2ErfERI        :      0.300u      0.017s      0.038w      1 calls
DFH: AO Construction                :      3.233u      0.067s      0.397w      1 calls
DFH: AO-Met. Contraction            :      7.000u      0.100s      0.864w      2 calls
DFH: wAO Construction               :      5.200u      0.000s      0.626w      1 calls
DFH: wAO Copy                       :      1.850u      0.017s      0.226w      1 calls
HF: Form core H                     :      0.133u      0.000s      0.016w      1 calls
HF: Form S/X                        :      0.067u      0.017s      0.007w      1 calls
HF: Guess                           :      0.383u      0.017s      0.050w      1 calls
SAD Guess                           :      0.383u      0.017s      0.049w      1 calls
HF: Form G                          :     42.267u      1.817s      5.326w     10 calls
RV: Form V                          :     31.367u      0.567s      3.868w     10 calls
Properties                          :      5.718p                          23620 calls
Functional                          :      2.258p                          23620 calls
V_xc                                :     11.271p                          23620 calls
JK: D                               :      0.000u      0.000s      0.001w     10 calls
JK: USO2AO                          :      0.017u      0.000s      0.000w     10 calls
JK: JK                              :     10.817u      1.250s      1.453w     10 calls
DFH: compute_JK()                   :      4.550u      0.550s      0.617w     10 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w     10 calls
DFH: compute_J                      :      0.850u      0.017s      0.106w     10 calls
DFH: compute_K                      :      2.783u      0.350s      0.382w     10 calls
DFH: compute_wK()                   :      6.233u      0.700s      0.834w     10 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     10 calls
HF: Form F                          :      0.033u      0.000s      0.002w     10 calls
HF: Form D                          :      0.000u      0.000s      0.001w     10 calls
HF: DIIS                            :      1.200u      0.083s      0.157w      9 calls
HF: Form C                          :      0.450u      0.000s      0.053w      9 calls

--------------------------------------------------------------------------------------
V: Grid                             :      3.200u      0.100s      0.405w      1 calls
| build grid                        :      2.450u      0.050s      0.300w      1 calls
| post-process grid                 :      0.750u      0.050s      0.105w      1 calls
DFH: sparsity prep                  :      0.083u      0.000s      0.055w      1 calls
| Libint2ERI::Libint2ERI            :      0.067u      0.000s      0.037w      1 calls
DFH: initialize()                   :     23.583u      0.817s      3.038w      1 calls
| Libint2ERI::Libint2ERI            :      0.250u      0.017s      0.032w      6 calls
| Libint2ErfERI::Libint2ErfERI      :      0.300u      0.017s      0.038w      1 calls
| DFH: AO Construction              :      3.233u      0.067s      0.397w      1 calls
| DFH: AO-Met. Contraction          :      7.000u      0.100s      0.864w      2 calls
| DFH: wAO Construction             :      5.200u      0.000s      0.626w      1 calls
| DFH: wAO Copy                     :      1.850u      0.017s      0.226w      1 calls
HF: Form core H                     :      0.133u      0.000s      0.016w      1 calls
HF: Form S/X                        :      0.067u      0.017s      0.007w      1 calls
HF: Guess                           :      0.383u      0.017s      0.050w      1 calls
| SAD Guess                         :      0.383u      0.017s      0.049w      1 calls
HF: Form G                          :     42.267u      1.817s      5.326w     10 calls
| RV: Form V                        :     31.367u      0.567s      3.868w     10 calls
| | Properties                      :      5.718p                          23620 calls
| | Functional                      :      2.258p                          23620 calls
| | V_xc                            :     11.271p                          23620 calls
| JK: D                             :      0.000u      0.000s      0.001w     10 calls
| JK: USO2AO                        :      0.017u      0.000s      0.000w     10 calls
| JK: JK                            :     10.817u      1.250s      1.453w     10 calls
| | DFH: compute_JK()               :      4.550u      0.550s      0.617w     10 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w     10 calls
| | | DFH: compute_J                :      0.850u      0.017s      0.106w     10 calls
| | | DFH: compute_K                :      2.783u      0.350s      0.382w     10 calls
| | DFH: compute_wK()               :      6.233u      0.700s      0.834w     10 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     10 calls
HF: Form F                          :      0.033u      0.000s      0.002w     10 calls
HF: Form D                          :      0.000u      0.000s      0.001w     10 calls
HF: DIIS                            :      1.200u      0.083s      0.157w      9 calls
HF: Form C                          :      0.450u      0.000s      0.053w      9 calls

**************************************************************************************

Host: node165.bme.utexas.edu

Timers On : Sat Nov 18 08:16:27 2023
Timers Off: Sat Nov 18 08:16:37 2023

Wall Time:        9.69 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      3.217u      0.067s      0.394w      1 calls
build grid                          :      1.917u      0.017s      0.235w      1 calls
post-process grid                   :      1.283u      0.050s      0.159w      1 calls
DFH: sparsity prep                  :      0.067u      0.000s      0.044w      1 calls
Libint2ERI::Libint2ERI              :      0.367u      0.017s      0.070w      7 calls
DFH: initialize()                   :     19.967u      0.633s      2.494w      1 calls
Libint2ErfERI::Libint2ErfERI        :      0.400u      0.017s      0.048w      1 calls
DFH: AO Construction                :      2.850u      0.033s      0.348w      1 calls
DFH: AO-Met. Contraction            :      5.350u      0.033s      0.648w      2 calls
DFH: wAO Construction               :      4.217u      0.000s      0.508w      1 calls
DFH: wAO Copy                       :      1.783u      0.017s      0.216w      1 calls
HF: Form core H                     :      0.133u      0.000s      0.016w      1 calls
HF: Form S/X                        :      0.033u      0.000s      0.006w      1 calls
HF: Guess                           :      0.417u      0.017s      0.052w      1 calls
SAD Guess                           :      0.400u      0.017s      0.051w      1 calls
HF: Form G                          :     40.267u      1.233s      4.998w     10 calls
RV: Form V                          :     29.217u      0.083s      3.529w     10 calls
Properties                          :      5.003p                          23700 calls
Functional                          :      2.167p                          23700 calls
V_xc                                :     10.394p                          23700 calls
JK: D                               :      0.000u      0.000s      0.001w     10 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w     10 calls
JK: JK                              :     11.033u      1.150s      1.465w     10 calls
DFH: compute_JK()                   :      4.500u      0.450s      0.599w     10 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w     10 calls
DFH: compute_J                      :      0.817u      0.000s      0.098w     10 calls
DFH: compute_K                      :      2.750u      0.267s      0.361w     10 calls
DFH: compute_wK()                   :      6.500u      0.700s      0.864w     10 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     10 calls
HF: Form F                          :      0.000u      0.000s      0.002w     10 calls
HF: Form D                          :      0.017u      0.000s      0.001w     10 calls
HF: DIIS                            :      1.450u      0.083s      0.189w      9 calls
HF: Form C                          :      0.450u      0.000s      0.055w      9 calls

--------------------------------------------------------------------------------------
V: Grid                             :      3.217u      0.067s      0.394w      1 calls
| build grid                        :      1.917u      0.017s      0.235w      1 calls
| post-process grid                 :      1.283u      0.050s      0.159w      1 calls
DFH: sparsity prep                  :      0.067u      0.000s      0.044w      1 calls
| Libint2ERI::Libint2ERI            :      0.050u      0.000s      0.030w      1 calls
DFH: initialize()                   :     19.967u      0.633s      2.494w      1 calls
| Libint2ERI::Libint2ERI            :      0.317u      0.017s      0.040w      6 calls
| Libint2ErfERI::Libint2ErfERI      :      0.400u      0.017s      0.048w      1 calls
| DFH: AO Construction              :      2.850u      0.033s      0.348w      1 calls
| DFH: AO-Met. Contraction          :      5.350u      0.033s      0.648w      2 calls
| DFH: wAO Construction             :      4.217u      0.000s      0.508w      1 calls
| DFH: wAO Copy                     :      1.783u      0.017s      0.216w      1 calls
HF: Form core H                     :      0.133u      0.000s      0.016w      1 calls
HF: Form S/X                        :      0.033u      0.000s      0.006w      1 calls
HF: Guess                           :      0.417u      0.017s      0.052w      1 calls
| SAD Guess                         :      0.400u      0.017s      0.051w      1 calls
HF: Form G                          :     40.267u      1.233s      4.998w     10 calls
| RV: Form V                        :     29.217u      0.083s      3.529w     10 calls
| | Properties                      :      5.003p                          23700 calls
| | Functional                      :      2.167p                          23700 calls
| | V_xc                            :     10.394p                          23700 calls
| JK: D                             :      0.000u      0.000s      0.001w     10 calls
| JK: USO2AO                        :      0.000u      0.000s      0.000w     10 calls
| JK: JK                            :     11.033u      1.150s      1.465w     10 calls
| | DFH: compute_JK()               :      4.500u      0.450s      0.599w     10 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w     10 calls
| | | DFH: compute_J                :      0.817u      0.000s      0.098w     10 calls
| | | DFH: compute_K                :      2.750u      0.267s      0.361w     10 calls
| | DFH: compute_wK()               :      6.500u      0.700s      0.864w     10 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     10 calls
HF: Form F                          :      0.000u      0.000s      0.002w     10 calls
HF: Form D                          :      0.017u      0.000s      0.001w     10 calls
HF: DIIS                            :      1.450u      0.083s      0.189w      9 calls
HF: Form C                          :      0.450u      0.000s      0.055w      9 calls

**************************************************************************************

Host: node165.bme.utexas.edu

Timers On : Sat Nov 18 08:16:37 2023
Timers Off: Sat Nov 18 08:16:50 2023

Wall Time:       12.98 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      2.917u      0.067s      0.359w      1 calls
build grid                          :      2.233u      0.033s      0.273w      1 calls
post-process grid                   :      0.683u      0.033s      0.086w      1 calls
DFH: sparsity prep                  :      0.083u      0.000s      0.042w      1 calls
Libint2ERI::Libint2ERI              :      0.250u      0.000s      0.055w      7 calls
DFH: initialize()                   :     25.617u      0.750s      3.204w      1 calls
Libint2ErfERI::Libint2ErfERI        :      0.250u      0.000s      0.030w      1 calls
DFH: AO Construction                :      3.250u      0.050s      0.396w      1 calls
