
Host: node165.bme.utexas.edu

Timers On : Sat Nov 18 08:25:34 2023
Timers Off: Sat Nov 18 08:25:58 2023

Wall Time:       24.14 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      4.050u      0.083s      0.777w      1 calls
build grid                          :      3.083u      0.017s      0.561w      1 calls
post-process grid                   :      0.967u      0.067s      0.216w      1 calls
DFH: sparsity prep                  :      0.133u      0.017s      0.128w      1 calls
Libint2ERI::Libint2ERI              :      0.433u      0.017s      0.127w      7 calls
DFH: initialize()                   :     36.467u      1.083s      5.916w      1 calls
Libint2ErfERI::Libint2ErfERI        :      0.433u      0.017s      0.061w      1 calls
DFH: AO Construction                :      5.267u      0.067s      0.755w      1 calls
DFH: AO-Met. Contraction            :     10.000u      0.050s      1.565w      2 calls
DFH: wAO Construction               :      7.733u      0.000s      1.087w      1 calls
DFH: wAO Copy                       :      2.083u      0.050s      0.275w      1 calls
HF: Form core H                     :      0.600u      0.000s      0.108w      1 calls
HF: Form S/X                        :      0.083u      0.000s      0.010w      1 calls
HF: Guess                           :      1.467u      0.050s      0.271w      1 calls
SAD Guess                           :      1.450u      0.050s      0.268w      1 calls
HF: Form G                          :     59.767u      2.667s      8.662w     10 calls
RV: Form V                          :     43.117u      0.567s      6.061w     10 calls
Properties                          :      8.419p                          30040 calls
Functional                          :      3.780p                          30040 calls
V_xc                                :     17.823p                          30040 calls
JK: D                               :      0.000u      0.000s      0.001w     10 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w     10 calls
JK: JK                              :     16.600u      2.100s      2.589w     10 calls
DFH: compute_JK()                   :      6.833u      0.650s      0.977w     10 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w     10 calls
DFH: compute_J                      :      1.183u      0.000s      0.151w     10 calls
DFH: compute_K                      :      4.550u      0.433s      0.660w     10 calls
DFH: compute_wK()                   :      9.767u      1.450s      1.609w     10 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     10 calls
HF: Form F                          :      0.033u      0.000s      0.003w     10 calls
HF: Form D                          :      0.000u      0.017s      0.002w     10 calls
HF: DIIS                            :      1.467u      0.100s      1.356w      9 calls
HF: Form C                          :      0.683u      0.033s      0.110w      9 calls

--------------------------------------------------------------------------------------
V: Grid                             :      4.050u      0.083s      0.777w      1 calls
| build grid                        :      3.083u      0.017s      0.561w      1 calls
| post-process grid                 :      0.967u      0.067s      0.216w      1 calls
DFH: sparsity prep                  :      0.133u      0.017s      0.128w      1 calls
| Libint2ERI::Libint2ERI            :      0.083u      0.017s      0.080w      1 calls
DFH: initialize()                   :     36.467u      1.083s      5.916w      1 calls
| Libint2ERI::Libint2ERI            :      0.350u      0.000s      0.047w      6 calls
| Libint2ErfERI::Libint2ErfERI      :      0.433u      0.017s      0.061w      1 calls
| DFH: AO Construction              :      5.267u      0.067s      0.755w      1 calls
| DFH: AO-Met. Contraction          :     10.000u      0.050s      1.565w      2 calls
| DFH: wAO Construction             :      7.733u      0.000s      1.087w      1 calls
| DFH: wAO Copy                     :      2.083u      0.050s      0.275w      1 calls
HF: Form core H                     :      0.600u      0.000s      0.108w      1 calls
HF: Form S/X                        :      0.083u      0.000s      0.010w      1 calls
HF: Guess                           :      1.467u      0.050s      0.271w      1 calls
| SAD Guess                         :      1.450u      0.050s      0.268w      1 calls
HF: Form G                          :     59.767u      2.667s      8.662w     10 calls
| RV: Form V                        :     43.117u      0.567s      6.061w     10 calls
| | Properties                      :      8.419p                          30040 calls
| | Functional                      :      3.780p                          30040 calls
| | V_xc                            :     17.823p                          30040 calls
| JK: D                             :      0.000u      0.000s      0.001w     10 calls
| JK: USO2AO                        :      0.000u      0.000s      0.000w     10 calls
| JK: JK                            :     16.600u      2.100s      2.589w     10 calls
| | DFH: compute_JK()               :      6.833u      0.650s      0.977w     10 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w     10 calls
| | | DFH: compute_J                :      1.183u      0.000s      0.151w     10 calls
| | | DFH: compute_K                :      4.550u      0.433s      0.660w     10 calls
| | DFH: compute_wK()               :      9.767u      1.450s      1.609w     10 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     10 calls
HF: Form F                          :      0.033u      0.000s      0.003w     10 calls
HF: Form D                          :      0.000u      0.017s      0.002w     10 calls
HF: DIIS                            :      1.467u      0.100s      1.356w      9 calls
HF: Form C                          :      0.683u      0.033s      0.110w      9 calls

**************************************************************************************

Host: node165.bme.utexas.edu

Timers On : Sat Nov 18 08:25:58 2023
Timers Off: Sat Nov 18 08:26:21 2023

Wall Time:       22.94 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      4.417u      0.117s      0.726w      1 calls
build grid                          :      3.617u      0.067s      0.557w      1 calls
post-process grid                   :      0.800u      0.050s      0.169w      1 calls
DFH: sparsity prep                  :      0.150u      0.017s      0.092w      1 calls
Libint2ERI::Libint2ERI              :      0.450u      0.033s      0.150w      7 calls
DFH: initialize()                   :     31.800u      1.133s      5.371w      1 calls
Libint2ErfERI::Libint2ErfERI        :      0.317u      0.017s      0.069w      1 calls
DFH: AO Construction                :      5.000u      0.050s      0.839w      1 calls
DFH: AO-Met. Contraction            :      8.383u      0.067s      1.315w      2 calls
DFH: wAO Construction               :      7.783u      0.000s      1.174w      1 calls
DFH: wAO Copy                       :      1.850u      0.033s      0.251w      1 calls
HF: Form core H                     :      0.583u      0.033s      0.121w      1 calls
HF: Form S/X                        :      0.233u      0.000s      0.066w      1 calls
HF: Guess                           :      0.917u      0.067s      0.186w      1 calls
SAD Guess                           :      0.900u      0.050s      0.184w      1 calls
HF: Form G                          :     69.917u      4.483s     11.029w     10 calls
RV: Form V                          :     51.333u      2.017s      7.751w     10 calls
Properties                          :     12.060p                          30030 calls
Functional                          :      4.314p                          30030 calls
V_xc                                :     21.616p                          30030 calls
JK: D                               :      0.000u      0.000s      0.002w     10 calls
JK: USO2AO                          :      0.017u      0.000s      0.000w     10 calls
JK: JK                              :     18.417u      2.433s      3.250w     10 calls
DFH: compute_JK()                   :      7.767u      1.100s      1.390w     10 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w     10 calls
DFH: compute_J                      :      1.450u      0.050s      0.210w     10 calls
DFH: compute_K                      :      5.100u      0.817s      0.956w     10 calls
DFH: compute_wK()                   :     10.650u      1.333s      1.856w     10 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     10 calls
HF: Form F                          :      0.033u      0.000s      0.008w     10 calls
HF: Form D                          :      0.050u      0.000s      0.008w     10 calls
HF: DIIS                            :      1.900u      0.117s      0.294w      9 calls
HF: Form C                          :      1.317u      0.000s      0.206w      9 calls

--------------------------------------------------------------------------------------
V: Grid                             :      4.417u      0.117s      0.726w      1 calls
| build grid                        :      3.617u      0.067s      0.557w      1 calls
| post-process grid                 :      0.800u      0.050s      0.169w      1 calls
DFH: sparsity prep                  :      0.150u      0.017s      0.092w      1 calls
| Libint2ERI::Libint2ERI            :      0.100u      0.017s      0.064w      1 calls
DFH: initialize()                   :     31.800u      1.133s      5.371w      1 calls
| Libint2ERI::Libint2ERI            :      0.350u      0.017s      0.086w      6 calls
| Libint2ErfERI::Libint2ErfERI      :      0.317u      0.017s      0.069w      1 calls
| DFH: AO Construction              :      5.000u      0.050s      0.839w      1 calls
| DFH: AO-Met. Contraction          :      8.383u      0.067s      1.315w      2 calls
| DFH: wAO Construction             :      7.783u      0.000s      1.174w      1 calls
| DFH: wAO Copy                     :      1.850u      0.033s      0.251w      1 calls
HF: Form core H                     :      0.583u      0.033s      0.121w      1 calls
HF: Form S/X                        :      0.233u      0.000s      0.066w      1 calls
HF: Guess                           :      0.917u      0.067s      0.186w      1 calls
| SAD Guess                         :      0.900u      0.050s      0.184w      1 calls
HF: Form G                          :     69.917u      4.483s     11.029w     10 calls
| RV: Form V                        :     51.333u      2.017s      7.751w     10 calls
| | Properties                      :     12.060p                          30030 calls
| | Functional                      :      4.314p                          30030 calls
| | V_xc                            :     21.616p                          30030 calls
| JK: D                             :      0.000u      0.000s      0.002w     10 calls
| JK: USO2AO                        :      0.017u      0.000s      0.000w     10 calls
| JK: JK                            :     18.417u      2.433s      3.250w     10 calls
| | DFH: compute_JK()               :      7.767u      1.100s      1.390w     10 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w     10 calls
| | | DFH: compute_J                :      1.450u      0.050s      0.210w     10 calls
| | | DFH: compute_K                :      5.100u      0.817s      0.956w     10 calls
| | DFH: compute_wK()               :     10.650u      1.333s      1.856w     10 calls
