
Host: node74.bme.utexas.edu

Timers On : Tue Jun 14 11:52:02 2022
Timers Off: Tue Jun 14 11:53:16 2022

Wall Time:       74.51 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFMP2 Aia                           :     77.800u      3.533s      4.680w     12 calls
| Libint2ERI::Libint2ERI            :     44.733u      2.217s      2.353w    144 calls
| DFMP2 (A|mn)                      :     17.667u      0.000s      0.893w     12 calls
| DFMP2 (A|mn)C_mi                  :      1.267u      0.000s      0.065w     12 calls
| DFMP2 (A|mi)C_na                  :      0.617u      0.000s      0.032w     12 calls
| DFMP2 Aia Write                   :      1.317u      0.183s      0.073w     12 calls
DFMP2 iaB                           :     29.617u      1.317s      1.566w     12 calls
| DFMP2 Metric                      :     16.317u      0.450s      0.837w     12 calls
| | Libint2ERI::Libint2ERI          :      0.350u      0.050s      0.018w    144 calls
| DFMP2 Aia Read                    :      0.867u      0.100s      0.052w     12 calls
| DFMP2 (ia|A)(A|Q)                 :      2.033u      0.017s      0.103w     12 calls
| DFMP2 Bia Write                   :      1.433u      0.200s      0.081w     12 calls
| DFMP2 Bia Read                    :      0.717u      0.100s      0.040w     12 calls
| DFMP2 (ia|B)(B|Q)                 :      2.017u      0.000s      0.100w     12 calls
| DFMP2 Cia Write                   :      1.350u      0.200s      0.079w     12 calls
DFMP2 aiB                           :      5.317u      0.533s      0.301w     12 calls
DFMP2 Tij                           :     48.200u      1.733s      2.512w     12 calls
| DFMP2 Bia Read                    :      1.333u      0.117s      0.073w     24 calls
| DFMP2 Cia Read                    :      0.617u      0.117s      0.038w     12 calls
| DFMP2 I                           :     11.150u      0.033s      0.560w     12 calls
| DFMP2 T2                          :      3.250u      0.000s      0.164w     12 calls
| DFMP2 G                           :     11.133u      0.017s      0.560w     12 calls
| DFMP2 Pab                         :      5.117u      0.067s      0.262w     12 calls
| DFMP2 Gia Write                   :      1.167u      0.150s      0.067w     12 calls
DFMP2 Tab                           :     34.817u      1.517s      1.830w     12 calls
| DFMP2 Bai Read                    :      0.667u      0.150s      0.038w     12 calls
| DFMP2 Qai Read                    :      0.633u      0.000s      0.033w     12 calls
| DFMP2 I                           :     11.117u      0.033s      0.562w     12 calls
| DFMP2 T2                          :      3.967u      0.000s      0.200w     12 calls
| DFMP2 Pij                         :      5.000u      0.083s      0.258w     12 calls
DFMP2 gamma                         :      6.450u      0.417s      0.351w     12 calls
| DFMP2 Gia Read                    :      0.717u      0.117s      0.037w     12 calls
| DFMP2 Cia Read                    :      0.733u      0.067s      0.044w     12 calls
| DFMP2 g                           :      2.217u      0.000s      0.113w     12 calls
DFMP2 Gia                           :      7.600u      0.717s      0.425w     12 calls
| DFMP2 Gia Read                    :      0.667u      0.117s      0.038w     12 calls
| DFMP2 aiG Write                   :      1.217u      0.233s      0.070w     12 calls
DFMP2 AB^x                          :      3.767u      0.183s      0.206w     12 calls
| Libint2ERI::Libint2ERI            :      0.050u      0.017s      0.003w     12 calls
DFMP2 Amn^x                         :     81.267u      2.800s      4.623w     12 calls
| Libint2ERI::Libint2ERI            :     44.917u      2.267s      2.368w    144 calls
DFMP2 L                             :     71.650u      2.983s      4.582w     12 calls
| Libint2ERI::Libint2ERI            :     43.250u      2.050s      2.348w    144 calls
DFMP2 P                             :      1.667u      0.100s      0.097w     12 calls
DFMP2 W                             :      1.883u      0.067s      0.104w     12 calls
DFMP2 Z                             :    235.750u      6.600s     12.162w     12 calls
| DFH: sparsity prep                :      8.067u      0.433s      0.422w     12 calls
| | Libint2ERI::Libint2ERI          :      4.233u      0.183s      0.221w     12 calls
| DFH: initialize()                 :     71.867u      2.167s      3.711w     12 calls
| | Libint2ERI::Libint2ERI          :      4.133u      0.217s      0.217w    156 calls
| | DFH: AO Construction            :     13.167u      0.250s      0.671w     12 calls
| | DFH: AO-Met. Contraction        :     17.000u      0.583s      0.884w     12 calls
| JK: D                             :      0.150u      0.000s      0.010w    192 calls
| JK: USO2AO                        :      0.100u      0.000s      0.003w    192 calls
| JK: JK                            :    148.350u      3.633s      7.613w    192 calls
| | DFH: compute_JK()               :    148.200u      3.633s      7.603w    192 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w    192 calls
| | | DFH: compute_J                :     15.817u      0.100s      0.799w    192 calls
| | | DFH: compute_K                :     86.283u      0.200s      4.336w    192 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w    192 calls
DFMP2 grad                          :    242.317u      9.050s     14.337w     12 calls
| Grad: V T Perturb                 :      2.433u      0.050s      0.125w     12 calls
| Grad: S                           :      0.850u      0.017s      0.044w     12 calls
| Grad: JK                          :    235.550u      8.867s     13.977w     12 calls
| | CorrGrad: Amn                   :     75.233u      3.133s      4.988w     12 calls
| | | Libint2ERI::Libint2ERI        :     42.400u      2.000s      2.341w    144 calls
| | CorrGrad: AB                    :     48.333u      1.667s      2.504w     12 calls
| | | Libint2ERI::Libint2ERI        :      0.467u      0.017s      0.023w    144 calls
| | CorrGrad: UV                    :     11.217u      0.600s      0.591w     12 calls
| | CorrGrad: ABx                   :      4.033u      0.067s      0.206w     12 calls
| | | Libint2ERI::Libint2ERI        :      0.083u      0.033s      0.003w     12 calls
| | CorrGrad: Amnx                  :     90.917u      2.983s      5.353w     12 calls
| | | Libint2ERI::Libint2ERI        :     44.700u      2.317s      2.355w    144 calls

**************************************************************************************

Host: node74.bme.utexas.edu

