     1.25361000     1.19518700    -2.64585000
     1.69337500     0.80874700    -2.61029500
     1.76097900     1.13670600    -2.60140600
     1.59374300     1.43026600    -2.59251700
     1.27824000     1.55724500    -2.58362800
     0.94674200     1.47381700    -2.57473900
     1.98093500     0.62885000    -2.51251700
     2.09845900     0.95677700    -2.50362800
     2.06512000     1.30393700    -2.49473900
     1.89047800     1.60623500    -2.48585000
     1.60803000     1.81199100    -2.47696100
     1.26688800     1.88906800    -2.46807200
     0.92228000     1.82781200    -2.45918300
     0.62654000     1.64015200    -2.45029500
     2.09602400     0.27162600    -2.37029500
     2.30155300     0.55725200    -2.36140600
     2.40596100     0.89340800    -2.35251700
     2.39995600     1.24545800    -2.34362800
     2.28547300     1.57853200    -2.33473900
     2.07478500     1.86088100    -2.32585000
     1.78872500     2.06665300    -2.31696100
     1.45427700     2.17790100    -2.30807200
     1.10182000     2.18572700    -2.29918300
     0.76228900     2.09054600    -2.29029500
     0.46451400     1.90154400    -2.28140600
     2.35108300     0.12320600    -2.17473900
     2.55021000     0.41515300    -2.16585000
     2.66874600     0.74811300    -2.15696100
     2.69961400     1.10023200    -2.14807200
     2.64148300     1.44892700    -2.13918300
     2.49863400     1.77232600    -2.13029500
     2.28049700     2.05059600    -2.12140600
     2.00089200     2.26707400    -2.11251700
     1.67704400     2.40915600    -2.10362800
     1.32845000     2.46890700    -2.09473900
     0.97566600     2.44336400    -2.08585000
     0.63908200     2.33454200    -2.07696100
     2.39224900    -0.19174800    -1.94362800
     2.63180800     0.06904200    -1.93473900
     2.80924700     0.37551900    -1.92585000
     2.91650700     0.71304100    -1.91696100
     2.94891000     1.06572900    -1.90807200
     2.90530300     1.41722500    -1.89918300
     2.78802200     1.75145300    -1.89029500
     2.60271000     2.05333800    -1.88140600
     2.35798800     2.30945900    -1.87251700
     2.06500800     2.50860900    -1.86362800
     1.73690400     2.64224000    -1.85473900
     1.38817800     2.70477800    -1.84585000
     1.03404500     2.69380200    -1.83696100
     0.68976000     2.61008300    -1.82807200
     3.01947500     0.33280100    -1.65029500
     3.12132100     0.67242900    -1.64140600
     3.15654400     1.02525400    -1.63251700
     3.12405300     1.37835200    -1.62362800
     3.02522400     1.71890100    -1.61473900
     2.86381500     2.03464400    -1.60585000
     2.64579400     2.31432300    -1.59696100
     2.37909800     2.54805900    -1.58807200
     2.07332000     2.72768800    -1.57918300
     1.73935500     2.84701800    -1.57029500
     1.38899500     2.90202500    -1.56140600
     1.03450600     2.89096100    -1.55251700
     3.30536900     1.25049200    -1.32140600
     3.23489100     1.59827300    -1.31251700
     3.10476800     1.92841100    -1.30362800
     2.91909500     2.23082200    -1.29473900
     2.68363800     2.49632200    -1.28585000
     2.40564400     2.71690000    -1.27696100
     2.09361400     2.88594600    -1.26807200
