
Host: node37.bme.utexas.edu

Timers On : Mon Sep 21 14:45:44 2020
Timers Off: Mon Sep 21 14:46:07 2020

Wall Time:       22.98 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
| JKGrad: Amnx                      :      1.317u      0.000s      0.803w      3 calls
Grad: XC                            :      3.867u      0.050s      2.339w      3 calls
| Properties                        :      1.317u      0.050s      0.790w   3679 calls
| Functional                        :      1.233u      0.000s      0.834w   3679 calls
| V_xc gradient                     :      1.250u      0.000s      0.682w   3679 calls

**************************************************************************************

Host: node37.bme.utexas.edu

Timers On : Mon Sep 21 14:47:08 2020
Timers Off: Mon Sep 21 14:47:10 2020

Wall Time:        2.36 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      0.050u      0.000s      0.032w      1 calls
DFH: initialize()                   :      0.333u      0.017s      0.210w      1 calls
DFH: AO Construction                :      0.100u      0.000s      0.070w      1 calls
DFH: AO-Met. Contraction            :      0.067u      0.017s      0.036w      1 calls
HF: Form core H                     :      0.000u      0.000s      0.021w      1 calls
HF: Form S/X                        :      0.000u      0.000s      0.001w      1 calls
HF: Guess                           :      0.600u      0.000s      0.366w      1 calls
SAD Guess                           :      0.583u      0.000s      0.352w      1 calls
HF: Form G                          :      0.117u      0.000s      0.068w     12 calls
JK: D                               :      0.000u      0.000s      0.000w     12 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w     12 calls
JK: JK                              :      0.083u      0.000s      0.067w     12 calls
DFH: compute_JK()                   :      0.083u      0.000s      0.067w     12 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w     12 calls
DFH: compute_J                      :      0.033u      0.000s      0.019w     12 calls
DFH: compute_K                      :      0.050u      0.000s      0.047w     12 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     12 calls
HF: Form F                          :      0.000u      0.000s      0.000w     12 calls
HF: Form D                          :      0.000u      0.000s      0.000w     12 calls
HF: DIIS                            :      0.000u      0.000s      0.017w     11 calls
DIISManager::add_entry              :      0.000u      0.000s      0.006w     11 calls
DIISManager::extrapolate            :      0.000u      0.000s      0.003w     11 calls
bMatrix setup                       :      0.000u      0.000s      0.001w     11 calls
bMatrix pseudoinverse               :      0.000u      0.000s      0.001w     11 calls
New vector                          :      0.000u      0.000s      0.001w     11 calls
HF: Form C                          :      0.033u      0.017s      0.010w     11 calls
DFMP2 Singles                       :      0.000u      0.000s      0.000w      1 calls
DFMP2 Aia                           :      0.250u      0.000s      0.157w      1 calls
