
Host: node37.bme.utexas.edu

Timers On : Mon Sep 21 14:16:20 2020
Timers Off: Mon Sep 21 14:17:44 2020

Wall Time:       83.53 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
| JKGrad: Amnx                      :      9.767u      0.000s      5.876w      6 calls
Grad: XC                            :     13.267u      0.150s      8.035w      6 calls
| Properties                        :      5.133u      0.050s      3.149w   9304 calls
| Functional                        :      3.417u      0.033s      2.040w   9304 calls
| V_xc gradient                     :      4.600u      0.050s      2.763w   9304 calls

**************************************************************************************

Host: node37.bme.utexas.edu

Timers On : Mon Sep 21 14:18:44 2020
Timers Off: Mon Sep 21 14:18:48 2020

Wall Time:        3.75 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      0.067u      0.000s      0.041w      1 calls
DFH: initialize()                   :      1.000u      0.017s      0.621w      1 calls
DFH: AO Construction                :      0.417u      0.017s      0.257w      1 calls
DFH: AO-Met. Contraction            :      0.283u      0.000s      0.172w      1 calls
HF: Form core H                     :      0.000u      0.000s      0.027w      1 calls
HF: Form S/X                        :      0.017u      0.000s      0.003w      1 calls
HF: Guess                           :      0.883u      0.000s      0.538w      1 calls
SAD Guess                           :      0.867u      0.000s      0.522w      1 calls
HF: Form G                          :      0.533u      0.000s      0.321w     13 calls
JK: D                               :      0.000u      0.000s      0.001w     13 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w     13 calls
JK: JK                              :      0.517u      0.000s      0.318w     13 calls
DFH: compute_JK()                   :      0.517u      0.000s      0.318w     13 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w     13 calls
DFH: compute_J                      :      0.067u      0.000s      0.065w     13 calls
DFH: compute_K                      :      0.433u      0.000s      0.252w     13 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     13 calls
HF: Form F                          :      0.000u      0.000s      0.001w     13 calls
HF: Form D                          :      0.000u      0.000s      0.000w     13 calls
HF: DIIS                            :      0.033u      0.000s      0.023w     12 calls
DIISManager::add_entry              :      0.000u      0.000s      0.007w     12 calls
DIISManager::extrapolate            :      0.017u      0.000s      0.005w     12 calls
bMatrix setup                       :      0.000u      0.000s      0.002w     12 calls
bMatrix pseudoinverse               :      0.000u      0.000s      0.001w     12 calls
New vector                          :      0.017u      0.000s      0.002w     12 calls
HF: Form C                          :      0.033u      0.000s      0.023w     12 calls
DFMP2 Singles                       :      0.000u      0.000s      0.000w      1 calls
DFMP2 Aia                           :      0.533u      0.017s      0.344w      1 calls
DFMP2 (A|mn)                        :      0.417u      0.000s      0.245w      1 calls
DFMP2 (A|mn)C_mi                    :      0.017u      0.000s      0.010w      1 calls
DFMP2 (A|mi)C_na                    :      0.000u      0.000s      0.006w      1 calls
DFMP2 Aia Write                     :      0.000u      0.000s      0.002w      1 calls
DFMP2 Qia                           :      0.233u      0.000s      0.143w      1 calls
DFMP2 Metric                        :      0.200u      0.000s      0.114w      1 calls
DFMP2 Aia Read                      :      0.000u      0.000s      0.001w      1 calls
DFMP2 (Q|A)(A|ia)                   :      0.033u      0.000s      0.018w      1 calls
DFMP2 Qia Write                     :      0.000u      0.000s      0.002w      1 calls
DFMP2 Energy                        :      0.050u      0.000s      0.047w      1 calls
DFMP2 Qia Read                      :      0.000u      0.000s      0.001w      2 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :      0.067u      0.000s      0.041w      1 calls
DFH: initialize()                   :      1.000u      0.017s      0.621w      1 calls
| DFH: AO Construction              :      0.417u      0.017s      0.257w      1 calls
| DFH: AO-Met. Contraction          :      0.283u      0.000s      0.172w      1 calls
HF: Form core H                     :      0.000u      0.000s      0.027w      1 calls
HF: Form S/X                        :      0.017u      0.000s      0.003w      1 calls
HF: Guess                           :      0.883u      0.000s      0.538w      1 calls
| SAD Guess                         :      0.867u      0.000s      0.522w      1 calls
HF: Form G                          :      0.533u      0.000s      0.321w     13 calls
| JK: D                             :      0.000u      0.000s      0.001w     13 calls
| JK: USO2AO                        :      0.000u      0.000s      0.000w     13 calls
| JK: JK                            :      0.517u      0.000s      0.318w     13 calls
| | DFH: compute_JK()               :      0.517u      0.000s      0.318w     13 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w     13 calls
| | | DFH: compute_J                :      0.067u      0.000s      0.065w     13 calls
| | | DFH: compute_K                :      0.433u      0.000s      0.252w     13 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     13 calls
HF: Form F                          :      0.000u      0.000s      0.001w     13 calls
HF: Form D                          :      0.000u      0.000s      0.000w     13 calls
HF: DIIS                            :      0.033u      0.000s      0.023w     12 calls
| DIISManager::add_entry            :      0.000u      0.000s      0.007w     12 calls
| DIISManager::extrapolate          :      0.017u      0.000s      0.005w     12 calls
| | bMatrix setup                   :      0.000u      0.000s      0.002w     12 calls
| | bMatrix pseudoinverse           :      0.000u      0.000s      0.001w     12 calls
| | New vector                      :      0.017u      0.000s      0.002w     12 calls
HF: Form C                          :      0.033u      0.000s      0.023w     12 calls
DFMP2 Singles                       :      0.000u      0.000s      0.000w      1 calls
DFMP2 Aia                           :      0.533u      0.017s      0.344w      1 calls
| DFMP2 (A|mn)                      :      0.417u      0.000s      0.245w      1 calls
| DFMP2 (A|mn)C_mi                  :      0.017u      0.000s      0.010w      1 calls
| DFMP2 (A|mi)C_na                  :      0.000u      0.000s      0.006w      1 calls
| DFMP2 Aia Write                   :      0.000u      0.000s      0.002w      1 calls
DFMP2 Qia                           :      0.233u      0.000s      0.143w      1 calls
| DFMP2 Metric                      :      0.200u      0.000s      0.114w      1 calls
| DFMP2 Aia Read                    :      0.000u      0.000s      0.001w      1 calls
| DFMP2 (Q|A)(A|ia)                 :      0.033u      0.000s      0.018w      1 calls
| DFMP2 Qia Write                   :      0.000u      0.000s      0.002w      1 calls
DFMP2 Energy                        :      0.050u      0.000s      0.047w      1 calls
| DFMP2 Qia Read                    :      0.000u      0.000s      0.001w      2 calls

**************************************************************************************

Host: node37.bme.utexas.edu

Timers On : Mon Sep 21 14:19:49 2020
Timers Off: Mon Sep 21 14:22:50 2020

Wall Time:      181.16 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      0.317u      0.000s      0.197w      2 calls
DFH: initialize()                   :     13.117u      0.533s      8.192w      2 calls
DFH: AO Construction                :      5.800u      0.017s      3.474w     16 calls
DFH: AO-Met. Contraction            :      6.450u      0.500s      4.196w     16 calls
HF: Form core H                     :      0.000u      0.000s      0.028w      1 calls
HF: Form S/X                        :      0.050u      0.017s      0.033w      1 calls
HF: Guess                           :      0.883u      0.017s      0.565w      1 calls
SAD Guess                           :      0.867u      0.000s      0.551w      1 calls
HF: Form G                          :      9.183u      0.100s      5.576w     17 calls
JK: D                               :      0.000u      0.000s      0.010w     30 calls
JK: USO2AO                          :      0.000u      0.000s      0.004w     30 calls
JK: JK                              :     24.900u      0.350s     15.155w     30 calls
DFH: compute_JK()                   :     24.900u      0.350s     15.154w     30 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w     31 calls
DFH: compute_J                      :      4.233u      0.117s      2.596w     31 calls
DFH: compute_K                      :     20.667u      0.233s     12.553w     31 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     30 calls
HF: Form F                          :      0.000u      0.000s      0.005w     17 calls
HF: Form D                          :      0.000u      0.000s      0.004w     17 calls
HF: DIIS                            :      0.350u      0.117s      0.259w     16 calls
DIISManager::add_entry              :      0.017u      0.017s      0.020w     16 calls
DIISManager::extrapolate            :      0.067u      0.100s      0.056w     16 calls
bMatrix setup                       :      0.017u      0.067s      0.027w     16 calls
bMatrix pseudoinverse               :      0.000u      0.000s      0.002w     16 calls
New vector                          :      0.050u      0.033s      0.028w     16 calls
HF: Form C                          :      0.800u      0.000s      0.512w     16 calls
DFMP2 Singles                       :      0.000u      0.000s      0.006w      1 calls
DFMP2 Aia                           :      4.517u      0.183s      2.825w      1 calls
DFMP2 (A|mn)                        :      3.667u      0.000s      2.195w      1 calls
DFMP2 (A|mn)C_mi                    :      0.233u      0.000s      0.142w      1 calls
DFMP2 (A|mi)C_na                    :      0.133u      0.000s      0.087w      1 calls
DFMP2 Aia Write                     :      0.000u      0.017s      0.009w      1 calls
DFMP2 iaQ                           :      0.850u      0.050s      0.547w      1 calls
DFMP2 Metric                        :      0.417u      0.000s      0.247w      1 calls
DFMP2 Aia Read                      :      0.000u      0.017s      0.007w      1 calls
DFMP2 (Q|A)(A|ia)                   :      0.433u      0.000s      0.247w      2 calls
DFMP2 Qia Write                     :      0.000u      0.017s      0.009w      1 calls
DFMP2 Qia Read                      :      0.017u      0.017s      0.013w      3 calls
DFMP2 Bia Write                     :      0.000u      0.017s      0.009w      1 calls
DFMP2 aiQ                           :      0.000u      0.033s      0.030w      1 calls
DFMP2 Tij                           :      2.817u      0.100s      1.763w      1 calls
DFMP2 Cia Read                      :      0.000u      0.000s      0.009w      2 calls
DFMP2 I                             :      2.067u      0.000s      1.238w      2 calls
DFMP2 T2                            :      0.233u      0.000s      0.147w      2 calls
DFMP2 G                             :      1.033u      0.000s      0.623w      1 calls
DFMP2 Pab                           :      0.517u      0.000s      0.306w      1 calls
DFMP2 Gia Write                     :      0.000u      0.017s      0.009w      1 calls
DFMP2 Tab                           :      1.217u      0.083s      0.784w      1 calls
DFMP2 Qai Read                      :      0.000u      0.000s      0.008w      2 calls
DFMP2 Pij                           :      0.067u      0.000s      0.032w      1 calls
DFMP2 gamma                         :      0.200u      0.033s      0.149w      1 calls
DFMP2 Gia Read                      :      0.000u      0.000s      0.008w      2 calls
DFMP2 g                             :      0.200u      0.017s      0.126w      1 calls
DFMP2 Gia                           :      0.033u      0.033s      0.045w      1 calls
DFMP2 aiG Write                     :      0.000u      0.017s      0.008w      1 calls
DFMP2 AB^x                          :      0.183u      0.000s      0.126w      1 calls
DFMP2 Amn^x                         :     21.400u      0.233s     12.980w      1 calls
DFMP2 L                             :      7.533u      0.383s      4.769w      1 calls
DFMP2 P                             :      0.017u      0.000s      0.010w      1 calls
DFMP2 W                             :      0.000u      0.000s      0.012w      1 calls
DFMP2 Z                             :     22.700u      0.550s     13.965w      1 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :      0.150u      0.000s      0.102w      1 calls
DFH: initialize()                   :      6.533u      0.267s      4.069w      1 calls
| DFH: AO Construction              :      2.867u      0.017s      1.720w      8 calls
| DFH: AO-Met. Contraction          :      3.217u      0.233s      2.085w      8 calls
HF: Form core H                     :      0.000u      0.000s      0.028w      1 calls
HF: Form S/X                        :      0.050u      0.017s      0.033w      1 calls
HF: Guess                           :      0.883u      0.017s      0.565w      1 calls
| SAD Guess                         :      0.867u      0.000s      0.551w      1 calls
HF: Form G                          :      9.183u      0.100s      5.576w     17 calls
| JK: D                             :      0.000u      0.000s      0.004w     17 calls
| JK: USO2AO                        :      0.000u      0.000s      0.003w     17 calls
| JK: JK                            :      9.167u      0.100s      5.558w     17 calls
| | DFH: compute_JK()               :      9.167u      0.100s      5.558w     17 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w     17 calls
| | | DFH: compute_J                :      1.967u      0.083s      1.218w     17 calls
| | | DFH: compute_K                :      7.200u      0.017s      4.338w     17 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     17 calls
HF: Form F                          :      0.000u      0.000s      0.005w     17 calls
HF: Form D                          :      0.000u      0.000s      0.004w     17 calls
HF: DIIS                            :      0.350u      0.117s      0.259w     16 calls
| DIISManager::add_entry            :      0.017u      0.017s      0.020w     16 calls
| DIISManager::extrapolate          :      0.067u      0.100s      0.056w     16 calls
| | bMatrix setup                   :      0.017u      0.067s      0.027w     16 calls
| | bMatrix pseudoinverse           :      0.000u      0.000s      0.002w     16 calls
| | New vector                      :      0.050u      0.033s      0.028w     16 calls
HF: Form C                          :      0.800u      0.000s      0.512w     16 calls
DFMP2 Singles                       :      0.000u      0.000s      0.006w      1 calls
DFMP2 Aia                           :      4.517u      0.183s      2.825w      1 calls
| DFMP2 (A|mn)                      :      3.667u      0.000s      2.195w      1 calls
| DFMP2 (A|mn)C_mi                  :      0.233u      0.000s      0.142w      1 calls
| DFMP2 (A|mi)C_na                  :      0.133u      0.000s      0.087w      1 calls
| DFMP2 Aia Write                   :      0.000u      0.017s      0.009w      1 calls
DFMP2 iaQ                           :      0.850u      0.050s      0.547w      1 calls
| DFMP2 Metric                      :      0.417u      0.000s      0.247w      1 calls
| DFMP2 Aia Read                    :      0.000u      0.017s      0.007w      1 calls
| DFMP2 (Q|A)(A|ia)                 :      0.433u      0.000s      0.247w      2 calls
| DFMP2 Qia Write                   :      0.000u      0.017s      0.009w      1 calls
| DFMP2 Qia Read                    :      0.000u      0.000s      0.005w      1 calls
| DFMP2 Bia Write                   :      0.000u      0.017s      0.009w      1 calls
DFMP2 aiQ                           :      0.000u      0.033s      0.030w      1 calls
