CH3Cl-water_1_6_14-tinkermincart_0.8.alz 4.54312013
CH3Cl-water_1_6_14-tinkermincart_0.85.alz 0.34450731
CH3Cl-water_1_6_14-tinkermincart_0.9.alz -1.38306919
CH3Cl-water_1_6_14-tinkermincart_1.alz -1.91733963
CH3Cl-water_1_6_14-tinkermincart_1.1.alz -1.44472368
CH3Cl-water_1_6_14-tinkermincart_1.2.alz -0.97508465
CH3Cl-water_1_6_14-tinkermincart_1.4.alz -0.43705669
CH3Cl-water_1_7_3-tinkermincart_0.8.alz 0.01138826
CH3Cl-water_1_7_3-tinkermincart_0.85.alz -1.77972488
CH3Cl-water_1_7_3-tinkermincart_0.9.alz -2.61861942
CH3Cl-water_1_7_3-tinkermincart_1.alz -2.88496282
CH3Cl-water_1_7_3-tinkermincart_1.1.alz -2.47080807
CH3Cl-water_1_7_3-tinkermincart_1.2.alz -1.96423004
CH3Cl-water_1_7_3-tinkermincart_1.4.alz -1.19555010
CH3Cl-CH3Cl_1_8_34-tinkermincart_0.8.alz -0.24675880
CH3Cl-CH3Cl_1_8_34-tinkermincart_0.85.alz -0.79879902
CH3Cl-CH3Cl_1_8_34-tinkermincart_0.9.alz -0.99144753
CH3Cl-CH3Cl_1_8_34-tinkermincart_1.alz -0.91584411
CH3Cl-CH3Cl_1_8_34-tinkermincart_1.1.alz -0.68077987
CH3Cl-CH3Cl_1_8_34-tinkermincart_1.2.alz -0.46867363
CH3Cl-CH3Cl_1_8_34-tinkermincart_1.4.alz -0.20027845
