
Host: node37.bme.utexas.edu

Timers On : Tue Feb 22 17:44:04 2022
Timers Off: Tue Feb 22 17:47:10 2022

Wall Time:      185.93 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
JK: JK                              :    143.883u      4.650s     25.321w    107 calls
DFH: compute_JK()                   :    143.867u      4.650s     25.319w    107 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.001w    107 calls
DFH: compute_J                      :     32.717u      1.750s      5.940w    107 calls
DFH: compute_K                      :    109.983u      2.467s     19.082w    107 calls
JK: AO2USO                          :      0.000u      0.000s      0.001w    107 calls
HF: Form F                          :      0.417u      0.033s      0.096w    107 calls
HF: Form D                          :      0.650u      0.083s      0.153w    107 calls
HF: DIIS                            :     14.050u      1.550s      3.153w     97 calls
DIISManager::add_entry              :      2.267u      0.500s      0.933w     97 calls
DIISManager::extrapolate            :      3.300u      0.767s      0.738w     97 calls
bMatrix setup                       :      1.833u      0.467s      0.440w     97 calls
bMatrix pseudoinverse               :      0.100u      0.050s      0.013w     97 calls
New vector                          :      1.317u      0.250s      0.282w     97 calls
HF: Form C                          :     44.067u      2.350s      8.418w     97 calls
DFMP2 Singles                       :      0.567u      0.017s      0.123w     10 calls
DFMP2 Aia                           :    162.233u     12.550s     40.499w     10 calls
DFMP2 (A|mn)                        :    123.567u      1.467s     22.077w     10 calls
DFMP2 (A|mn)C_mi                    :      8.283u      0.717s      1.543w     10 calls
DFMP2 (A|mi)C_na                    :      4.517u      0.117s      0.870w     10 calls
DFMP2 Aia Write                     :      0.683u      0.267s      0.185w     10 calls
DFMP2 Qia                           :     35.383u      2.167s      8.251w     10 calls
DFMP2 Metric                        :     29.117u      1.533s      6.796w     10 calls
DFMP2 Aia Read                      :      0.350u      0.117s      0.089w     10 calls
DFMP2 (Q|A)(A|ia)                   :      4.367u      0.067s      0.944w     10 calls
DFMP2 Qia Write                     :      0.450u      0.250s      0.144w     10 calls
DFMP2 Energy                        :      9.817u      0.467s      2.299w     10 calls
DFMP2 Qia Read                      :      0.350u      0.083s      0.105w     20 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :      6.367u      0.200s      4.073w     10 calls
DFH: initialize()                   :    242.350u     14.967s     49.159w     10 calls
| DFH: AO Construction              :     91.267u      3.750s     16.350w     10 calls
| DFH: AO-Met. Contraction          :    121.133u      8.317s     24.335w     10 calls
HF: Form core H                     :      0.700u      0.150s      0.370w     10 calls
HF: Form S/X                        :      4.417u      0.300s      0.964w     10 calls
HF: Guess                           :     56.767u      3.600s     10.490w     10 calls
| SAD Guess                         :     55.417u      3.450s     10.211w     10 calls
HF: Form G                          :    145.933u      4.783s     25.734w    107 calls
| JK: D                             :      0.400u      0.017s      0.087w    107 calls
| JK: USO2AO                        :      0.250u      0.000s      0.033w    107 calls
| JK: JK                            :    143.883u      4.650s     25.321w    107 calls
| | DFH: compute_JK()               :    143.867u      4.650s     25.319w    107 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.001w    107 calls
| | | DFH: compute_J                :     32.717u      1.750s      5.940w    107 calls
| | | DFH: compute_K                :    109.983u      2.467s     19.082w    107 calls
| JK: AO2USO                        :      0.000u      0.000s      0.001w    107 calls
HF: Form F                          :      0.417u      0.033s      0.096w    107 calls
HF: Form D                          :      0.650u      0.083s      0.153w    107 calls
HF: DIIS                            :     14.050u      1.550s      3.153w     97 calls
| DIISManager::add_entry            :      2.267u      0.500s      0.933w     97 calls
| DIISManager::extrapolate          :      3.300u      0.767s      0.738w     97 calls
| | bMatrix setup                   :      1.833u      0.467s      0.440w     97 calls
| | bMatrix pseudoinverse           :      0.100u      0.050s      0.013w     97 calls
| | New vector                      :      1.317u      0.250s      0.282w     97 calls
HF: Form C                          :     44.067u      2.350s      8.418w     97 calls
DFMP2 Singles                       :      0.567u      0.017s      0.123w     10 calls
DFMP2 Aia                           :    162.233u     12.550s     40.499w     10 calls
| DFMP2 (A|mn)                      :    123.567u      1.467s     22.077w     10 calls
| DFMP2 (A|mn)C_mi                  :      8.283u      0.717s      1.543w     10 calls
| DFMP2 (A|mi)C_na                  :      4.517u      0.117s      0.870w     10 calls
| DFMP2 Aia Write                   :      0.683u      0.267s      0.185w     10 calls
DFMP2 Qia                           :     35.383u      2.167s      8.251w     10 calls
| DFMP2 Metric                      :     29.117u      1.533s      6.796w     10 calls
| DFMP2 Aia Read                    :      0.350u      0.117s      0.089w     10 calls
| DFMP2 (Q|A)(A|ia)                 :      4.367u      0.067s      0.944w     10 calls
| DFMP2 Qia Write                   :      0.450u      0.250s      0.144w     10 calls
DFMP2 Energy                        :      9.817u      0.467s      2.299w     10 calls
| DFMP2 Qia Read                    :      0.350u      0.083s      0.105w     20 calls

**************************************************************************************

Host: node37.bme.utexas.edu

Timers On : Tue Feb 22 17:47:17 2022
Timers Off: Tue Feb 22 17:50:44 2022

Wall Time:      206.61 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      6.500u      0.133s      4.293w     10 calls
DFH: initialize()                   :    232.067u     14.583s     51.015w     10 calls
DFH: AO Construction                :     89.050u      3.667s     17.937w     10 calls
DFH: AO-Met. Contraction            :    116.867u      8.400s     25.475w     10 calls
HF: Form core H                     :      0.983u      0.117s      0.542w     10 calls
HF: Form S/X                        :      6.083u      0.467s      1.584w     10 calls
