
Host: node165.bme.utexas.edu

Timers On : Sat Nov 18 09:11:29 2023
Timers Off: Sat Nov 18 09:12:33 2023

Wall Time:       64.63 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      9.517u      0.150s      1.316w      1 calls
build grid                          :      8.117u      0.050s      0.981w      1 calls
post-process grid                   :      1.400u      0.100s      0.335w      1 calls
DFH: sparsity prep                  :      0.317u      0.017s      0.200w      1 calls
Libint2ERI::Libint2ERI              :      1.183u      0.033s      0.256w      7 calls
DFH: initialize()                   :    163.567u      3.217s     21.671w      1 calls
Libint2ErfERI::Libint2ErfERI        :      0.533u      0.017s      0.143w      1 calls
DFH: AO Construction                :     20.317u      0.267s      2.475w      2 calls
DFH: AO-Met. Contraction            :     68.833u      0.050s      8.433w      4 calls
DFH: wAO Construction               :     38.283u      0.017s      4.603w      2 calls
DFH: wAO Copy                       :     11.150u      0.150s      1.535w      2 calls
HF: Form core H                     :      0.650u      0.017s      0.078w      1 calls
HF: Form S/X                        :      0.300u      0.000s      0.038w      1 calls
HF: Guess                           :      0.500u      0.017s      0.064w      1 calls
SAD Guess                           :      0.483u      0.017s      0.062w      1 calls
HF: Form G                          :    311.817u      6.250s     38.474w     10 calls
RV: Form V                          :    185.833u      0.183s     22.371w     10 calls
Properties                          :     55.824p                          50370 calls
Functional                          :      3.718p                          50370 calls
V_xc                                :     52.092p                          50370 calls
JK: D                               :      0.033u      0.000s      0.003w     10 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w     10 calls
JK: JK                              :    125.817u      6.050s     16.087w     10 calls
DFH: compute_JK()                   :     52.317u      2.167s      6.550w     10 calls
DFH: Grabbing AOs                   :      0.017u      0.000s      0.000w     10 calls
DFH: compute_J                      :      6.683u      0.650s      0.883w     10 calls
DFH: compute_K                      :     38.317u      0.000s      4.609w     10 calls
DFH: compute_wK()                   :     73.467u      3.883s      9.527w     10 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     10 calls
HF: Form F                          :      0.033u      0.000s      0.006w     10 calls
HF: Form D                          :      0.033u      0.000s      0.003w     10 calls
HF: DIIS                            :      2.517u      0.167s      0.354w      9 calls
HF: Form C                          :      2.550u      0.017s      0.309w      9 calls

--------------------------------------------------------------------------------------
V: Grid                             :      9.517u      0.150s      1.316w      1 calls
| build grid                        :      8.117u      0.050s      0.981w      1 calls
| post-process grid                 :      1.400u      0.100s      0.335w      1 calls
DFH: sparsity prep                  :      0.317u      0.017s      0.200w      1 calls
| Libint2ERI::Libint2ERI            :      0.200u      0.017s      0.134w      1 calls
DFH: initialize()                   :    163.567u      3.217s     21.671w      1 calls
| Libint2ERI::Libint2ERI            :      0.983u      0.017s      0.122w      6 calls
| Libint2ErfERI::Libint2ErfERI      :      0.533u      0.017s      0.143w      1 calls
| DFH: AO Construction              :     20.317u      0.267s      2.475w      2 calls
| DFH: AO-Met. Contraction          :     68.833u      0.050s      8.433w      4 calls
| DFH: wAO Construction             :     38.283u      0.017s      4.603w      2 calls
| DFH: wAO Copy                     :     11.150u      0.150s      1.535w      2 calls
HF: Form core H                     :      0.650u      0.017s      0.078w      1 calls
HF: Form S/X                        :      0.300u      0.000s      0.038w      1 calls
HF: Guess                           :      0.500u      0.017s      0.064w      1 calls
| SAD Guess                         :      0.483u      0.017s      0.062w      1 calls
HF: Form G                          :    311.817u      6.250s     38.474w     10 calls
| RV: Form V                        :    185.833u      0.183s     22.371w     10 calls
| | Properties                      :     55.824p                          50370 calls
| | Functional                      :      3.718p                          50370 calls
| | V_xc                            :     52.092p                          50370 calls
| JK: D                             :      0.033u      0.000s      0.003w     10 calls
| JK: USO2AO                        :      0.000u      0.000s      0.000w     10 calls
| JK: JK                            :    125.817u      6.050s     16.087w     10 calls
| | DFH: compute_JK()               :     52.317u      2.167s      6.550w     10 calls
| | | DFH: Grabbing AOs             :      0.017u      0.000s      0.000w     10 calls
| | | DFH: compute_J                :      6.683u      0.650s      0.883w     10 calls
| | | DFH: compute_K                :     38.317u      0.000s      4.609w     10 calls
| | DFH: compute_wK()               :     73.467u      3.883s      9.527w     10 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     10 calls
HF: Form F                          :      0.033u      0.000s      0.006w     10 calls
HF: Form D                          :      0.033u      0.000s      0.003w     10 calls
HF: DIIS                            :      2.517u      0.167s      0.354w      9 calls
HF: Form C                          :      2.550u      0.017s      0.309w      9 calls

**************************************************************************************

Host: node165.bme.utexas.edu

Timers On : Sat Nov 18 09:12:34 2023
Timers Off: Sat Nov 18 09:13:33 2023

Wall Time:       58.87 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      9.833u      0.133s      1.368w      1 calls
build grid                          :      8.517u      0.083s      1.034w      1 calls
post-process grid                   :      1.317u      0.050s      0.334w      1 calls
DFH: sparsity prep                  :      0.317u      0.017s      0.203w      1 calls
Libint2ERI::Libint2ERI              :      1.233u      0.017s      0.261w      7 calls
DFH: initialize()                   :    150.467u      2.933s     19.890w      1 calls
Libint2ErfERI::Libint2ErfERI        :      0.583u      0.000s      0.146w      1 calls
DFH: AO Construction                :     18.367u      0.200s      2.234w      2 calls
DFH: AO-Met. Contraction            :     65.083u      0.100s      7.977w      4 calls
DFH: wAO Construction               :     34.600u      0.000s      4.159w      2 calls
DFH: wAO Copy                       :      9.583u      0.067s      1.270w      2 calls
HF: Form core H                     :      0.583u      0.017s      0.072w      1 calls
HF: Form S/X                        :      0.233u      0.017s      0.029w      1 calls
HF: Guess                           :      0.450u      0.017s      0.059w      1 calls
SAD Guess                           :      0.450u      0.017s      0.057w      1 calls
HF: Form G                          :    285.017u      4.917s     34.961w     10 calls
RV: Form V                          :    169.917u      0.783s     20.535w     10 calls
Properties                          :     51.332p                          50310 calls
Functional                          :      3.740p                          50310 calls
V_xc                                :     47.425p                          50310 calls
JK: D                               :      0.017u      0.000s      0.003w     10 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w     10 calls
JK: JK                              :    115.067u      4.133s     14.413w     10 calls
DFH: compute_JK()                   :     47.133u      1.350s      5.838w     10 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w     10 calls
DFH: compute_J                      :      5.183u      0.000s      0.623w     10 calls
DFH: compute_K                      :     35.383u      0.000s      4.260w     10 calls
DFH: compute_wK()                   :     67.850u      2.783s      8.567w     10 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     10 calls
HF: Form F                          :      0.050u      0.000s      0.005w     10 calls
HF: Form D                          :      0.017u      0.000s      0.003w     10 calls
HF: DIIS                            :      1.750u      0.100s      0.231w      9 calls
HF: Form C                          :      1.783u      0.033s      0.218w      9 calls

--------------------------------------------------------------------------------------
V: Grid                             :      9.833u      0.133s      1.368w      1 calls
| build grid                        :      8.517u      0.083s      1.034w      1 calls
| post-process grid                 :      1.317u      0.050s      0.334w      1 calls
DFH: sparsity prep                  :      0.317u      0.017s      0.203w      1 calls
| Libint2ERI::Libint2ERI            :      0.217u      0.000s      0.136w      1 calls
DFH: initialize()                   :    150.467u      2.933s     19.890w      1 calls
| Libint2ERI::Libint2ERI            :      1.017u      0.017s      0.125w      6 calls
| Libint2ErfERI::Libint2ErfERI      :      0.583u      0.000s      0.146w      1 calls
| DFH: AO Construction              :     18.367u      0.200s      2.234w      2 calls
| DFH: AO-Met. Contraction          :     65.083u      0.100s      7.977w      4 calls
| DFH: wAO Construction             :     34.600u      0.000s      4.159w      2 calls
| DFH: wAO Copy                     :      9.583u      0.067s      1.270w      2 calls
HF: Form core H                     :      0.583u      0.017s      0.072w      1 calls
HF: Form S/X                        :      0.233u      0.017s      0.029w      1 calls
HF: Guess                           :      0.450u      0.017s      0.059w      1 calls
| SAD Guess                         :      0.450u      0.017s      0.057w      1 calls
HF: Form G                          :    285.017u      4.917s     34.961w     10 calls
| RV: Form V                        :    169.917u      0.783s     20.535w     10 calls
| | Properties                      :     51.332p                          50310 calls
| | Functional                      :      3.740p                          50310 calls
