CH2Cl2-water_1_6_28-tinkermincart_0.8.alz 5.19257435
CH2Cl2-water_1_6_28-tinkermincart_0.85.alz 1.32204813
CH2Cl2-water_1_6_28-tinkermincart_0.9.alz -0.33330297
CH2Cl2-water_1_6_28-tinkermincart_1.alz -1.02119559
CH2Cl2-water_1_6_28-tinkermincart_1.1.alz -0.76339497
CH2Cl2-water_1_6_28-tinkermincart_1.2.alz -0.46107508
CH2Cl2-water_1_6_28-tinkermincart_1.4.alz -0.12629978
CH2Cl2-water_1_7_19-tinkermincart_0.8.alz 0.24575766
CH2Cl2-water_1_7_19-tinkermincart_0.85.alz -0.98624346
CH2Cl2-water_1_7_19-tinkermincart_0.9.alz -1.61249530
CH2Cl2-water_1_7_19-tinkermincart_1.alz -1.94401568
CH2Cl2-water_1_7_19-tinkermincart_1.1.alz -1.78566557
CH2Cl2-water_1_7_19-tinkermincart_1.2.alz -1.50983067
CH2Cl2-water_1_7_19-tinkermincart_1.4.alz -1.00505286
CH2Cl2-CH2Cl2_1_9_1-tinkermincart_0.8.alz 0.42858627
CH2Cl2-CH2Cl2_1_9_1-tinkermincart_0.85.alz -0.79664575
CH2Cl2-CH2Cl2_1_9_1-tinkermincart_0.9.alz -1.33683009
CH2Cl2-CH2Cl2_1_9_1-tinkermincart_1.alz -1.46938852
CH2Cl2-CH2Cl2_1_9_1-tinkermincart_1.1.alz -1.19359030
CH2Cl2-CH2Cl2_1_9_1-tinkermincart_1.2.alz -0.88753863
CH2Cl2-CH2Cl2_1_9_1-tinkermincart_1.4.alz -0.46052249
