#CFlux-bond j parameters. Unit: e/A
cflux-b     -0.00043        cnnN       NH2ben
cflux-b      0.00009        n-G3         c-G4
cflux-b      0.00000        c-G4         c-G5
cflux-b      0.00003        c-G4           n1
cflux-b      0.00014        c-G5           n0
cflux-b      0.00047         O=C          CHO
cflux-b      0.00076         C3*          CHO
cflux-b     -0.00062         CHO           HC
cflux-b      0.00033         Oar       c=Onn1
cflux-b      0.00004        nc=O       ccn1N2
cflux-b      0.00005        nc=O       c=Onn1
cflux-b     -0.00007      NH2Cyt       ccn1N2
cflux-b     -0.00004      NH2Cyt           HN
cflux-b      0.00020          n0       c=Onn1
cflux-b      0.00012      ccn1N2       c-PryN
cflux-b      0.00000      c-PryN       c=Onn1
cflux-b     -0.00008      c=Onn1           Hc
cflux-b      0.00000         car     c-Pheion
cflux-b      0.59999    c-Pheion       O-Phe-
cflux-b      0.00009      NH2ben          car
cflux-b      0.45074           F          CF4
cflux-b      0.38374          Cl         CCl4
cflux-b      0.51467           F          CF3
cflux-b     -0.00014         CF3           HC
cflux-b      0.34629          Cl         CCl3
cflux-b     -0.00012        CCl3           HC
cflux-b      0.28930          Br         CBr3
cflux-b     -0.00008        CBr3           HC
cflux-b      0.57132         OR2        CO=OC
cflux-b      0.33719         O=C        CO=OC
cflux-b      0.00034       CO=OC          C3*
cflux-b      0.00100         OCO       C-carb
cflux-b      0.35014         O=C       C-carb
cflux-b      0.00051      N-carb       C-carb
cflux-b      0.00092      N-carb           HN
cflux-b      0.00005       c0cn1          C3*
cflux-b      0.55290       c0cn1        ccnr5
cflux-b     -0.05182       ccnr5           Hc
cflux-b      0.00000         C3*         N=C+
cflux-b     -0.00000          C+          N=C
cflux-b      0.00000         N=C           H+
cflux-b     -0.12812         SO2          O=S
cflux-b     -0.00042         SO2          C3*
cflux-b      0.00000          SS           SS
cflux-b      0.00318          SS          C3*
cflux-b     -0.36549       CO=O-           HC
cflux-b      0.40523          Cl         COCl
cflux-b      0.40475         O=C         COCl
cflux-b     -0.00008         C3*         COCl
cflux-b      0.57794           F          COF
cflux-b      0.23445         O=C          COF
cflux-b     -0.00004         C3*          COF
cflux-b      0.46388          Br         COBr
cflux-b      0.54382         O=C         COBr
cflux-b     -0.00009         C3*         COBr
cflux-b      0.15914       O-est          C3*
cflux-b      0.31563       O-est          CO3
cflux-b      0.39864         O=C          CO3
cflux-b      0.41505         OCO          CO3
cflux-b      0.02353         car          C1N
cflux-b     -0.00075          P3           HP
cflux-b      0.00011         O=C        C-Ket
cflux-b      0.00009         C3*        C-Ket
cflux-b      0.13034         Oxo         c0r5
cflux-b     -0.00260         Oxo       C3O2R5
cflux-b      0.00000        c0r5         c0r5
cflux-b     -0.00004        c0r5          car
cflux-b      0.00011      C3O2R5           HC
cflux-b      0.03684         Oxo       C3O1R5
cflux-b      0.00000      C3O1R5       C3O1R5
cflux-b      0.00010      C3O1R5           HC
cflux-b      0.04694         N=C          C3*
cflux-b      0.11820         C=N          C3*
cflux-b      0.38306       O-est         CO=O
cflux-b      0.00054      C-Bket         CO=O
cflux-b     -0.00020      C-Bket        C-Ket
cflux-b     -0.05777      C-Bket           HC
cflux-b      0.03679         OCO        C-Oxa
cflux-b      0.13765         O=C        C-Oxa
cflux-b      0.00000       C-Oxa        C-Oxa
cflux-b      0.33719         OCO       C-Oxa1
cflux-b      0.27607         O=C       C-Oxa1
