
Host: node37.bme.utexas.edu

Timers On : Tue Feb 22 18:05:20 2022
Timers Off: Tue Feb 22 18:16:38 2022

Wall Time:      678.21 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
HF: Form S/X                        :      8.383u      0.567s      2.046w     10 calls
HF: Guess                           :     55.850u      3.967s     13.064w     10 calls
SAD Guess                           :     54.633u      3.917s     12.782w     10 calls
HF: Form G                          :    593.217u    216.417s    236.099w    110 calls
JK: D                               :      0.950u      0.033s      0.219w    110 calls
JK: USO2AO                          :      0.217u      0.017s      0.054w    110 calls
JK: JK                              :    589.750u    216.150s    235.151w    110 calls
DFH: compute_JK()                   :    589.750u    216.150s    235.149w    110 calls
DFH: Grabbing AOs                   :     25.200u    167.483s    111.219w    110 calls
DFH: compute_J                      :     75.050u      1.967s     15.207w    110 calls
DFH: compute_K                      :    470.400u     16.317s     88.888w    110 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w    110 calls
HF: Form F                          :      1.067u      0.100s      0.240w    110 calls
HF: Form D                          :      1.033u      0.083s      0.293w    110 calls
HF: DIIS                            :     26.533u      3.167s      6.302w    100 calls
DIISManager::add_entry              :      2.200u      0.617s      0.617w    100 calls
DIISManager::extrapolate            :      6.650u      1.917s      1.688w    100 calls
bMatrix setup                       :      4.250u      1.250s      1.106w    100 calls
bMatrix pseudoinverse               :      0.067u      0.017s      0.014w    100 calls
New vector                          :      2.317u      0.650s      0.564w    100 calls
HF: Form C                          :     87.250u      4.700s     18.527w    100 calls
DFMP2 Singles                       :      1.533u      0.100s      0.339w     10 calls
DFMP2 Aia                           :    433.417u     24.100s    110.003w     10 calls
DFMP2 (A|mn)                        :    347.317u      0.533s     60.866w     10 calls
DFMP2 (A|mn)C_mi                    :     19.333u      0.500s      3.535w     10 calls
DFMP2 (A|mi)C_na                    :     14.500u      0.300s      2.765w     10 calls
DFMP2 Aia Write                     :      1.017u      0.650s      0.347w     10 calls
DFMP2 Qia                           :     78.733u      5.417s     17.467w     10 calls
DFMP2 Metric                        :     54.900u      2.750s     12.354w     10 calls
DFMP2 Aia Read                      :      0.683u      0.433s      0.341w     10 calls
DFMP2 (Q|A)(A|ia)                   :     18.117u      0.217s      3.367w     10 calls
DFMP2 Qia Write                     :      1.383u      0.667s      0.381w     10 calls
DFMP2 Energy                        :     63.967u      2.117s     12.728w     10 calls
DFMP2 Qia Read                      :      0.450u      0.333s      0.453w     20 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :     23.983u      0.267s     17.233w     10 calls
DFH: initialize()                   :    933.900u     47.233s    193.803w     10 calls
| DFH: AO Construction              :     80.300u      2.400s     15.501w      7 calls
| DFH: AO-Met. Contraction          :     86.333u      5.017s     16.706w      7 calls
| DFH: Total Workflow               :    708.733u     19.583s    134.829w      6 calls
| | DFH: AO Construction            :    309.617u      9.650s     61.550w      6 calls
| | DFH: AO-Met. Contraction        :    399.117u      9.933s     73.279w      6 calls
HF: Form core H                     :      0.283u      0.100s      0.395w     10 calls
HF: Form S/X                        :      8.383u      0.567s      2.046w     10 calls
HF: Guess                           :     55.850u      3.967s     13.064w     10 calls
| SAD Guess                         :     54.633u      3.917s     12.782w     10 calls
HF: Form G                          :    593.217u    216.417s    236.099w    110 calls
| JK: D                             :      0.950u      0.033s      0.219w    110 calls
| JK: USO2AO                        :      0.217u      0.017s      0.054w    110 calls
| JK: JK                            :    589.750u    216.150s    235.151w    110 calls
| | DFH: compute_JK()               :    589.750u    216.150s    235.149w    110 calls
| | | DFH: Grabbing AOs             :     25.200u    167.483s    111.219w    110 calls
| | | DFH: compute_J                :     75.050u      1.967s     15.207w    110 calls
| | | DFH: compute_K                :    470.400u     16.317s     88.888w    110 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w    110 calls
HF: Form F                          :      1.067u      0.100s      0.240w    110 calls
HF: Form D                          :      1.033u      0.083s      0.293w    110 calls
HF: DIIS                            :     26.533u      3.167s      6.302w    100 calls
| DIISManager::add_entry            :      2.200u      0.617s      0.617w    100 calls
| DIISManager::extrapolate          :      6.650u      1.917s      1.688w    100 calls
| | bMatrix setup                   :      4.250u      1.250s      1.106w    100 calls
| | bMatrix pseudoinverse           :      0.067u      0.017s      0.014w    100 calls
| | New vector                      :      2.317u      0.650s      0.564w    100 calls
HF: Form C                          :     87.250u      4.700s     18.527w    100 calls
DFMP2 Singles                       :      1.533u      0.100s      0.339w     10 calls
DFMP2 Aia                           :    433.417u     24.100s    110.003w     10 calls
| DFMP2 (A|mn)                      :    347.317u      0.533s     60.866w     10 calls
| DFMP2 (A|mn)C_mi                  :     19.333u      0.500s      3.535w     10 calls
| DFMP2 (A|mi)C_na                  :     14.500u      0.300s      2.765w     10 calls
| DFMP2 Aia Write                   :      1.017u      0.650s      0.347w     10 calls
DFMP2 Qia                           :     78.733u      5.417s     17.467w     10 calls
| DFMP2 Metric                      :     54.900u      2.750s     12.354w     10 calls
| DFMP2 Aia Read                    :      0.683u      0.433s      0.341w     10 calls
| DFMP2 (Q|A)(A|ia)                 :     18.117u      0.217s      3.367w     10 calls
| DFMP2 Qia Write                   :      1.383u      0.667s      0.381w     10 calls
DFMP2 Energy                        :     63.967u      2.117s     12.728w     10 calls
| DFMP2 Qia Read                    :      0.450u      0.333s      0.453w     20 calls

**************************************************************************************

Host: node37.bme.utexas.edu

Timers On : Tue Feb 22 18:16:53 2022
Timers Off: Tue Feb 22 18:27:49 2022

Wall Time:      656.03 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :     26.367u      0.300s     16.615w     10 calls
DFH: initialize()                   :    929.633u     59.883s    179.344w     10 calls
DFH: AO Construction                :    390.783u     12.800s     68.626w     13 calls
DFH: AO-Met. Contraction            :    481.750u     23.317s     85.718w     13 calls
DFH: Total Workflow                 :    696.300u     27.600s    119.549w      6 calls
HF: Form core H                     :      0.750u      0.200s      1.347w     10 calls
HF: Form S/X                        :      7.883u      0.467s      1.824w     10 calls
HF: Guess                           :     51.550u      3.267s     12.418w     10 calls
SAD Guess                           :     50.100u      3.100s     12.102w     10 calls
HF: Form G                          :    590.267u    211.017s    221.618w    109 calls
JK: D                               :      0.800u      0.100s      0.159w    109 calls
JK: USO2AO                          :      0.417u      0.050s      0.088w    109 calls
JK: JK                              :    587.067u    210.683s    220.876w    109 calls
DFH: compute_JK()                   :    587.000u    210.683s    220.874w    109 calls
DFH: Grabbing AOs                   :     26.067u    157.150s    101.261w    109 calls
DFH: compute_J                      :     80.567u      5.033s     15.536w    109 calls
DFH: compute_K                      :    461.017u     16.900s     84.675w    109 calls
JK: AO2USO                          :      0.000u      0.000s      0.001w    109 calls
HF: Form F                          :      1.033u      0.133s      0.255w    109 calls
HF: Form D                          :      1.033u      0.050s      0.249w    109 calls
HF: DIIS                            :     26.450u      3.000s      5.679w     99 calls
DIISManager::add_entry              :      3.350u      0.700s      0.967w     99 calls
DIISManager::extrapolate            :      5.917u      1.617s      1.252w     99 calls
bMatrix setup                       :      3.167u      1.067s      0.712w     99 calls
bMatrix pseudoinverse               :      0.050u      0.017s      0.015w     99 calls
New vector                          :      2.617u      0.533s      0.522w     99 calls
HF: Form C                          :     73.267u      3.567s     13.940w     99 calls
DFMP2 Singles                       :      1.267u      0.050s      0.241w     10 calls
DFMP2 Aia                           :    442.383u     28.700s    116.641w     10 calls
DFMP2 (A|mn)                        :    351.100u      1.583s     62.231w     10 calls
DFMP2 (A|mn)C_mi                    :     20.883u      1.983s      4.631w     10 calls
DFMP2 (A|mi)C_na                    :     13.883u      0.300s      2.933w     10 calls
DFMP2 Aia Write                     :      1.100u      0.700s      0.423w     10 calls
DFMP2 Qia                           :     82.100u      5.617s     17.788w     10 calls
DFMP2 Metric                        :     58.733u      2.983s     12.577w     10 calls
DFMP2 Aia Read                      :      0.583u      0.483s      0.338w     10 calls
DFMP2 (Q|A)(A|ia)                   :     17.867u      0.250s      3.420w     10 calls
DFMP2 Qia Write                     :      1.433u      0.800s      0.457w     10 calls
DFMP2 Energy                        :     67.767u      2.217s     13.634w     10 calls
DFMP2 Qia Read                      :      0.717u      0.367s      0.445w     20 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :     26.367u      0.300s     16.615w     10 calls
DFH: initialize()                   :    929.633u     59.883s    179.344w     10 calls
| DFH: AO Construction              :     84.617u      2.633s     15.679w      7 calls
| DFH: AO-Met. Contraction          :     91.617u      5.883s     19.117w      7 calls
| DFH: Total Workflow               :    696.300u     27.600s    119.549w      6 calls
| | DFH: AO Construction            :    306.167u     10.167s     52.947w      6 calls
| | DFH: AO-Met. Contraction        :    390.133u     17.433s     66.601w      6 calls
HF: Form core H                     :      0.750u      0.200s      1.347w     10 calls
HF: Form S/X                        :      7.883u      0.467s      1.824w     10 calls
HF: Guess                           :     51.550u      3.267s     12.418w     10 calls
| SAD Guess                         :     50.100u      3.100s     12.102w     10 calls
HF: Form G                          :    590.267u    211.017s    221.618w    109 calls
| JK: D                             :      0.800u      0.100s      0.159w    109 calls
| JK: USO2AO                        :      0.417u      0.050s      0.088w    109 calls
| JK: JK                            :    587.067u    210.683s    220.876w    109 calls
| | DFH: compute_JK()               :    587.000u    210.683s    220.874w    109 calls
| | | DFH: Grabbing AOs             :     26.067u    157.150s    101.261w    109 calls
| | | DFH: compute_J                :     80.567u      5.033s     15.536w    109 calls
| | | DFH: compute_K                :    461.017u     16.900s     84.675w    109 calls
| JK: AO2USO                        :      0.000u      0.000s      0.001w    109 calls
HF: Form F                          :      1.033u      0.133s      0.255w    109 calls
HF: Form D                          :      1.033u      0.050s      0.249w    109 calls
HF: DIIS                            :     26.450u      3.000s      5.679w     99 calls
| DIISManager::add_entry            :      3.350u      0.700s      0.967w     99 calls
| DIISManager::extrapolate          :      5.917u      1.617s      1.252w     99 calls
| | bMatrix setup                   :      3.167u      1.067s      0.712w     99 calls
| | bMatrix pseudoinverse           :      0.050u      0.017s      0.015w     99 calls
| | New vector                      :      2.617u      0.533s      0.522w     99 calls
HF: Form C                          :     73.267u      3.567s     13.940w     99 calls
DFMP2 Singles                       :      1.267u      0.050s      0.241w     10 calls
DFMP2 Aia                           :    442.383u     28.700s    116.641w     10 calls
| DFMP2 (A|mn)                      :    351.100u      1.583s     62.231w     10 calls
| DFMP2 (A|mn)C_mi                  :     20.883u      1.983s      4.631w     10 calls
| DFMP2 (A|mi)C_na                  :     13.883u      0.300s      2.933w     10 calls
| DFMP2 Aia Write                   :      1.100u      0.700s      0.423w     10 calls
DFMP2 Qia                           :     82.100u      5.617s     17.788w     10 calls
| DFMP2 Metric                      :     58.733u      2.983s     12.577w     10 calls
| DFMP2 Aia Read                    :      0.583u      0.483s      0.338w     10 calls
| DFMP2 (Q|A)(A|ia)                 :     17.867u      0.250s      3.420w     10 calls
| DFMP2 Qia Write                   :      1.433u      0.800s      0.457w     10 calls
DFMP2 Energy                        :     67.767u      2.217s     13.634w     10 calls
| DFMP2 Qia Read                    :      0.717u      0.367s      0.445w     20 calls

**************************************************************************************

Host: node37.bme.utexas.edu

Timers On : Tue Feb 22 18:16:42 2022
Timers Off: Tue Feb 22 18:27:49 2022

Wall Time:      667.11 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :     27.350u      0.250s     16.880w     10 calls
DFH: initialize()                   :    948.650u     58.300s    186.519w     10 calls
DFH: AO Construction                :    398.767u     13.417s     69.749w     13 calls
DFH: AO-Met. Contraction            :    488.617u     20.433s     86.417w     13 calls
DFH: Total Workflow                 :    706.617u     24.333s    121.742w      6 calls
HF: Form core H                     :      0.483u      0.117s      0.450w     10 calls
HF: Form S/X                        :      7.800u      0.433s      1.616w     10 calls
HF: Guess                           :     55.733u      3.617s     15.150w     10 calls
SAD Guess                           :     54.300u      3.517s     14.880w     10 calls
HF: Form G                          :    621.467u    219.717s    228.268w    110 calls
JK: D                               :      0.683u      0.033s      0.136w    110 calls
JK: USO2AO                          :      0.283u      0.067s      0.064w    110 calls
JK: JK                              :    618.783u    219.483s    227.655w    110 calls
DFH: compute_JK()                   :    618.783u    219.483s    227.653w    110 calls
DFH: Grabbing AOs                   :     26.867u    170.267s    106.706w    110 calls
DFH: compute_J                      :     89.733u      2.000s     16.156w    110 calls
DFH: compute_K                      :    481.217u     15.767s     85.518w    110 calls
JK: AO2USO                          :      0.000u      0.000s      0.001w    110 calls
HF: Form F                          :      1.083u      0.183s      0.238w    110 calls
HF: Form D                          :      1.117u      0.083s      0.267w    110 calls
HF: DIIS                            :     29.067u      3.217s      7.504w    100 calls
DIISManager::add_entry              :      4.317u      0.867s      2.484w    100 calls
DIISManager::extrapolate            :      6.533u      1.783s      1.496w    100 calls
bMatrix setup                       :      3.533u      1.067s      0.879w    100 calls
bMatrix pseudoinverse               :      0.067u      0.000s      0.014w    100 calls
New vector                          :      2.900u      0.717s      0.600w    100 calls
HF: Form C                          :     81.517u      3.733s     15.734w    100 calls
DFMP2 Singles                       :      1.300u      0.017s      0.243w     10 calls
DFMP2 Aia                           :    435.583u     24.450s    110.815w     10 calls
DFMP2 (A|mn)                        :    343.367u      0.517s     59.181w     10 calls
DFMP2 (A|mn)C_mi                    :     19.283u      0.333s      3.724w     10 calls
DFMP2 (A|mi)C_na                    :     15.283u      0.233s      3.164w     10 calls
DFMP2 Aia Write                     :      1.150u      0.617s      0.458w     10 calls
DFMP2 Qia                           :     76.683u      4.700s     15.925w     10 calls
DFMP2 Metric                        :     51.883u      2.083s     10.718w     10 calls
DFMP2 Aia Read                      :      0.583u      0.400s      0.294w     10 calls
DFMP2 (Q|A)(A|ia)                   :     18.567u      0.217s      3.375w     10 calls
DFMP2 Qia Write                     :      1.833u      0.783s      0.465w     10 calls
DFMP2 Energy                        :     64.633u      1.950s     13.020w     10 calls
DFMP2 Qia Read                      :      0.467u      0.333s      0.404w     20 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :     27.350u      0.250s     16.880w     10 calls
DFH: initialize()                   :    948.650u     58.300s    186.519w     10 calls
| DFH: AO Construction              :     86.467u      2.867s     15.353w      7 calls
| DFH: AO-Met. Contraction          :     94.300u      6.650s     19.071w      7 calls
| DFH: Total Workflow               :    706.617u     24.333s    121.742w      6 calls
| | DFH: AO Construction            :    312.300u     10.550s     54.396w      6 calls
| | DFH: AO-Met. Contraction        :    394.317u     13.783s     67.345w      6 calls
HF: Form core H                     :      0.483u      0.117s      0.450w     10 calls
HF: Form S/X                        :      7.800u      0.433s      1.616w     10 calls
HF: Guess                           :     55.733u      3.617s     15.150w     10 calls
| SAD Guess                         :     54.300u      3.517s     14.880w     10 calls
HF: Form G                          :    621.467u    219.717s    228.268w    110 calls
| JK: D                             :      0.683u      0.033s      0.136w    110 calls
| JK: USO2AO                        :      0.283u      0.067s      0.064w    110 calls
| JK: JK                            :    618.783u    219.483s    227.655w    110 calls
| | DFH: compute_JK()               :    618.783u    219.483s    227.653w    110 calls
| | | DFH: Grabbing AOs             :     26.867u    170.267s    106.706w    110 calls
| | | DFH: compute_J                :     89.733u      2.000s     16.156w    110 calls
| | | DFH: compute_K                :    481.217u     15.767s     85.518w    110 calls
| JK: AO2USO                        :      0.000u      0.000s      0.001w    110 calls
HF: Form F                          :      1.083u      0.183s      0.238w    110 calls
HF: Form D                          :      1.117u      0.083s      0.267w    110 calls
HF: DIIS                            :     29.067u      3.217s      7.504w    100 calls
| DIISManager::add_entry            :      4.317u      0.867s      2.484w    100 calls
| DIISManager::extrapolate          :      6.533u      1.783s      1.496w    100 calls
| | bMatrix setup                   :      3.533u      1.067s      0.879w    100 calls
| | bMatrix pseudoinverse           :      0.067u      0.000s      0.014w    100 calls
| | New vector                      :      2.900u      0.717s      0.600w    100 calls
HF: Form C                          :     81.517u      3.733s     15.734w    100 calls
DFMP2 Singles                       :      1.300u      0.017s      0.243w     10 calls
DFMP2 Aia                           :    435.583u     24.450s    110.815w     10 calls
| DFMP2 (A|mn)                      :    343.367u      0.517s     59.181w     10 calls
| DFMP2 (A|mn)C_mi                  :     19.283u      0.333s      3.724w     10 calls
| DFMP2 (A|mi)C_na                  :     15.283u      0.233s      3.164w     10 calls
| DFMP2 Aia Write                   :      1.150u      0.617s      0.458w     10 calls
DFMP2 Qia                           :     76.683u      4.700s     15.925w     10 calls
| DFMP2 Metric                      :     51.883u      2.083s     10.718w     10 calls
| DFMP2 Aia Read                    :      0.583u      0.400s      0.294w     10 calls
| DFMP2 (Q|A)(A|ia)                 :     18.567u      0.217s      3.375w     10 calls
| DFMP2 Qia Write                   :      1.833u      0.783s      0.465w     10 calls
DFMP2 Energy                        :     64.633u      1.950s     13.020w     10 calls
| DFMP2 Qia Read                    :      0.467u      0.333s      0.404w     20 calls

**************************************************************************************

Host: node37.bme.utexas.edu

Timers On : Tue Feb 22 18:27:52 2022
Timers Off: Tue Feb 22 18:39:02 2022

Wall Time:      670.00 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :     28.300u      0.267s     18.281w     10 calls
DFH: initialize()                   :    898.350u     51.583s    191.704w     10 calls
DFH: AO Construction                :    368.467u     12.300s     71.746w     10 calls
