
Host: node37.bme.utexas.edu

Timers On : Wed Jul 28 13:49:02 2021
Timers Off: Wed Jul 28 13:49:12 2021

Wall Time:       10.09 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
| | bMatrix pseudoinverse           :      0.017u      0.000s      0.002w     45 calls
| | New vector                      :      0.017u      0.000s      0.002w     45 calls
HF: Form C                          :      0.067u      0.000s      0.016w     48 calls
DFMP2 Singles                       :      0.017u      0.000s      0.001w      4 calls
DFMP2 Aia                           :      2.917u      0.200s      0.472w      4 calls
| DFMP2 (A|mn)                      :      0.250u      0.000s      0.036w      4 calls
| DFMP2 (A|mn)C_mi                  :      0.000u      0.017s      0.002w      4 calls
| DFMP2 (A|mi)C_na                  :      0.000u      0.000s      0.001w      4 calls
| DFMP2 Aia Write                   :      0.017u      0.000s      0.001w      4 calls
DFMP2 iaQ                           :      2.400u      0.167s      0.398w      4 calls
| DFMP2 Metric                      :      2.033u      0.117s      0.326w      4 calls
| DFMP2 Aia Read                    :      0.017u      0.017s      0.002w      4 calls
| DFMP2 (Q|A)(A|ia)                 :      0.033u      0.000s      0.004w      8 calls
| DFMP2 Qia Write                   :      0.000u      0.000s      0.001w      4 calls
| DFMP2 Qia Read                    :      0.000u      0.000s      0.000w      4 calls
| DFMP2 Bia Write                   :      0.017u      0.000s      0.001w      4 calls
DFMP2 aiQ                           :      0.117u      0.017s      0.033w      4 calls
DFMP2 Tij                           :      0.250u      0.050s      0.051w      4 calls
| DFMP2 Qia Read                    :      0.000u      0.000s      0.001w      8 calls
| DFMP2 Cia Read                    :      0.017u      0.000s      0.000w      4 calls
| DFMP2 I                           :      0.050u      0.000s      0.004w      4 calls
| DFMP2 T2                          :      0.000u      0.000s      0.002w      4 calls
| DFMP2 G                           :      0.033u      0.000s      0.004w      4 calls
| DFMP2 Pab                         :      0.017u      0.000s      0.002w      4 calls
| DFMP2 Gia Write                   :      0.000u      0.000s      0.001w      4 calls
DFMP2 Tab                           :      0.233u      0.017s      0.045w      4 calls
| DFMP2 Qai Read                    :      0.017u      0.000s      0.001w      8 calls
| DFMP2 I                           :      0.000u      0.000s      0.003w      4 calls
| DFMP2 T2                          :      0.017u      0.000s      0.005w      4 calls
| DFMP2 Pij                         :      0.000u      0.000s      0.001w      4 calls
DFMP2 gamma                         :      0.183u      0.000s      0.039w      4 calls
| DFMP2 Gia Read                    :      0.000u      0.000s      0.000w      4 calls
| DFMP2 Cia Read                    :      0.000u      0.000s      0.000w      4 calls
