
Host: node37.bme.utexas.edu

Timers On : Mon Sep 21 14:19:33 2020
Timers Off: Mon Sep 21 14:21:23 2020

Wall Time:      110.27 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
| | bMatrix setup                   :      0.000u      0.017s      0.008w     31 calls
| | bMatrix pseudoinverse           :      0.000u      0.000s      0.003w     31 calls
| | New vector                      :      0.033u      0.000s      0.007w     31 calls
HF: Form C                          :      0.117u      0.000s      0.097w     33 calls
Grad: V T Perturb                   :      0.850u      0.000s      0.508w      3 calls
Grad: S                             :      0.017u      0.000s      0.006w      3 calls
Grad: JK                            :     33.183u      0.300s     20.702w      3 calls
| JKGrad: Amn                       :      3.283u      0.017s      1.983w      3 calls
| JKGrad: Awmn                      :      3.600u      0.017s      2.181w      3 calls
| JKGrad: AB                        :      1.917u      0.050s      1.177w      3 calls
| JKGrad: UV                        :      0.300u      0.033s      0.200w      3 calls
| JKGrad: ABx                       :      0.450u      0.017s      0.261w      3 calls
| JKGrad: Amnx                      :     23.433u      0.100s     14.137w      3 calls
Grad: XC                            :     15.567u      0.083s      9.388w      3 calls
| Properties                        :      7.433u      0.017s      4.326w   7096 calls
| Functional                        :      2.700u      0.017s      1.542w   7096 calls
| V_xc gradient                     :      5.367u      0.050s      3.456w   7096 calls

**************************************************************************************

Host: node37.bme.utexas.edu

Timers On : Mon Sep 21 14:22:24 2020
Timers Off: Mon Sep 21 14:22:40 2020

Wall Time:       16.31 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      0.067u      0.000s      0.047w      1 calls
DFH: initialize()                   :      3.483u      0.117s      2.151w      1 calls
DFH: AO Construction                :      1.417u      0.033s      0.863w      1 calls
DFH: AO-Met. Contraction            :      1.417u      0.050s      0.883w      1 calls
HF: Form core H                     :      0.000u      0.000s      0.027w      1 calls
HF: Form S/X                        :      0.000u      0.000s      0.007w      1 calls
HF: Guess                           :      0.550u      0.000s      7.605w      1 calls
SAD Guess                           :      0.517u      0.000s      7.593w      1 calls
HF: Form G                          :      3.717u      0.100s      2.305w     14 calls
JK: D                               :      0.000u      0.000s      0.002w     14 calls
JK: USO2AO                          :      0.000u      0.000s      0.001w     14 calls
JK: JK                              :      3.700u      0.100s      2.299w     14 calls
DFH: compute_JK()                   :      3.700u      0.100s      2.299w     14 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w     14 calls
DFH: compute_J                      :      0.667u      0.017s      0.400w     14 calls
DFH: compute_K                      :      3.033u      0.083s      1.898w     14 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     14 calls
HF: Form F                          :      0.000u      0.000s      0.002w     14 calls
HF: Form D                          :      0.017u      0.000s      0.001w     14 calls
HF: DIIS                            :      0.067u      0.033s      0.058w     13 calls
DIISManager::add_entry              :      0.017u      0.000s      0.010w     13 calls
DIISManager::extrapolate            :      0.000u      0.033s      0.015w     13 calls
bMatrix setup                       :      0.000u      0.000s      0.007w     13 calls
bMatrix pseudoinverse               :      0.000u      0.000s      0.001w     13 calls
New vector                          :      0.000u      0.033s      0.007w     13 calls
HF: Form C                          :      0.117u      0.000s      0.089w     13 calls
DFMP2 Singles                       :      0.000u      0.000s      0.001w      1 calls
DFMP2 Aia                           :      2.217u      0.133s      1.434w      1 calls
DFMP2 (A|mn)                        :      1.783u      0.067s      1.111w      1 calls
DFMP2 (A|mn)C_mi                    :      0.100u      0.000s      0.069w      1 calls
DFMP2 (A|mi)C_na                    :      0.083u      0.000s      0.044w      1 calls
DFMP2 Aia Write                     :      0.000u      0.017s      0.008w      1 calls
DFMP2 Qia                           :      0.867u      0.033s      0.546w      1 calls
DFMP2 Metric                        :      0.633u      0.000s      0.389w      1 calls
DFMP2 Aia Read                      :      0.000u      0.017s      0.006w      1 calls
DFMP2 (Q|A)(A|ia)                   :      0.217u      0.000s      0.134w      1 calls
DFMP2 Qia Write                     :      0.000u      0.017s      0.008w      1 calls
DFMP2 Energy                        :      0.467u      0.017s      0.298w      1 calls
DFMP2 Qia Read                      :      0.017u      0.000s      0.007w      2 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :      0.067u      0.000s      0.047w      1 calls
DFH: initialize()                   :      3.483u      0.117s      2.151w      1 calls
| DFH: AO Construction              :      1.417u      0.033s      0.863w      1 calls
