
Host: node74.bme.utexas.edu

Timers On : Tue Jun 14 14:06:26 2022
Timers Off: Tue Jun 14 14:38:02 2022

Wall Time:     1895.90 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
| V_xc gradient                     :     63.444p                          64192 calls

**************************************************************************************

Host: node74.bme.utexas.edu

Timers On : Tue Jun 14 14:06:26 2022
Timers Off: Tue Jun 14 14:39:19 2022

Wall Time:     1973.37 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :     90.317u      0.750s     51.837w     23 calls
build grid                          :     79.733u      0.383s     44.188w     23 calls
post-process grid                   :     10.567u      0.367s      7.643w     23 calls
DFH: sparsity prep                  :      3.250u      0.000s      3.658w     23 calls
Libint2ERI::Libint2ERI              :     12.900u      0.317s      9.242w    207 calls
DFH: initialize()                   :    408.917u     13.067s    235.929w     23 calls
Libint2ErfERI::Libint2ErfERI        :     17.000u      0.367s     11.432w     92 calls
DFH: AO Construction                :     59.283u      1.283s     32.801w     23 calls
DFH: AO-Met. Contraction            :    140.483u      0.700s     76.907w     46 calls
DFH: wAO Construction               :     67.383u      0.067s     36.212w     23 calls
DFH: wAO Copy                       :      9.583u      0.183s      5.506w     23 calls
HF: Form core H                     :      4.150u      0.200s      3.320w     23 calls
HF: Form S/X                        :      0.900u      0.033s      0.515w     23 calls
HF: Guess                           :     10.950u      0.517s      6.872w     23 calls
SAD Guess                           :     10.783u      0.517s      6.807w     23 calls
HF: Form G                          :   1806.350u     58.467s    999.949w    368 calls
RV: Form V                          :   1199.400u     11.783s    647.060w    368 calls
Properties                          :    477.947p                         1094069 calls
Functional                          :    406.485p                         1094069 calls
V_xc                                :    483.470p                         1029712 calls
JK: D                               :      0.300u      0.017s      0.213w    368 calls
JK: USO2AO                          :      0.050u      0.000s      0.004w    368 calls
JK: JK                              :    602.450u     46.533s    347.939w    368 calls
DFH: compute_JK()                   :    249.417u     15.400s    138.748w    368 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.001w    368 calls
DFH: compute_J                      :     22.867u      0.467s     11.662w    368 calls
DFH: compute_K                      :    202.783u      0.850s    108.164w    368 calls
DFH: compute_wK()                   :    352.817u     31.133s    209.110w    368 calls
JK: AO2USO                          :      0.000u      0.000s      0.001w    368 calls
HF: Form F                          :      0.850u      0.067s      0.692w    368 calls
HF: Form D                          :      0.317u      0.017s      0.211w    368 calls
HF: DIIS                            :     12.617u      1.350s     11.690w    345 calls
HF: Form C                          :     11.700u      0.483s      7.026w    345 calls
Grad: V T Perturb                   :      4.217u      0.017s      2.363w     23 calls
Grad: S                             :      0.667u      0.017s      0.626w     23 calls
Grad: JK                            :    795.150u     18.017s    440.568w     23 calls
JKGrad: Amn                         :     89.083u      3.617s     54.476w     23 calls
JKGrad: Awmn                        :     97.667u      3.300s     59.312w     23 calls
JKGrad: AB                          :     82.333u      2.500s     46.264w     23 calls
JKGrad: UV                          :     20.917u      1.317s     12.240w     23 calls
JKGrad: ABx                         :      7.517u      0.200s      4.377w     23 calls
JKGrad: Amnx                        :    494.067u      6.617s    259.356w     23 calls
Grad: XC                            :    194.500u      0.817s    101.127w     23 calls
V_xc gradient                       :     72.456p                          64357 calls

--------------------------------------------------------------------------------------
V: Grid                             :     90.317u      0.750s     51.837w     23 calls
| build grid                        :     79.733u      0.383s     44.188w     23 calls
| post-process grid                 :     10.567u      0.367s      7.643w     23 calls
DFH: sparsity prep                  :      3.250u      0.000s      3.658w     23 calls
| Libint2ERI::Libint2ERI            :      2.200u      0.000s      2.396w     23 calls
DFH: initialize()                   :    408.917u     13.067s    235.929w     23 calls
| Libint2ERI::Libint2ERI            :      3.250u      0.067s      2.198w     69 calls
| Libint2ErfERI::Libint2ErfERI      :      3.983u      0.133s      2.603w     23 calls
| DFH: AO Construction              :     59.283u      1.283s     32.801w     23 calls
| DFH: AO-Met. Contraction          :    140.483u      0.700s     76.907w     46 calls
| DFH: wAO Construction             :     67.383u      0.067s     36.212w     23 calls
| DFH: wAO Copy                     :      9.583u      0.183s      5.506w     23 calls
HF: Form core H                     :      4.150u      0.200s      3.320w     23 calls
HF: Form S/X                        :      0.900u      0.033s      0.515w     23 calls
HF: Guess                           :     10.950u      0.517s      6.872w     23 calls
| SAD Guess                         :     10.783u      0.517s      6.807w     23 calls
HF: Form G                          :   1806.350u     58.467s    999.949w    368 calls
| RV: Form V                        :   1199.400u     11.783s    647.060w    368 calls
| | Properties                      :    375.223p                         1029712 calls
| | Functional                      :    382.974p                         1029712 calls
| | V_xc                            :    483.470p                         1029712 calls
| JK: D                             :      0.300u      0.017s      0.213w    368 calls
| JK: USO2AO                        :      0.050u      0.000s      0.004w    368 calls
| JK: JK                            :    602.450u     46.533s    347.939w    368 calls
| | DFH: compute_JK()               :    249.417u     15.400s    138.748w    368 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.001w    368 calls
| | | DFH: compute_J                :     22.867u      0.467s     11.662w    368 calls
| | | DFH: compute_K                :    202.783u      0.850s    108.164w    368 calls
| | DFH: compute_wK()               :    352.817u     31.133s    209.110w    368 calls
| JK: AO2USO                        :      0.000u      0.000s      0.001w    368 calls
HF: Form F                          :      0.850u      0.067s      0.692w    368 calls
HF: Form D                          :      0.317u      0.017s      0.211w    368 calls
HF: DIIS                            :     12.617u      1.350s     11.690w    345 calls
HF: Form C                          :     11.700u      0.483s      7.026w    345 calls
Grad: V T Perturb                   :      4.217u      0.017s      2.363w     23 calls
Grad: S                             :      0.667u      0.017s      0.626w     23 calls
Grad: JK                            :    795.150u     18.017s    440.568w     23 calls
| JKGrad: Amn                       :     89.083u      3.617s     54.476w     23 calls
| | Libint2ERI::Libint2ERI          :      3.367u      0.100s      2.239w     23 calls
| JKGrad: Awmn                      :     97.667u      3.300s     59.312w     23 calls
| | Libint2ErfERI::Libint2ErfERI    :      8.583u      0.167s      5.923w     46 calls
| JKGrad: AB                        :     82.333u      2.500s     46.264w     23 calls
| | Libint2ERI::Libint2ERI          :      0.050u      0.000s      0.018w     46 calls
| JKGrad: UV                        :     20.917u      1.317s     12.240w     23 calls
| JKGrad: ABx                       :      7.517u      0.200s      4.377w     23 calls
| | Libint2ERI::Libint2ERI          :      0.100u      0.000s      0.023w     23 calls
| JKGrad: Amnx                      :    494.067u      6.617s    259.356w     23 calls
| | Libint2ERI::Libint2ERI          :      3.933u      0.150s      2.367w     23 calls
| | Libint2ErfERI::Libint2ErfERI    :      4.433u      0.067s      2.906w     23 calls
Grad: XC                            :    194.500u      0.817s    101.127w     23 calls
| Properties                        :    102.724p                          64357 calls
| Functional                        :     23.511p                          64357 calls
| V_xc gradient                     :     72.456p                          64357 calls

**************************************************************************************

Host: node74.bme.utexas.edu

Timers On : Tue Jun 14 14:06:26 2022
Timers Off: Tue Jun 14 14:40:30 2022

Wall Time:     2044.36 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :     93.067u      0.617s     55.032w     24 calls
build grid                          :     83.383u      0.350s     46.547w     24 calls
post-process grid                   :      9.667u      0.267s      8.478w     24 calls
DFH: sparsity prep                  :      3.367u      0.033s      3.463w     24 calls
