
Host: node37.bme.utexas.edu

Timers On : Mon Sep 21 14:49:07 2020
Timers Off: Mon Sep 21 14:51:10 2020

Wall Time:      122.86 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
| Properties                        :     13.099p                          17082 calls
| Functional                        :      4.045p                          17082 calls
| V_xc gradient                     :     10.133p                          17082 calls

**************************************************************************************

Host: node37.bme.utexas.edu

Timers On : Mon Sep 21 14:52:11 2020
Timers Off: Mon Sep 21 14:52:19 2020

Wall Time:        8.48 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      0.100u      0.000s      0.065w      1 calls
DFH: initialize()                   :     10.467u      0.333s      1.620w      1 calls
DFH: AO Construction                :      3.533u      0.067s      0.538w      1 calls
DFH: AO-Met. Contraction            :      3.533u      0.117s      0.550w      1 calls
HF: Form core H                     :      0.117u      0.017s      0.024w      1 calls
HF: Form S/X                        :      0.083u      0.000s      0.013w      1 calls
HF: Guess                           :      3.900u      0.200s      0.613w      1 calls
SAD Guess                           :      3.800u      0.183s      0.599w      1 calls
HF: Form G                          :      9.683u      0.467s      1.522w     13 calls
JK: D                               :      0.017u      0.000s      0.002w     13 calls
JK: USO2AO                          :      0.000u      0.000s      0.001w     13 calls
JK: JK                              :      9.650u      0.467s      1.515w     13 calls
DFH: compute_JK()                   :      9.633u      0.467s      1.515w     13 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w     13 calls
DFH: compute_J                      :      1.333u      0.083s      0.213w     13 calls
DFH: compute_K                      :      8.283u      0.367s      1.296w     13 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     13 calls
HF: Form F                          :      0.000u      0.000s      0.002w     13 calls
HF: Form D                          :      0.033u      0.000s      0.002w     13 calls
HF: DIIS                            :      0.333u      0.050s      0.058w     12 calls
DIISManager::add_entry              :      0.083u      0.000s      0.009w     12 calls
DIISManager::extrapolate            :      0.117u      0.033s      0.023w     12 calls
bMatrix setup                       :      0.033u      0.033s      0.013w     12 calls
bMatrix pseudoinverse               :      0.000u      0.000s      0.001w     12 calls
New vector                          :      0.067u      0.000s      0.010w     12 calls
HF: Form C                          :      0.950u      0.017s      0.148w     12 calls
DFMP2 Singles                       :      0.017u      0.000s      0.001w      1 calls
DFMP2 Aia                           :      8.267u      0.283s      1.396w      1 calls
DFMP2 (A|mn)                        :      6.317u      0.000s      0.948w      1 calls
DFMP2 (A|mn)C_mi                    :      0.317u      0.000s      0.047w      1 calls
DFMP2 (A|mi)C_na                    :      0.183u      0.000s      0.027w      1 calls
DFMP2 Aia Write                     :      0.067u      0.033s      0.018w      1 calls
DFMP2 Qia                           :      3.867u      0.167s      0.607w      1 calls
DFMP2 Metric                        :      2.933u      0.067s      0.450w      1 calls
DFMP2 Aia Read                      :      0.067u      0.033s      0.013w      1 calls
DFMP2 (Q|A)(A|ia)                   :      0.633u      0.000s      0.096w      1 calls
DFMP2 Qia Write                     :      0.083u      0.033s      0.017w      1 calls
DFMP2 Energy                        :      1.867u      0.100s      0.295w      1 calls
DFMP2 Qia Read                      :      0.100u      0.033s      0.019w      2 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :      0.100u      0.000s      0.065w      1 calls
DFH: initialize()                   :     10.467u      0.333s      1.620w      1 calls
| DFH: AO Construction              :      3.533u      0.067s      0.538w      1 calls
| DFH: AO-Met. Contraction          :      3.533u      0.117s      0.550w      1 calls
HF: Form core H                     :      0.117u      0.017s      0.024w      1 calls
HF: Form S/X                        :      0.083u      0.000s      0.013w      1 calls
HF: Guess                           :      3.900u      0.200s      0.613w      1 calls
| SAD Guess                         :      3.800u      0.183s      0.599w      1 calls
HF: Form G                          :      9.683u      0.467s      1.522w     13 calls
| JK: D                             :      0.017u      0.000s      0.002w     13 calls
| JK: USO2AO                        :      0.000u      0.000s      0.001w     13 calls
| JK: JK                            :      9.650u      0.467s      1.515w     13 calls
| | DFH: compute_JK()               :      9.633u      0.467s      1.515w     13 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w     13 calls
| | | DFH: compute_J                :      1.333u      0.083s      0.213w     13 calls
| | | DFH: compute_K                :      8.283u      0.367s      1.296w     13 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     13 calls
HF: Form F                          :      0.000u      0.000s      0.002w     13 calls
HF: Form D                          :      0.033u      0.000s      0.002w     13 calls
HF: DIIS                            :      0.333u      0.050s      0.058w     12 calls
| DIISManager::add_entry            :      0.083u      0.000s      0.009w     12 calls
| DIISManager::extrapolate          :      0.117u      0.033s      0.023w     12 calls
| | bMatrix setup                   :      0.033u      0.033s      0.013w     12 calls
| | bMatrix pseudoinverse           :      0.000u      0.000s      0.001w     12 calls
| | New vector                      :      0.067u      0.000s      0.010w     12 calls
HF: Form C                          :      0.950u      0.017s      0.148w     12 calls
DFMP2 Singles                       :      0.017u      0.000s      0.001w      1 calls
DFMP2 Aia                           :      8.267u      0.283s      1.396w      1 calls
| DFMP2 (A|mn)                      :      6.317u      0.000s      0.948w      1 calls
| DFMP2 (A|mn)C_mi                  :      0.317u      0.000s      0.047w      1 calls
| DFMP2 (A|mi)C_na                  :      0.183u      0.000s      0.027w      1 calls
| DFMP2 Aia Write                   :      0.067u      0.033s      0.018w      1 calls
DFMP2 Qia                           :      3.867u      0.167s      0.607w      1 calls
| DFMP2 Metric                      :      2.933u      0.067s      0.450w      1 calls
| DFMP2 Aia Read                    :      0.067u      0.033s      0.013w      1 calls
| DFMP2 (Q|A)(A|ia)                 :      0.633u      0.000s      0.096w      1 calls
| DFMP2 Qia Write                   :      0.083u      0.033s      0.017w      1 calls
DFMP2 Energy                        :      1.867u      0.100s      0.295w      1 calls
| DFMP2 Qia Read                    :      0.100u      0.033s      0.019w      2 calls

**************************************************************************************

Host: node37.bme.utexas.edu

Timers On : Mon Sep 21 14:53:20 2020
Timers Off: Mon Sep 21 15:12:18 2020

Wall Time:     1138.28 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      2.133u      0.133s      0.832w      2 calls
DFH: initialize()                   :    279.633u     15.433s     47.199w      2 calls
DFH: Total Workflow                 :    268.667u      8.217s     41.534w      2 calls
DFH: AO Construction                :    102.400u      3.117s     15.830w      2 calls
DFH: AO-Met. Contraction            :    166.267u      5.100s     25.704w      2 calls
HF: Form core H                     :      0.017u      0.000s      0.048w      1 calls
HF: Form S/X                        :      0.817u      0.067s      0.130w      1 calls
HF: Guess                           :      4.967u      0.300s      0.797w      1 calls
SAD Guess                           :      4.850u      0.283s      0.776w      1 calls
HF: Form G                          :    147.683u     48.533s     45.312w     16 calls
JK: D                               :      0.183u      0.000s      0.031w     29 calls
JK: USO2AO                          :      0.117u      0.017s      0.025w     29 calls
JK: JK                              :    389.850u     86.833s     98.378w     29 calls
DFH: compute_JK()                   :    389.850u     86.833s     98.378w     29 calls
DFH: Grabbing AOs                   :     26.733u     71.167s     41.452w     29 calls
DFH: compute_J                      :     49.500u      0.133s      7.453w     29 calls
DFH: compute_K                      :    298.883u      8.900s     46.173w     29 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     29 calls
HF: Form F                          :      0.050u      0.000s      0.021w     16 calls
HF: Form D                          :      0.100u      0.000s      0.012w     16 calls
HF: DIIS                            :      3.717u      0.517s      0.633w     15 calls
DIISManager::add_entry              :      0.300u      0.033s      0.058w     15 calls
DIISManager::extrapolate            :      1.033u      0.367s      0.204w     15 calls
bMatrix setup                       :      0.500u      0.200s      0.104w     15 calls
bMatrix pseudoinverse               :      0.017u      0.000s      0.002w     15 calls
New vector                          :      0.517u      0.167s      0.098w     15 calls
HF: Form C                          :     11.417u      0.283s      1.759w     15 calls
DFMP2 Singles                       :      0.167u      0.000s      0.023w      1 calls
DFMP2 Aia                           :     54.100u      2.400s     10.555w      1 calls
DFMP2 (A|mn)                        :     43.983u      0.000s      6.599w      1 calls
DFMP2 (A|mn)C_mi                    :      3.317u      0.017s      0.501w      1 calls
DFMP2 (A|mi)C_na                    :      2.000u      0.000s      0.301w      1 calls
DFMP2 Aia Write                     :      0.367u      0.167s      0.076w      1 calls
DFMP2 iaQ                           :     14.150u      1.017s      2.386w      1 calls
DFMP2 Metric                        :      4.917u      0.100s      0.815w      1 calls
DFMP2 Aia Read                      :      0.217u      0.100s      0.048w      1 calls
DFMP2 (Q|A)(A|ia)                   :      7.083u      0.067s      1.077w      2 calls
DFMP2 Qia Write                     :      0.433u      0.200s      0.096w      1 calls
DFMP2 Qia Read                      :      0.067u      0.133s      0.121w      3 calls
DFMP2 Bia Write                     :      0.367u      0.183s      0.080w      1 calls
DFMP2 aiQ                           :      0.600u      0.300s      0.207w      1 calls
DFMP2 Tij                           :     97.200u      4.450s     16.561w      1 calls
DFMP2 Cia Read                      :      0.000u      0.117s      0.079w      2 calls
DFMP2 I                             :     71.900u      0.117s     10.800w      2 calls
DFMP2 T2                            :      9.867u      1.150s      1.655w      2 calls
DFMP2 G                             :     37.283u      0.433s      5.655w      1 calls
DFMP2 Pab                           :     17.600u      0.967s      2.787w      1 calls
DFMP2 Gia Write                     :      0.383u      0.167s      0.083w      1 calls
DFMP2 Tab                           :     45.217u      2.033s      8.222w      1 calls
DFMP2 Qai Read                      :      0.067u      0.067s      0.085w      2 calls
DFMP2 Pij                           :      2.383u      0.000s      0.357w      1 calls
DFMP2 gamma                         :      4.367u      0.300s      0.756w      1 calls
DFMP2 Gia Read                      :      0.050u      0.150s      0.085w      2 calls
DFMP2 g                             :      3.617u      0.017s      0.544w      1 calls
DFMP2 Gia                           :      1.467u      0.517s      0.336w      1 calls
DFMP2 aiG Write                     :      0.350u      0.133s      0.074w      1 calls
DFMP2 AB^x                          :      1.250u      0.050s      0.196w      1 calls
DFMP2 Amn^x                         :    196.183u      3.167s     31.544w      1 calls
DFMP2 L                             :     88.250u      4.983s     17.805w      1 calls
DFMP2 P                             :      0.033u      0.000s      0.012w      1 calls
DFMP2 W                             :      0.100u      0.017s      0.018w      1 calls
DFMP2 Z                             :    384.350u     46.817s     78.063w      1 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :      0.667u      0.050s      0.432w      1 calls
DFH: initialize()                   :    142.800u      7.900s     24.145w      1 calls
| DFH: Total Workflow               :    136.600u      4.117s     21.111w      1 calls
| | DFH: AO Construction            :     51.933u      1.650s      8.041w      1 calls
| | DFH: AO-Met. Contraction        :     84.667u      2.467s     13.069w      1 calls
HF: Form core H                     :      0.017u      0.000s      0.048w      1 calls
HF: Form S/X                        :      0.817u      0.067s      0.130w      1 calls
HF: Guess                           :      4.967u      0.300s      0.797w      1 calls
| SAD Guess                         :      4.850u      0.283s      0.776w      1 calls
HF: Form G                          :    147.683u     48.533s     45.312w     16 calls
| JK: D                             :      0.100u      0.000s      0.016w     16 calls
| JK: USO2AO                        :      0.067u      0.017s      0.014w     16 calls
| JK: JK                            :    147.267u     48.500s     45.246w     16 calls
| | DFH: compute_JK()               :    147.267u     48.500s     45.246w     16 calls
| | | DFH: Grabbing AOs             :     14.750u     41.683s     24.287w     16 calls
| | | DFH: compute_J                :     22.533u      0.100s      3.404w     16 calls
| | | DFH: compute_K                :    101.050u      2.750s     15.570w     16 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     16 calls
HF: Form F                          :      0.050u      0.000s      0.021w     16 calls
HF: Form D                          :      0.100u      0.000s      0.012w     16 calls
HF: DIIS                            :      3.717u      0.517s      0.633w     15 calls
| DIISManager::add_entry            :      0.300u      0.033s      0.058w     15 calls
| DIISManager::extrapolate          :      1.033u      0.367s      0.204w     15 calls
| | bMatrix setup                   :      0.500u      0.200s      0.104w     15 calls
| | bMatrix pseudoinverse           :      0.017u      0.000s      0.002w     15 calls
| | New vector                      :      0.517u      0.167s      0.098w     15 calls
HF: Form C                          :     11.417u      0.283s      1.759w     15 calls
DFMP2 Singles                       :      0.167u      0.000s      0.023w      1 calls
DFMP2 Aia                           :     54.100u      2.400s     10.555w      1 calls
| DFMP2 (A|mn)                      :     43.983u      0.000s      6.599w      1 calls
| DFMP2 (A|mn)C_mi                  :      3.317u      0.017s      0.501w      1 calls
| DFMP2 (A|mi)C_na                  :      2.000u      0.000s      0.301w      1 calls
| DFMP2 Aia Write                   :      0.367u      0.167s      0.076w      1 calls
DFMP2 iaQ                           :     14.150u      1.017s      2.386w      1 calls
| DFMP2 Metric                      :      4.917u      0.100s      0.815w      1 calls
