
Host: node44.bme.utexas.edu

Timers On : Fri Nov  5 07:18:25 2021
Timers Off: Fri Nov  5 08:35:59 2021

Wall Time:     4654.47 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
| JKGrad: ABx                       :     11.883u      0.233s      7.277w      7 calls
| JKGrad: Amnx                      :   1936.067u     21.933s   1174.852w      7 calls
Grad: XC                            :    165.350u      1.000s     99.827w      7 calls
| Properties                        :     75.500u      0.467s     46.071w  40065 calls
| Functional                        :     17.600u      0.167s     11.063w  40065 calls
| V_xc gradient                     :     71.717u      0.350s     42.287w  40065 calls

**************************************************************************************

Host: node44.bme.utexas.edu

Timers On : Fri Nov  5 08:36:00 2021
Timers Off: Fri Nov  5 11:55:54 2021

Wall Time:    11994.16 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :    367.467u      1.317s    221.294w     17 calls
JK: (A|mn)                          :   1030.183u      4.283s    620.753w     17 calls
JK: (A|Q)^-1/2                      :    206.400u      1.350s    124.639w     17 calls
JK: (Q|mn)                          :    419.683u      6.883s    255.958w     17 calls
JK: (A|mn)^L                        :    297.733u      0.850s    179.157w     17 calls
JK: (A|Q)^-1                        :    206.200u      0.800s    124.195w     17 calls
JK: (Q|mn)^L                        :    416.917u      5.650s    253.577w     17 calls
JK: (A|mn)^R                        :    360.667u      1.433s    217.292w     17 calls
HF: Form core H                     :      0.050u      0.100s      0.748w     17 calls
HF: Form S/X                        :      1.067u      0.017s      0.664w     17 calls
HF: Guess                           :      0.817u      0.000s      0.506w     17 calls
SAD Guess                           :      0.767u      0.000s      0.463w      1 calls
HF: Form G                          :   8807.233u    359.483s   5500.555w    215 calls
RV: Form V                          :   2438.167u    122.867s   1536.779w    215 calls
Properties                          :   1063.250u     79.750s    687.321w 1332694 calls
Functional                          :    590.550u     26.000s    369.859w 1332694 calls
V_xc                                :   1002.550u     17.600s    612.251w 1235043 calls
JK: D                               :      0.367u      0.050s      0.186w    215 calls
JK: USO2AO                          :      0.117u      0.017s      0.094w    215 calls
JK: JK                              :   6368.233u    236.400s   3963.217w    215 calls
JK: J                               :     46.300u     18.933s     39.011w    215 calls
JK: J1                              :     28.183u     18.867s     28.214w    215 calls
JK: J2                              :     17.867u      0.067s     10.682w    215 calls
JK: K                               :   2399.517u     15.067s   1448.994w    215 calls
JK: K1                              :   1905.317u     11.333s   1150.191w    215 calls
JK: K2                              :    494.167u      3.717s    298.767w    215 calls
JK: wK                              :   3864.967u     62.867s   2356.944w    645 calls
JK: wK1                             :   3362.683u     55.583s   2051.184w   1290 calls
JK: wK2                             :    502.167u      7.250s    305.677w    645 calls
JK: AO2USO                          :      0.000u      0.000s      0.001w    215 calls
HF: Form F                          :      0.183u      0.000s      0.107w    215 calls
HF: Form D                          :      0.217u      0.000s      0.161w    215 calls
HF: DIIS                            :      5.050u      1.067s      3.842w    214 calls
DIISManager::add_entry              :      0.133u      0.333s      0.330w    198 calls
DIISManager::extrapolate            :      0.417u      0.533s      0.640w    198 calls
bMatrix setup                       :      0.167u      0.333s      0.293w    198 calls
bMatrix pseudoinverse               :      0.033u      0.033s      0.019w    198 calls
New vector                          :      0.200u      0.167s      0.325w    198 calls
HF: Form C                          :     13.500u      0.300s      8.150w    214 calls
Grad: V T Perturb                   :     79.333u      0.067s     47.665w     17 calls
Grad: S                             :      0.567u      0.000s      0.349w     17 calls
Grad: JK                            :   6608.967u    131.233s   4045.307w     17 calls
JKGrad: Amn                         :    595.867u     23.750s    371.806w     17 calls
JKGrad: Awmn                        :    710.433u     25.050s    441.335w     17 calls
JKGrad: AB                          :    325.200u      5.583s    198.549w     17 calls
JKGrad: UV                          :    116.150u      4.050s     72.130w     17 calls
JKGrad: ABx                         :     29.217u      0.650s     17.905w     17 calls
JKGrad: Amnx                        :   4826.917u     71.033s   2939.000w     17 calls
Grad: XC                            :    410.950u      2.767s    248.230w     17 calls
V_xc gradient                       :    169.300u      1.150s    103.091w  97651 calls

--------------------------------------------------------------------------------------
V: Grid                             :    367.467u      1.317s    221.294w     17 calls
JK: (A|mn)                          :   1030.183u      4.283s    620.753w     17 calls
JK: (A|Q)^-1/2                      :    206.400u      1.350s    124.639w     17 calls
JK: (Q|mn)                          :    419.683u      6.883s    255.958w     17 calls
JK: (A|mn)^L                        :    297.733u      0.850s    179.157w     17 calls
JK: (A|Q)^-1                        :    206.200u      0.800s    124.195w     17 calls
JK: (Q|mn)^L                        :    416.917u      5.650s    253.577w     17 calls
JK: (A|mn)^R                        :    360.667u      1.433s    217.292w     17 calls
HF: Form core H                     :      0.050u      0.100s      0.748w     17 calls
HF: Form S/X                        :      1.067u      0.017s      0.664w     17 calls
HF: Guess                           :      0.817u      0.000s      0.506w     17 calls
| SAD Guess                         :      0.767u      0.000s      0.463w      1 calls
HF: Form G                          :   8807.233u    359.483s   5500.555w    215 calls
| RV: Form V                        :   2438.167u    122.867s   1536.779w    215 calls
| | Properties                      :    867.783u     78.567s    570.466w 1235043 calls
| | Functional                      :    546.533u     25.650s    342.620w 1235043 calls
| | V_xc                            :   1002.550u     17.600s    612.251w 1235043 calls
| JK: D                             :      0.367u      0.050s      0.186w    215 calls
| JK: USO2AO                        :      0.117u      0.017s      0.094w    215 calls
| JK: JK                            :   6368.233u    236.400s   3963.217w    215 calls
| | JK: J                           :     46.300u     18.933s     39.011w    215 calls
| | | JK: J1                        :     28.183u     18.867s     28.214w    215 calls
| | | JK: J2                        :     17.867u      0.067s     10.682w    215 calls
| | JK: K                           :   2399.517u     15.067s   1448.994w    215 calls
| | | JK: K1                        :   1905.317u     11.333s   1150.191w    215 calls
| | | JK: K2                        :    494.167u      3.717s    298.767w    215 calls
| | JK: wK                          :   3864.967u     62.867s   2356.944w    645 calls
| | | JK: wK1                       :   3362.683u     55.583s   2051.184w   1290 calls
| | | JK: wK2                       :    502.167u      7.250s    305.677w    645 calls
| JK: AO2USO                        :      0.000u      0.000s      0.001w    215 calls
HF: Form F                          :      0.183u      0.000s      0.107w    215 calls
HF: Form D                          :      0.217u      0.000s      0.161w    215 calls
HF: DIIS                            :      5.050u      1.067s      3.842w    214 calls
| DIISManager::add_entry            :      0.133u      0.333s      0.330w    198 calls
| DIISManager::extrapolate          :      0.417u      0.533s      0.640w    198 calls
| | bMatrix setup                   :      0.167u      0.333s      0.293w    198 calls
| | bMatrix pseudoinverse           :      0.033u      0.033s      0.019w    198 calls
| | New vector                      :      0.200u      0.167s      0.325w    198 calls
HF: Form C                          :     13.500u      0.300s      8.150w    214 calls
Grad: V T Perturb                   :     79.333u      0.067s     47.665w     17 calls
Grad: S                             :      0.567u      0.000s      0.349w     17 calls
Grad: JK                            :   6608.967u    131.233s   4045.307w     17 calls
| JKGrad: Amn                       :    595.867u     23.750s    371.806w     17 calls
| JKGrad: Awmn                      :    710.433u     25.050s    441.335w     17 calls
| JKGrad: AB                        :    325.200u      5.583s    198.549w     17 calls
| JKGrad: UV                        :    116.150u      4.050s     72.130w     17 calls
| JKGrad: ABx                       :     29.217u      0.650s     17.905w     17 calls
| JKGrad: Amnx                      :   4826.917u     71.033s   2939.000w     17 calls
Grad: XC                            :    410.950u      2.767s    248.230w     17 calls
| Properties                        :    195.467u      1.183s    116.855w  97651 calls
| Functional                        :     44.017u      0.350s     27.239w  97651 calls
| V_xc gradient                     :    169.300u      1.150s    103.091w  97651 calls

**************************************************************************************

Host: node44.bme.utexas.edu

Timers On : Fri Nov  5 11:55:55 2021
