
Host: node37.bme.utexas.edu

Timers On : Wed Jul 28 13:46:40 2021
Timers Off: Wed Jul 28 13:47:02 2021

Wall Time:       22.22 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
| | bMatrix pseudoinverse           :      0.000u      0.017s      0.004w     47 calls
| | New vector                      :      0.017u      0.000s      0.008w     47 calls
HF: Form C                          :      0.633u      0.017s      0.099w     50 calls
DFMP2 Singles                       :      0.017u      0.000s      0.001w      4 calls
DFMP2 Aia                           :      5.783u      0.183s      0.906w      4 calls
| DFMP2 (A|mn)                      :      1.950u      0.000s      0.293w      4 calls
| DFMP2 (A|mn)C_mi                  :      0.133u      0.000s      0.019w      4 calls
| DFMP2 (A|mi)C_na                  :      0.067u      0.000s      0.010w      4 calls
| DFMP2 Aia Write                   :      0.067u      0.033s      0.014w      4 calls
DFMP2 iaQ                           :      3.717u      0.183s      0.602w      4 calls
| DFMP2 Metric                      :      2.700u      0.100s      0.420w      4 calls
| DFMP2 Aia Read                    :      0.017u      0.000s      0.010w      4 calls
| DFMP2 (Q|A)(A|ia)                 :      0.383u      0.000s      0.055w      8 calls
| DFMP2 Qia Write                   :      0.050u      0.017s      0.013w      4 calls
| DFMP2 Qia Read                    :      0.033u      0.017s      0.006w      4 calls
| DFMP2 Bia Write                   :      0.067u      0.017s      0.014w      4 calls
DFMP2 aiQ                           :      0.350u      0.067s      0.072w      4 calls
DFMP2 Tij                           :      4.217u      0.350s      0.690w      4 calls
| DFMP2 Qia Read                    :      0.083u      0.000s      0.010w      8 calls
| DFMP2 Cia Read                    :      0.033u      0.017s      0.008w      4 calls
| DFMP2 I                           :      0.950u      0.000s      0.144w      4 calls
| DFMP2 T2                          :      0.550u      0.000s      0.083w      4 calls
| DFMP2 G                           :      0.933u      0.000s      0.143w      4 calls
| DFMP2 Pab                         :      0.433u      0.000s      0.065w      4 calls
| DFMP2 Gia Write                   :      0.083u      0.050s      0.017w      4 calls
DFMP2 Tab                           :      3.333u      0.533s      0.596w      4 calls
| DFMP2 Qai Read                    :      0.067u      0.033s      0.013w      8 calls
| DFMP2 I                           :      1.000u      0.000s      0.145w      4 calls
| DFMP2 T2                          :      0.583u      0.000s      0.090w      4 calls
| DFMP2 Pij                         :      0.467u      0.283s      0.115w      4 calls
DFMP2 gamma                         :      0.483u      0.067s      0.090w      4 calls
| DFMP2 Gia Read                    :      0.017u      0.033s      0.006w      4 calls
| DFMP2 Cia Read                    :      0.050u      0.017s      0.007w      4 calls
| DFMP2 g                           :      0.200u      0.000s      0.031w      4 calls
DFMP2 Gia                           :      0.533u      0.100s      0.102w      4 calls
| DFMP2 Gia Read                    :      0.017u      0.000s      0.004w      4 calls
| DFMP2 aiG Write                   :      0.067u      0.017s      0.016w      4 calls
DFMP2 AB^x                          :      2.067u      0.033s      0.325w      4 calls
DFMP2 Amn^x                         :     12.700u      0.367s      1.967w      4 calls
DFMP2 L                             :      6.433u      0.217s      1.004w      4 calls
DFMP2 P                             :      0.150u      0.017s      0.033w      4 calls
DFMP2 W                             :      0.183u      0.000s      0.035w      4 calls
DFMP2 Z                             :     20.567u      0.700s      3.198w      4 calls
| DFH: sparsity prep                :      1.400u      0.017s      0.216w      4 calls
| DFH: initialize()                 :      9.117u      0.417s      1.428w      4 calls
| | DFH: AO Construction            :      1.483u      0.050s      0.228w      4 calls
| | DFH: AO-Met. Contraction        :      1.583u      0.117s      0.257w      4 calls
| JK: D                             :      0.000u      0.000s      0.003w     46 calls
| JK: USO2AO                        :      0.017u      0.000s      0.002w     46 calls
| JK: JK                            :      9.083u      0.183s      1.380w     46 calls
| | DFH: compute_JK()               :      9.083u      0.183s      1.379w     46 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w     46 calls
| | | DFH: compute_J                :      1.133u      0.050s      0.178w     46 calls
| | | DFH: compute_K                :      7.933u      0.133s      1.198w     46 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     46 calls
DFMP2 grad                          :     36.967u      2.117s      6.165w      4 calls
| Grad: V T Perturb                 :      2.517u      0.350s      0.431w      4 calls
| Grad: S                           :      0.017u      0.000s      0.002w      4 calls
| Grad: JK                          :     33.850u      1.733s      5.626w      4 calls
| | CorrGrad: Amn                   :      6.100u      0.333s      0.972w      4 calls
| | CorrGrad: AB                    :      6.617u      0.333s      1.046w      4 calls
| | CorrGrad: UV                    :      1.233u      0.100s      0.196w      4 calls
| | CorrGrad: ABx                   :      1.983u      0.050s      0.307w      4 calls
| | CorrGrad: Amnx                  :     15.200u      0.700s      2.387w      4 calls

**************************************************************************************

Host: node37.bme.utexas.edu

Timers On : Wed Jul 28 13:48:03 2021
Timers Off: Wed Jul 28 13:48:22 2021

Wall Time:       19.45 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      0.383u      0.033s      0.094w      2 calls
DFH: initialize()                   :      5.550u      0.350s      0.886w      2 calls
DFH: AO Construction                :      1.350u      0.067s      0.212w      2 calls
DFH: AO-Met. Contraction            :      1.117u      0.133s      0.187w      2 calls
HF: Form core H                     :      0.117u      0.017s      0.024w      1 calls
HF: Form S/X                        :      0.017u      0.000s      0.004w      1 calls
HF: Guess                           :      2.117u      0.100s      0.332w      1 calls
SAD Guess                           :      2.033u      0.100s      0.318w      1 calls
HF: Form G                          :      2.617u      0.233s      0.428w     13 calls
JK: D                               :      0.000u      0.000s      0.002w     23 calls
JK: USO2AO                          :      0.000u      0.000s      0.001w     23 calls
JK: JK                              :      5.650u      0.333s      0.895w     23 calls
DFH: compute_JK()                   :      5.650u      0.333s      0.894w     23 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w     23 calls
DFH: compute_J                      :      0.750u      0.217s      0.146w     23 calls
DFH: compute_K                      :      4.883u      0.117s      0.742w     23 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     23 calls
HF: Form F                          :      0.000u      0.000s      0.001w     13 calls
HF: Form D                          :      0.000u      0.000s      0.001w     13 calls
HF: DIIS                            :      0.183u      0.050s      0.033w     12 calls
DIISManager::add_entry              :      0.017u      0.000s      0.008w     12 calls
DIISManager::extrapolate            :      0.083u      0.033s      0.012w     12 calls
bMatrix setup                       :      0.033u      0.017s      0.006w     12 calls
bMatrix pseudoinverse               :      0.000u      0.000s      0.002w     12 calls
New vector                          :      0.050u      0.017s      0.004w     12 calls
HF: Form C                          :      0.333u      0.000s      0.047w     12 calls
DFMP2 Singles                       :      0.000u      0.000s      0.000w      1 calls
DFMP2 Aia                           :      2.700u      0.150s      0.428w      1 calls
DFMP2 (A|mn)                        :      1.400u      0.000s      0.210w      1 calls
DFMP2 (A|mn)C_mi                    :      0.067u      0.000s      0.009w      1 calls
DFMP2 (A|mi)C_na                    :      0.033u      0.000s      0.007w      1 calls
DFMP2 Aia Write                     :      0.033u      0.017s      0.004w      1 calls
DFMP2 iaQ                           :      1.850u      0.150s      0.306w      1 calls
DFMP2 Metric                        :      1.367u      0.083s      0.217w      1 calls
DFMP2 Aia Read                      :      0.017u      0.017s      0.004w      1 calls
DFMP2 (Q|A)(A|ia)                   :      0.250u      0.000s      0.038w      2 calls
DFMP2 Qia Write                     :      0.017u      0.000s      0.003w      1 calls
DFMP2 Qia Read                      :      0.033u      0.000s      0.005w      3 calls
DFMP2 Bia Write                     :      0.017u      0.000s      0.004w      1 calls
DFMP2 aiQ                           :      0.083u      0.017s      0.017w      1 calls
DFMP2 Tij                           :      0.833u      0.067s      0.135w      1 calls
DFMP2 Cia Read                      :      0.000u      0.000s      0.004w      2 calls
DFMP2 I                             :      0.583u      0.017s      0.089w      2 calls
DFMP2 T2                            :      0.167u      0.000s      0.023w      2 calls
DFMP2 G                             :      0.200u      0.000s      0.030w      1 calls
