    -2.76492900    -0.60344600    -0.67728100
    -3.01024100    -0.52470100    -0.43477500
    -2.98366500    -0.87843400    -0.42784600
    -2.89834400    -1.22275600    -0.42091700
    -3.17763700    -0.08126900    -0.17148200
    -3.22078600    -0.43356300    -0.16455400
    -3.20970900    -0.78832200    -0.15762500
    -3.14477000    -1.13726600    -0.15069600
    -3.02758600    -1.47230300    -0.14376700
    -2.86097000    -1.78571000    -0.13683900
    -2.64885800    -2.07030800    -0.12991000
    -3.30232400     0.16264300     0.11952500
    -3.37672100    -0.18454400     0.12645400
    -3.40110900    -0.53877600     0.13338300
    -3.37506800    -0.89289300     0.14031100
    -3.29919200    -1.23976800     0.14724000
    -3.17507500    -1.57244700     0.15416900
    -3.00526600    -1.88429300     0.16109800
    -2.79321900    -2.16911000     0.16802600
    -2.54321000    -2.42126500     0.17495500
    -2.26025400    -2.63579800     0.18188400
    -3.25713600     0.66464800     0.42439000
    -3.39592200     0.33771600     0.43131900
    -3.48946100    -0.00491800     0.43824700
    -3.53609900    -0.35701700     0.44517600
    -3.53503600    -0.71219100     0.45210500
    -3.48633800    -1.06401500     0.45903400
    -3.39092900    -1.40614100     0.46596200
    -3.25057100    -1.73241300     0.47289100
    -3.06783100    -2.03698100     0.47982000
    -2.84602700    -2.31439800     0.48674900
    -2.58917000    -2.55971900     0.49367700
    -2.30188200    -2.76858600     0.50060600
    -1.98932100    -2.93730500     0.50753500
    -1.65707600    -3.06290500     0.51446400
    -1.31107400    -3.14319100     0.52139200
    -3.26401100     0.86883500     0.75004100
    -3.42399400     0.55164600     0.75697000
    -3.54153000     0.21640100     0.76389900
    -3.61466500    -0.13124400     0.77082700
    -3.64219600    -0.48543100     0.77775600
    -3.62368700    -0.84020500     0.78468500
    -3.55947600    -1.18961300     0.79161400
    -3.45066500    -1.52779900     0.79854200
    -3.29910300    -1.84910800     0.80547100
    -3.10734800    -2.14817600     0.81240000
    -2.87862600    -2.42001900     0.81932900
    -2.61677400    -2.66011700     0.82625700
    -2.32617400    -2.86448600     0.83318600
    -2.01168000    -3.02974100     0.84011500
    -1.67853500    -3.15315600     0.84704400
    -1.33228400    -3.23270100     0.85397200
    -0.97867800    -3.26708100     0.86090100
    -0.62358500    -3.25574800     0.86783000
    -0.27288500    -3.19891300     0.87475800
    -3.12844500     1.18439600     1.08262100
    -3.32562900     0.88881600     1.08955000
    -3.48375800     0.57062500     1.09647800
    -3.60029300     0.23496000     1.10340700
    -3.67336800    -0.11276400     1.11033600
    -3.70181900    -0.46694400     1.11726500
    -3.68519900    -0.82187700     1.12419300
