
Host: node165.bme.utexas.edu

Timers On : Sat Nov 18 08:08:34 2023
Timers Off: Sat Nov 18 08:08:45 2023

Wall Time:       10.89 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      0.900u      0.067s      0.507w      1 calls
build grid                          :      0.583u      0.050s      0.429w      1 calls
post-process grid                   :      0.317u      0.017s      0.078w      1 calls
DFH: sparsity prep                  :      0.017u      0.017s      0.017w      1 calls
Libint2ERI::Libint2ERI              :      0.067u      0.017s      0.022w      7 calls
DFH: initialize()                   :      5.600u      0.200s      1.382w      1 calls
Libint2ErfERI::Libint2ErfERI        :      0.183u      0.000s      0.084w      1 calls
DFH: AO Construction                :      0.517u      0.017s      0.086w      1 calls
DFH: AO-Met. Contraction            :      0.450u      0.000s      0.067w      2 calls
DFH: wAO Construction               :      0.800u      0.000s      0.186w      1 calls
DFH: wAO Copy                       :      0.117u      0.017s      0.014w      1 calls
HF: Form core H                     :      0.617u      0.050s      0.189w      1 calls
HF: Form S/X                        :      0.217u      0.000s      0.043w      1 calls
HF: Guess                           :      1.383u      0.067s      0.355w      1 calls
SAD Guess                           :      1.350u      0.067s      0.352w      1 calls
HF: Form G                          :     11.600u      1.317s      2.494w     10 calls
RV: Form V                          :      9.417u      0.867s      1.958w     10 calls
Properties                          :      2.897p                          13370 calls
Functional                          :      2.535p                          13370 calls
V_xc                                :      3.325p                          13370 calls
JK: D                               :      0.033u      0.000s      0.005w     10 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w     10 calls
JK: JK                              :      1.750u      0.450s      0.452w     10 calls
DFH: compute_JK()                   :      0.667u      0.117s      0.155w     10 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w     10 calls
DFH: compute_J                      :      0.200u      0.000s      0.036w     10 calls
DFH: compute_K                      :      0.350u      0.100s      0.102w     10 calls
DFH: compute_wK()                   :      1.083u      0.333s      0.297w     10 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     10 calls
HF: Form F                          :      0.000u      0.000s      0.000w     10 calls
HF: Form D                          :      0.000u      0.000s      0.000w     10 calls
HF: DIIS                            :      1.533u      0.133s      0.944w      9 calls
HF: Form C                          :      0.583u      0.017s      0.130w      9 calls

--------------------------------------------------------------------------------------
V: Grid                             :      0.900u      0.067s      0.507w      1 calls
| build grid                        :      0.583u      0.050s      0.429w      1 calls
| post-process grid                 :      0.317u      0.017s      0.078w      1 calls
DFH: sparsity prep                  :      0.017u      0.017s      0.017w      1 calls
| Libint2ERI::Libint2ERI            :      0.017u      0.017s      0.012w      1 calls
DFH: initialize()                   :      5.600u      0.200s      1.382w      1 calls
| Libint2ERI::Libint2ERI            :      0.050u      0.000s      0.010w      6 calls
| Libint2ErfERI::Libint2ErfERI      :      0.183u      0.000s      0.084w      1 calls
| DFH: AO Construction              :      0.517u      0.017s      0.086w      1 calls
| DFH: AO-Met. Contraction          :      0.450u      0.000s      0.067w      2 calls
| DFH: wAO Construction             :      0.800u      0.000s      0.186w      1 calls
| DFH: wAO Copy                     :      0.117u      0.017s      0.014w      1 calls
HF: Form core H                     :      0.617u      0.050s      0.189w      1 calls
HF: Form S/X                        :      0.217u      0.000s      0.043w      1 calls
HF: Guess                           :      1.383u      0.067s      0.355w      1 calls
| SAD Guess                         :      1.350u      0.067s      0.352w      1 calls
HF: Form G                          :     11.600u      1.317s      2.494w     10 calls
| RV: Form V                        :      9.417u      0.867s      1.958w     10 calls
| | Properties                      :      2.897p                          13370 calls
| | Functional                      :      2.535p                          13370 calls
| | V_xc                            :      3.325p                          13370 calls
| JK: D                             :      0.033u      0.000s      0.005w     10 calls
| JK: USO2AO                        :      0.000u      0.000s      0.000w     10 calls
| JK: JK                            :      1.750u      0.450s      0.452w     10 calls
| | DFH: compute_JK()               :      0.667u      0.117s      0.155w     10 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w     10 calls
| | | DFH: compute_J                :      0.200u      0.000s      0.036w     10 calls
| | | DFH: compute_K                :      0.350u      0.100s      0.102w     10 calls
| | DFH: compute_wK()               :      1.083u      0.333s      0.297w     10 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     10 calls
HF: Form F                          :      0.000u      0.000s      0.000w     10 calls
HF: Form D                          :      0.000u      0.000s      0.000w     10 calls
HF: DIIS                            :      1.533u      0.133s      0.944w      9 calls
HF: Form C                          :      0.583u      0.017s      0.130w      9 calls

**************************************************************************************

Host: node165.bme.utexas.edu

Timers On : Sat Nov 18 08:08:46 2023
Timers Off: Sat Nov 18 08:08:57 2023

Wall Time:       10.59 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      0.883u      0.067s      0.422w      1 calls
build grid                          :      0.633u      0.033s      0.336w      1 calls
post-process grid                   :      0.250u      0.033s      0.085w      1 calls
DFH: sparsity prep                  :      0.033u      0.000s      0.048w      1 calls
Libint2ERI::Libint2ERI              :      0.067u      0.000s      0.055w      7 calls
DFH: initialize()                   :      5.883u      0.300s      1.699w      1 calls
Libint2ErfERI::Libint2ErfERI        :      0.100u      0.000s      0.031w      1 calls
DFH: AO Construction                :      0.450u      0.017s      0.110w      1 calls
DFH: AO-Met. Contraction            :      0.467u      0.017s      0.101w      2 calls
DFH: wAO Construction               :      0.767u      0.017s      0.151w      1 calls
DFH: wAO Copy                       :      0.133u      0.000s      0.019w      1 calls
HF: Form core H                     :      0.200u      0.017s      0.088w      1 calls
HF: Form S/X                        :      0.117u      0.017s      0.034w      1 calls
HF: Guess                           :      1.067u      0.083s      0.255w      1 calls
SAD Guess                           :      1.033u      0.083s      0.248w      1 calls
HF: Form G                          :     12.717u      1.333s      2.322w     10 calls
RV: Form V                          :     10.317u      0.783s      1.766w     10 calls
Properties                          :      2.437p                          13330 calls
Functional                          :      2.326p                          13330 calls
V_xc                                :      3.559p                          13330 calls
JK: D                               :      0.033u      0.000s      0.015w     10 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w     10 calls
JK: JK                              :      2.050u      0.550s      0.490w     10 calls
DFH: compute_JK()                   :      1.250u      0.367s      0.311w     10 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w     10 calls
DFH: compute_J                      :      0.500u      0.000s      0.102w     10 calls
DFH: compute_K                      :      0.600u      0.367s      0.183w     10 calls
DFH: compute_wK()                   :      0.800u      0.183s      0.179w     10 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     10 calls
HF: Form F                          :      0.000u      0.000s      0.001w     10 calls
HF: Form D                          :      0.000u      0.000s      0.000w     10 calls
HF: DIIS                            :      2.817u      0.167s      1.212w      9 calls
HF: Form C                          :      0.633u      0.017s      0.137w      9 calls

--------------------------------------------------------------------------------------
V: Grid                             :      0.883u      0.067s      0.422w      1 calls
| build grid                        :      0.633u      0.033s      0.336w      1 calls
| post-process grid                 :      0.250u      0.033s      0.085w      1 calls
DFH: sparsity prep                  :      0.033u      0.000s      0.048w      1 calls
| Libint2ERI::Libint2ERI            :      0.017u      0.000s      0.035w      1 calls
DFH: initialize()                   :      5.883u      0.300s      1.699w      1 calls
| Libint2ERI::Libint2ERI            :      0.050u      0.000s      0.020w      6 calls
| Libint2ErfERI::Libint2ErfERI      :      0.100u      0.000s      0.031w      1 calls
| DFH: AO Construction              :      0.450u      0.017s      0.110w      1 calls
| DFH: AO-Met. Contraction          :      0.467u      0.017s      0.101w      2 calls
| DFH: wAO Construction             :      0.767u      0.017s      0.151w      1 calls
| DFH: wAO Copy                     :      0.133u      0.000s      0.019w      1 calls
HF: Form core H                     :      0.200u      0.017s      0.088w      1 calls
HF: Form S/X                        :      0.117u      0.017s      0.034w      1 calls
HF: Guess                           :      1.067u      0.083s      0.255w      1 calls
| SAD Guess                         :      1.033u      0.083s      0.248w      1 calls
HF: Form G                          :     12.717u      1.333s      2.322w     10 calls
| RV: Form V                        :     10.317u      0.783s      1.766w     10 calls
| | Properties                      :      2.437p                          13330 calls
| | Functional                      :      2.326p                          13330 calls
| | V_xc                            :      3.559p                          13330 calls
| JK: D                             :      0.033u      0.000s      0.015w     10 calls
| JK: USO2AO                        :      0.000u      0.000s      0.000w     10 calls
| JK: JK                            :      2.050u      0.550s      0.490w     10 calls
| | DFH: compute_JK()               :      1.250u      0.367s      0.311w     10 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w     10 calls
| | | DFH: compute_J                :      0.500u      0.000s      0.102w     10 calls
| | | DFH: compute_K                :      0.600u      0.367s      0.183w     10 calls
| | DFH: compute_wK()               :      0.800u      0.183s      0.179w     10 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     10 calls
HF: Form F                          :      0.000u      0.000s      0.001w     10 calls
HF: Form D                          :      0.000u      0.000s      0.000w     10 calls
HF: DIIS                            :      2.817u      0.167s      1.212w      9 calls
HF: Form C                          :      0.633u      0.017s      0.137w      9 calls

**************************************************************************************

Host: node165.bme.utexas.edu

Timers On : Sat Nov 18 08:08:57 2023
Timers Off: Sat Nov 18 08:09:04 2023

Wall Time:        6.93 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      1.033u      0.067s      0.296w      1 calls
build grid                          :      0.500u      0.017s      0.164w      1 calls
post-process grid                   :      0.533u      0.050s      0.132w      1 calls
DFH: sparsity prep                  :      0.033u      0.000s      0.023w      1 calls
Libint2ERI::Libint2ERI              :      0.083u      0.017s      0.033w      7 calls
DFH: initialize()                   :      4.483u      0.250s      1.019w      1 calls
Libint2ErfERI::Libint2ErfERI        :      0.083u      0.000s      0.022w      1 calls
DFH: AO Construction                :      0.500u      0.000s      0.100w      1 calls
DFH: AO-Met. Contraction            :      0.417u      0.000s      0.072w      2 calls
