
Host: node165.bme.utexas.edu

Timers On : Sat Nov 18 08:36:49 2023
Timers Off: Sat Nov 18 08:37:15 2023

Wall Time:       25.67 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      4.650u      0.100s      0.599w      1 calls
build grid                          :      3.333u      0.050s      0.405w      1 calls
post-process grid                   :      1.317u      0.050s      0.193w      1 calls
DFH: sparsity prep                  :      0.167u      0.017s      0.102w      1 calls
Libint2ERI::Libint2ERI              :      0.617u      0.017s      0.133w      7 calls
DFH: initialize()                   :     57.833u      3.667s      8.727w      1 calls
Libint2ErfERI::Libint2ErfERI        :      0.600u      0.017s      0.074w      1 calls
DFH: AO Construction                :      7.417u      0.217s      0.918w      1 calls
DFH: AO-Met. Contraction            :     19.833u      0.850s      2.681w      2 calls
DFH: wAO Construction               :     15.367u      0.133s      1.864w      1 calls
DFH: wAO Copy                       :      3.867u      0.467s      0.863w      1 calls
HF: Form core H                     :      0.317u      0.017s      0.039w      1 calls
HF: Form S/X                        :      0.167u      0.000s      0.020w      1 calls
HF: Guess                           :      0.517u      0.033s      0.067w      1 calls
SAD Guess                           :      0.500u      0.033s      0.064w      1 calls
HF: Form G                          :    103.500u      8.750s     13.608w     10 calls
RV: Form V                          :     60.333u      3.367s      7.747w     10 calls
Properties                          :     13.492p                          36890 calls
Functional                          :      3.006p                          36890 calls
V_xc                                :     22.094p                          36890 calls
JK: D                               :      0.000u      0.017s      0.002w     10 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w     10 calls
JK: JK                              :     43.117u      5.350s      5.849w     10 calls
DFH: compute_JK()                   :     17.650u      2.250s      2.388w     10 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w     10 calls
DFH: compute_J                      :      2.650u      1.267s      0.473w     10 calls
DFH: compute_K                      :     11.267u      0.183s      1.384w     10 calls
DFH: compute_wK()                   :     25.450u      3.100s      3.456w     10 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     10 calls
HF: Form F                          :      0.017u      0.017s      0.004w     10 calls
HF: Form D                          :      0.017u      0.000s      0.002w     10 calls
HF: DIIS                            :      1.600u      0.100s      0.209w      9 calls
HF: Form C                          :      1.067u      0.033s      0.135w      9 calls

--------------------------------------------------------------------------------------
V: Grid                             :      4.650u      0.100s      0.599w      1 calls
| build grid                        :      3.333u      0.050s      0.405w      1 calls
| post-process grid                 :      1.317u      0.050s      0.193w      1 calls
DFH: sparsity prep                  :      0.167u      0.017s      0.102w      1 calls
| Libint2ERI::Libint2ERI            :      0.100u      0.017s      0.069w      1 calls
DFH: initialize()                   :     57.833u      3.667s      8.727w      1 calls
| Libint2ERI::Libint2ERI            :      0.517u      0.000s      0.064w      6 calls
| Libint2ErfERI::Libint2ErfERI      :      0.600u      0.017s      0.074w      1 calls
| DFH: AO Construction              :      7.417u      0.217s      0.918w      1 calls
| DFH: AO-Met. Contraction          :     19.833u      0.850s      2.681w      2 calls
| DFH: wAO Construction             :     15.367u      0.133s      1.864w      1 calls
| DFH: wAO Copy                     :      3.867u      0.467s      0.863w      1 calls
HF: Form core H                     :      0.317u      0.017s      0.039w      1 calls
HF: Form S/X                        :      0.167u      0.000s      0.020w      1 calls
HF: Guess                           :      0.517u      0.033s      0.067w      1 calls
| SAD Guess                         :      0.500u      0.033s      0.064w      1 calls
HF: Form G                          :    103.500u      8.750s     13.608w     10 calls
| RV: Form V                        :     60.333u      3.367s      7.747w     10 calls
| | Properties                      :     13.492p                          36890 calls
| | Functional                      :      3.006p                          36890 calls
| | V_xc                            :     22.094p                          36890 calls
| JK: D                             :      0.000u      0.017s      0.002w     10 calls
| JK: USO2AO                        :      0.000u      0.000s      0.000w     10 calls
| JK: JK                            :     43.117u      5.350s      5.849w     10 calls
| | DFH: compute_JK()               :     17.650u      2.250s      2.388w     10 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w     10 calls
| | | DFH: compute_J                :      2.650u      1.267s      0.473w     10 calls
| | | DFH: compute_K                :     11.267u      0.183s      1.384w     10 calls
| | DFH: compute_wK()               :     25.450u      3.100s      3.456w     10 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     10 calls
HF: Form F                          :      0.017u      0.017s      0.004w     10 calls
HF: Form D                          :      0.017u      0.000s      0.002w     10 calls
HF: DIIS                            :      1.600u      0.100s      0.209w      9 calls
HF: Form C                          :      1.067u      0.033s      0.135w      9 calls

**************************************************************************************

Host: node165.bme.utexas.edu

Timers On : Sat Nov 18 08:37:15 2023
Timers Off: Sat Nov 18 08:37:42 2023

Wall Time:       26.27 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      4.883u      0.083s      0.621w      1 calls
build grid                          :      3.500u      0.017s      0.425w      1 calls
post-process grid                   :      1.383u      0.067s      0.196w      1 calls
DFH: sparsity prep                  :      0.167u      0.017s      0.110w      1 calls
Libint2ERI::Libint2ERI              :      0.683u      0.033s      0.144w      7 calls
DFH: initialize()                   :     61.900u      2.683s      9.004w      1 calls
Libint2ErfERI::Libint2ErfERI        :      0.667u      0.000s      0.081w      1 calls
DFH: AO Construction                :      8.433u      0.317s      1.052w      1 calls
DFH: AO-Met. Contraction            :     23.550u      0.067s      3.148w      2 calls
DFH: wAO Construction               :     12.883u      0.150s      1.567w      1 calls
DFH: wAO Copy                       :      4.733u      0.067s      0.707w      1 calls
HF: Form core H                     :      0.317u      0.017s      0.038w      1 calls
HF: Form S/X                        :      0.133u      0.000s      0.017w      1 calls
HF: Guess                           :      0.600u      0.033s      0.076w      1 calls
SAD Guess                           :      0.567u      0.033s      0.073w      1 calls
HF: Form G                          :    107.533u      5.533s     13.660w     10 calls
RV: Form V                          :     62.683u      1.150s      7.688w     10 calls
Properties                          :     12.588p                          36940 calls
Functional                          :      3.127p                          36940 calls
V_xc                                :     22.590p                          36940 calls
JK: D                               :      0.033u      0.000s      0.002w     10 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w     10 calls
JK: JK                              :     44.767u      4.383s      5.962w     10 calls
DFH: compute_JK()                   :     17.733u      1.800s      2.354w     10 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w     10 calls
DFH: compute_J                      :      2.633u      0.967s      0.433w     10 calls
DFH: compute_K                      :     11.733u      0.133s      1.431w     10 calls
DFH: compute_wK()                   :     27.000u      2.583s      3.602w     10 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     10 calls
HF: Form F                          :      0.033u      0.000s      0.005w     10 calls
HF: Form D                          :      0.017u      0.000s      0.002w     10 calls
HF: DIIS                            :      1.550u      0.133s      0.206w      9 calls
HF: Form C                          :      1.017u      0.033s      0.122w      9 calls

--------------------------------------------------------------------------------------
V: Grid                             :      4.883u      0.083s      0.621w      1 calls
| build grid                        :      3.500u      0.017s      0.425w      1 calls
| post-process grid                 :      1.383u      0.067s      0.196w      1 calls
DFH: sparsity prep                  :      0.167u      0.017s      0.110w      1 calls
| Libint2ERI::Libint2ERI            :      0.100u      0.017s      0.074w      1 calls
DFH: initialize()                   :     61.900u      2.683s      9.004w      1 calls
| Libint2ERI::Libint2ERI            :      0.583u      0.017s      0.070w      6 calls
| Libint2ErfERI::Libint2ErfERI      :      0.667u      0.000s      0.081w      1 calls
| DFH: AO Construction              :      8.433u      0.317s      1.052w      1 calls
| DFH: AO-Met. Contraction          :     23.550u      0.067s      3.148w      2 calls
| DFH: wAO Construction             :     12.883u      0.150s      1.567w      1 calls
| DFH: wAO Copy                     :      4.733u      0.067s      0.707w      1 calls
HF: Form core H                     :      0.317u      0.017s      0.038w      1 calls
HF: Form S/X                        :      0.133u      0.000s      0.017w      1 calls
HF: Guess                           :      0.600u      0.033s      0.076w      1 calls
| SAD Guess                         :      0.567u      0.033s      0.073w      1 calls
HF: Form G                          :    107.533u      5.533s     13.660w     10 calls
| RV: Form V                        :     62.683u      1.150s      7.688w     10 calls
| | Properties                      :     12.588p                          36940 calls
| | Functional                      :      3.127p                          36940 calls
| | V_xc                            :     22.590p                          36940 calls
| JK: D                             :      0.033u      0.000s      0.002w     10 calls
| JK: USO2AO                        :      0.000u      0.000s      0.000w     10 calls
| JK: JK                            :     44.767u      4.383s      5.962w     10 calls
| | DFH: compute_JK()               :     17.733u      1.800s      2.354w     10 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w     10 calls
