
Host: node74.bme.utexas.edu

Timers On : Wed Jun  8 11:10:54 2022
Timers Off: Wed Jun  8 11:19:30 2022

Wall Time:      516.00 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      0.008w     20 calls
| JKGrad: Amnx                      :    271.867u      4.967s     85.522w     10 calls
| | Libint2ERI::Libint2ERI          :      3.483u      0.133s      1.080w     20 calls
| | Libint2ErfERI::Libint2ErfERI    :      3.683u      0.083s      1.393w     20 calls
Grad: XC                            :    120.033u      0.567s     36.308w     10 calls
| Properties                        :     39.785p                          33933 calls
| Functional                        :      7.390p                          33933 calls
| V_xc gradient                     :     25.098p                          33933 calls

**************************************************************************************

Host: node74.bme.utexas.edu

Timers On : Wed Jun  8 11:19:30 2022
Timers Off: Wed Jun  8 11:28:39 2022

Wall Time:      548.39 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :     70.150u      0.750s     21.514w     11 calls
DFH: sparsity prep                  :      1.567u      0.033s      0.956w     11 calls
Libint2ERI::Libint2ERI              :     10.600u      0.367s      3.605w    132 calls
DFH: initialize()                   :    235.417u      8.150s     74.617w     11 calls
Libint2ErfERI::Libint2ErfERI        :     11.467u      0.400s      3.847w     55 calls
DFH: AO Construction                :     35.483u      1.067s     11.116w     11 calls
DFH: AO-Met. Contraction            :     85.267u      0.883s     25.954w     22 calls
DFH: wAO Construction               :     40.883u      0.133s     12.346w     11 calls
DFH: wAO Copy                       :      7.400u      0.483s      2.387w     11 calls
HF: Form core H                     :      2.567u      0.067s      0.802w     11 calls
HF: Form S/X                        :      0.233u      0.000s      0.090w     11 calls
HF: Guess                           :      0.333u      0.017s      0.099w     11 calls
SAD Guess                           :      0.267u      0.017s      0.094w      1 calls
HF: Form G                          :    746.283u     36.033s    235.864w    126 calls
RV: Form V                          :    539.150u     12.733s    166.364w    126 calls
Properties                          :    149.850p                         465076 calls
Functional                          :     98.684p                         465076 calls
V_xc                                :    132.271p                         427733 calls
JK: D                               :      0.033u      0.000s      0.017w    126 calls
JK: USO2AO                          :      0.000u      0.000s      0.015w    126 calls
JK: JK                              :    206.967u     23.300s     69.432w    126 calls
DFH: compute_JK()                   :     84.833u      7.667s     27.879w    126 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w    126 calls
DFH: compute_J                      :      8.917u      1.150s      3.071w    126 calls
DFH: compute_K                      :     64.717u      0.300s     19.620w    126 calls
DFH: compute_wK()                   :    122.100u     15.633s     41.544w    126 calls
JK: AO2USO                          :      0.017u      0.000s      0.000w    126 calls
HF: Form F                          :      0.050u      0.017s      0.013w    126 calls
HF: Form D                          :      0.017u      0.000s      0.014w    126 calls
HF: DIIS                            :      1.533u      0.300s      0.562w    125 calls
DIISManager::add_entry              :      0.200u      0.017s      0.087w    115 calls
DIISManager::extrapolate            :      0.400u      0.183s      0.169w    115 calls
bMatrix setup                       :      0.217u      0.117s      0.089w    115 calls
bMatrix pseudoinverse               :      0.050u      0.000s      0.010w    115 calls
New vector                          :      0.117u      0.067s      0.069w    115 calls
HF: Form C                          :      2.900u      0.083s      0.920w    125 calls
Grad: V T Perturb                   :     10.583u      0.050s      3.211w     11 calls
Grad: S                             :      0.167u      0.000s      0.038w     11 calls
Grad: JK                            :    470.917u     11.967s    149.391w     11 calls
JKGrad: Amn                         :     57.433u      2.417s     18.657w     11 calls
JKGrad: Awmn                        :     63.317u      2.267s     20.578w     11 calls
JKGrad: AB                          :     36.583u      0.933s     11.279w     11 calls
JKGrad: UV                          :      8.383u      0.533s      2.699w     11 calls
JKGrad: ABx                         :      4.283u      0.083s      1.326w     11 calls
JKGrad: Amnx                        :    300.250u      5.550s     94.430w     11 calls
Grad: XC                            :    129.150u      0.883s     39.175w     11 calls
V_xc gradient                       :     27.719p                          37343 calls

--------------------------------------------------------------------------------------
V: Grid                             :     70.150u      0.750s     21.514w     11 calls
