
Host: node165.bme.utexas.edu

Timers On : Sat Nov 18 08:10:27 2023
Timers Off: Sat Nov 18 08:10:41 2023

Wall Time:       13.50 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      2.067u      0.083s      0.893w      1 calls
build grid                          :      1.517u      0.033s      0.661w      1 calls
post-process grid                   :      0.550u      0.050s      0.232w      1 calls
DFH: sparsity prep                  :      0.033u      0.017s      0.036w      1 calls
Libint2ERI::Libint2ERI              :      0.067u      0.017s      0.050w      7 calls
DFH: initialize()                   :      7.267u      0.233s      1.453w      1 calls
Libint2ErfERI::Libint2ErfERI        :      0.100u      0.000s      0.033w      1 calls
DFH: AO Construction                :      1.183u      0.033s      0.213w      1 calls
DFH: AO-Met. Contraction            :      0.817u      0.000s      0.130w      2 calls
DFH: wAO Construction               :      1.917u      0.000s      0.262w      1 calls
DFH: wAO Copy                       :      0.233u      0.000s      0.031w      1 calls
HF: Form core H                     :      0.267u      0.000s      0.079w      1 calls
HF: Form S/X                        :      0.067u      0.000s      0.012w      1 calls
HF: Guess                           :      1.017u      0.050s      0.246w      1 calls
SAD Guess                           :      1.000u      0.050s      0.244w      1 calls
HF: Form G                          :     20.667u      2.867s      4.556w      9 calls
RV: Form V                          :     17.667u      1.950s      3.715w      9 calls
Properties                          :      5.997p                          20250 calls
Functional                          :      4.221p                          20250 calls
V_xc                                :      7.814p                          20250 calls
JK: D                               :      0.033u      0.000s      0.012w      9 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w      9 calls
JK: JK                              :      2.500u      0.883s      0.698w      9 calls
DFH: compute_JK()                   :      1.167u      0.400s      0.312w      9 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w      9 calls
DFH: compute_J                      :      0.350u      0.050s      0.078w      9 calls
DFH: compute_K                      :      0.683u      0.350s      0.210w      9 calls
DFH: compute_wK()                   :      1.333u      0.483s      0.385w      9 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w      9 calls
HF: Form F                          :      0.050u      0.000s      0.015w      9 calls
HF: Form D                          :      0.000u      0.000s      0.000w      9 calls
HF: DIIS                            :      2.200u      0.117s      1.051w      8 calls
HF: Form C                          :      0.467u      0.000s      0.097w      8 calls

--------------------------------------------------------------------------------------
V: Grid                             :      2.067u      0.083s      0.893w      1 calls
| build grid                        :      1.517u      0.033s      0.661w      1 calls
| post-process grid                 :      0.550u      0.050s      0.232w      1 calls
DFH: sparsity prep                  :      0.033u      0.017s      0.036w      1 calls
| Libint2ERI::Libint2ERI            :      0.017u      0.017s      0.028w      1 calls
DFH: initialize()                   :      7.267u      0.233s      1.453w      1 calls
| Libint2ERI::Libint2ERI            :      0.050u      0.000s      0.022w      6 calls
| Libint2ErfERI::Libint2ErfERI      :      0.100u      0.000s      0.033w      1 calls
| DFH: AO Construction              :      1.183u      0.033s      0.213w      1 calls
| DFH: AO-Met. Contraction          :      0.817u      0.000s      0.130w      2 calls
| DFH: wAO Construction             :      1.917u      0.000s      0.262w      1 calls
| DFH: wAO Copy                     :      0.233u      0.000s      0.031w      1 calls
HF: Form core H                     :      0.267u      0.000s      0.079w      1 calls
HF: Form S/X                        :      0.067u      0.000s      0.012w      1 calls
HF: Guess                           :      1.017u      0.050s      0.246w      1 calls
| SAD Guess                         :      1.000u      0.050s      0.244w      1 calls
HF: Form G                          :     20.667u      2.867s      4.556w      9 calls
| RV: Form V                        :     17.667u      1.950s      3.715w      9 calls
| | Properties                      :      5.997p                          20250 calls
| | Functional                      :      4.221p                          20250 calls
| | V_xc                            :      7.814p                          20250 calls
| JK: D                             :      0.033u      0.000s      0.012w      9 calls
| JK: USO2AO                        :      0.000u      0.000s      0.000w      9 calls
| JK: JK                            :      2.500u      0.883s      0.698w      9 calls
| | DFH: compute_JK()               :      1.167u      0.400s      0.312w      9 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w      9 calls
| | | DFH: compute_J                :      0.350u      0.050s      0.078w      9 calls
| | | DFH: compute_K                :      0.683u      0.350s      0.210w      9 calls
| | DFH: compute_wK()               :      1.333u      0.483s      0.385w      9 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w      9 calls
HF: Form F                          :      0.050u      0.000s      0.015w      9 calls
HF: Form D                          :      0.000u      0.000s      0.000w      9 calls
HF: DIIS                            :      2.200u      0.117s      1.051w      8 calls
HF: Form C                          :      0.467u      0.000s      0.097w      8 calls

**************************************************************************************

Host: node165.bme.utexas.edu

Timers On : Sat Nov 18 08:10:42 2023
Timers Off: Sat Nov 18 08:10:54 2023

Wall Time:       11.91 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      2.767u      0.050s      0.341w      1 calls
build grid                          :      1.967u      0.017s      0.240w      1 calls
post-process grid                   :      0.800u      0.033s      0.101w      1 calls
DFH: sparsity prep                  :      0.033u      0.000s      0.016w      1 calls
Libint2ERI::Libint2ERI              :      0.083u      0.000s      0.020w      7 calls
DFH: initialize()                   :      6.167u      0.183s      0.829w      1 calls
Libint2ErfERI::Libint2ErfERI        :      0.083u      0.017s      0.010w      1 calls
DFH: AO Construction                :      0.933u      0.017s      0.143w      1 calls
DFH: AO-Met. Contraction            :      0.733u      0.000s      0.090w      2 calls
DFH: wAO Construction               :      2.117u      0.017s      0.276w      1 calls
DFH: wAO Copy                       :      0.333u      0.000s      0.050w      1 calls
HF: Form core H                     :      0.267u      0.017s      0.102w      1 calls
HF: Form S/X                        :      0.083u      0.000s      0.022w      1 calls
HF: Guess                           :      1.117u      0.083s      0.323w      1 calls
SAD Guess                           :      1.067u      0.083s      0.306w      1 calls
HF: Form G                          :     19.817u      1.350s      3.410w      9 calls
RV: Form V                          :     17.300u      0.467s      2.784w      9 calls
Properties                          :      3.487p                          20151 calls
Functional                          :      3.087p                          20151 calls
V_xc                                :      6.620p                          20151 calls
JK: D                               :      0.017u      0.000s      0.005w      9 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w      9 calls
JK: JK                              :      2.467u      0.883s      0.615w      9 calls
DFH: compute_JK()                   :      1.267u      0.483s      0.313w      9 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w      9 calls
DFH: compute_J                      :      0.467u      0.050s      0.097w      9 calls
DFH: compute_K                      :      0.533u      0.417s      0.173w      9 calls
DFH: compute_wK()                   :      1.183u      0.400s      0.302w      9 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w      9 calls
HF: Form F                          :      0.033u      0.000s      0.010w      9 calls
HF: Form D                          :      0.000u      0.000s      0.000w      9 calls
HF: DIIS                            :      1.833u      0.117s      0.970w      8 calls
HF: Form C                          :      0.550u      0.017s      0.093w      8 calls

--------------------------------------------------------------------------------------
V: Grid                             :      2.767u      0.050s      0.341w      1 calls
| build grid                        :      1.967u      0.017s      0.240w      1 calls
| post-process grid                 :      0.800u      0.033s      0.101w      1 calls
DFH: sparsity prep                  :      0.033u      0.000s      0.016w      1 calls
| Libint2ERI::Libint2ERI            :      0.017u      0.000s      0.011w      1 calls
DFH: initialize()                   :      6.167u      0.183s      0.829w      1 calls
| Libint2ERI::Libint2ERI            :      0.067u      0.000s      0.009w      6 calls
| Libint2ErfERI::Libint2ErfERI      :      0.083u      0.017s      0.010w      1 calls
| DFH: AO Construction              :      0.933u      0.017s      0.143w      1 calls
| DFH: AO-Met. Contraction          :      0.733u      0.000s      0.090w      2 calls
| DFH: wAO Construction             :      2.117u      0.017s      0.276w      1 calls
| DFH: wAO Copy                     :      0.333u      0.000s      0.050w      1 calls
HF: Form core H                     :      0.267u      0.017s      0.102w      1 calls
HF: Form S/X                        :      0.083u      0.000s      0.022w      1 calls
HF: Guess                           :      1.117u      0.083s      0.323w      1 calls
| SAD Guess                         :      1.067u      0.083s      0.306w      1 calls
HF: Form G                          :     19.817u      1.350s      3.410w      9 calls
| RV: Form V                        :     17.300u      0.467s      2.784w      9 calls
| | Properties                      :      3.487p                          20151 calls
| | Functional                      :      3.087p                          20151 calls
| | V_xc                            :      6.620p                          20151 calls
| JK: D                             :      0.017u      0.000s      0.005w      9 calls
| JK: USO2AO                        :      0.000u      0.000s      0.000w      9 calls
| JK: JK                            :      2.467u      0.883s      0.615w      9 calls
| | DFH: compute_JK()               :      1.267u      0.483s      0.313w      9 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w      9 calls
| | | DFH: compute_J                :      0.467u      0.050s      0.097w      9 calls
| | | DFH: compute_K                :      0.533u      0.417s      0.173w      9 calls
| | DFH: compute_wK()               :      1.183u      0.400s      0.302w      9 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w      9 calls
HF: Form F                          :      0.033u      0.000s      0.010w      9 calls
