
Host: node37.bme.utexas.edu

Timers On : Wed Jul 28 13:48:04 2021
Timers Off: Wed Jul 28 13:48:20 2021

Wall Time:       16.82 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
| | bMatrix pseudoinverse           :      0.050u      0.000s      0.004w     50 calls
| | New vector                      :      0.033u      0.000s      0.008w     50 calls
HF: Form C                          :      0.450u      0.050s      0.079w     53 calls
DFMP2 Singles                       :      0.017u      0.000s      0.001w      4 calls
DFMP2 Aia                           :      4.667u      0.183s      0.743w      4 calls
| DFMP2 (A|mn)                      :      1.200u      0.017s      0.178w      4 calls
| DFMP2 (A|mn)C_mi                  :      0.067u      0.000s      0.011w      4 calls
| DFMP2 (A|mi)C_na                  :      0.017u      0.000s      0.007w      4 calls
| DFMP2 Aia Write                   :      0.050u      0.000s      0.008w      4 calls
DFMP2 iaQ                           :      3.200u      0.233s      0.528w      4 calls
| DFMP2 Metric                      :      2.567u      0.133s      0.400w      4 calls
| DFMP2 Aia Read                    :      0.017u      0.017s      0.007w      4 calls
| DFMP2 (Q|A)(A|ia)                 :      0.167u      0.017s      0.032w      8 calls
| DFMP2 Qia Write                   :      0.033u      0.017s      0.008w      4 calls
| DFMP2 Qia Read                    :      0.033u      0.000s      0.003w      4 calls
| DFMP2 Bia Write                   :      0.067u      0.017s      0.007w      4 calls
DFMP2 aiQ                           :      0.300u      0.033s      0.059w      4 calls
DFMP2 Tij                           :      1.767u      0.117s      0.285w      4 calls
| DFMP2 Qia Read                    :      0.050u      0.000s      0.006w      8 calls
| DFMP2 Cia Read                    :      0.017u      0.017s      0.004w      4 calls
| DFMP2 I                           :      0.450u      0.000s      0.066w      4 calls
| DFMP2 T2                          :      0.167u      0.000s      0.027w      4 calls
| DFMP2 G                           :      0.467u      0.017s      0.067w      4 calls
| DFMP2 Pab                         :      0.167u      0.000s      0.028w      4 calls
| DFMP2 Gia Write                   :      0.050u      0.017s      0.009w      4 calls
DFMP2 Tab                           :      1.217u      0.033s      0.201w      4 calls
| DFMP2 Qai Read                    :      0.050u      0.033s      0.007w      8 calls
| DFMP2 I                           :      0.533u      0.000s      0.081w      4 calls
| DFMP2 T2                          :      0.200u      0.000s      0.032w      4 calls
| DFMP2 Pij                         :      0.183u      0.000s      0.026w      4 calls
DFMP2 gamma                         :      0.383u      0.050s      0.068w      4 calls
| DFMP2 Gia Read                    :      0.017u      0.000s      0.004w      4 calls
| DFMP2 Cia Read                    :      0.000u      0.017s      0.004w      4 calls
| DFMP2 g                           :      0.133u      0.000s      0.022w      4 calls
DFMP2 Gia                           :      0.383u      0.067s      0.077w      4 calls
| DFMP2 Gia Read                    :      0.017u      0.017s      0.002w      4 calls
| DFMP2 aiG Write                   :      0.067u      0.000s      0.009w      4 calls
DFMP2 AB^x                          :      2.067u      0.150s      0.339w      4 calls
DFMP2 Amn^x                         :      8.467u      0.233s      1.315w      4 calls
DFMP2 L                             :      4.783u      0.250s      0.762w      4 calls
DFMP2 P                             :      0.133u      0.000s      0.030w      4 calls
DFMP2 W                             :      0.183u      0.017s      0.033w      4 calls
DFMP2 Z                             :     14.083u      0.450s      2.187w      4 calls
| DFH: sparsity prep                :      1.300u      0.067s      0.209w      4 calls
| DFH: initialize()                 :      6.950u      0.267s      1.077w      4 calls
| | DFH: AO Construction            :      0.983u      0.017s      0.148w      4 calls
| | DFH: AO-Met. Contraction        :      0.750u      0.017s      0.117w      4 calls
| JK: D                             :      0.000u      0.000s      0.002w     49 calls
| JK: USO2AO                        :      0.050u      0.000s      0.002w     49 calls
| JK: JK                            :      4.933u      0.067s      0.752w     49 calls
| | DFH: compute_JK()               :      4.917u      0.067s      0.751w     49 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w     49 calls
| | | DFH: compute_J                :      0.517u      0.000s      0.091w     49 calls
| | | DFH: compute_K                :      4.400u      0.067s      0.657w     49 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     49 calls
DFMP2 grad                          :     27.550u      1.517s      4.416w      4 calls
| Grad: V T Perturb                 :      2.617u      0.300s      0.435w      4 calls
| Grad: S                           :      0.050u      0.000s      0.002w      4 calls
| Grad: JK                          :     24.283u      1.200s      3.874w      4 calls
| | CorrGrad: Amn                   :      4.633u      0.400s      0.769w      4 calls
| | CorrGrad: AB                    :      5.250u      0.250s      0.826w      4 calls
| | CorrGrad: UV                    :      0.717u      0.050s      0.113w      4 calls
| | CorrGrad: ABx                   :      1.950u      0.100s      0.311w      4 calls
| | CorrGrad: Amnx                  :      9.800u      0.217s      1.501w      4 calls

**************************************************************************************

Host: node37.bme.utexas.edu

Timers On : Wed Jul 28 13:49:21 2021
Timers Off: Wed Jul 28 13:49:37 2021

Wall Time:       15.34 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      0.317u      0.000s      0.082w      2 calls
DFH: initialize()                   :      4.183u      0.233s      0.675w      2 calls
DFH: AO Construction                :      0.933u      0.017s      0.140w      2 calls
DFH: AO-Met. Contraction            :      0.600u      0.050s      0.102w      2 calls
HF: Form core H                     :      0.117u      0.017s      0.025w      1 calls
HF: Form S/X                        :      0.017u      0.000s      0.003w      1 calls
HF: Guess                           :      3.100u      0.183s      0.492w      1 calls
SAD Guess                           :      3.017u      0.183s      0.478w      1 calls
HF: Form G                          :      1.633u      0.133s      0.261w     15 calls
JK: D                               :      0.000u      0.000s      0.002w     27 calls
JK: USO2AO                          :      0.000u      0.000s      0.001w     27 calls
JK: JK                              :      3.800u      0.183s      0.591w     27 calls
DFH: compute_JK()                   :      3.800u      0.183s      0.591w     27 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w     27 calls
DFH: compute_J                      :      0.483u      0.033s      0.084w     27 calls
DFH: compute_K                      :      3.283u      0.150s      0.501w     27 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     27 calls
HF: Form F                          :      0.000u      0.000s      0.001w     15 calls
HF: Form D                          :      0.000u      0.000s      0.001w     15 calls
HF: DIIS                            :      0.183u      0.050s      0.032w     14 calls
DIISManager::add_entry              :      0.033u      0.033s      0.008w     14 calls
DIISManager::extrapolate            :      0.033u      0.017s      0.011w     14 calls
bMatrix setup                       :      0.017u      0.000s      0.005w     14 calls
bMatrix pseudoinverse               :      0.000u      0.000s      0.002w     14 calls
New vector                          :      0.017u      0.017s      0.004w     14 calls
HF: Form C                          :      0.267u      0.000s      0.039w     14 calls
DFMP2 Singles                       :      0.017u      0.000s      0.000w      1 calls
DFMP2 Aia                           :      1.967u      0.133s      0.318w      1 calls
DFMP2 (A|mn)                        :      0.850u      0.000s      0.127w      1 calls
DFMP2 (A|mn)C_mi                    :      0.033u      0.000s      0.006w      1 calls
DFMP2 (A|mi)C_na                    :      0.033u      0.000s      0.004w      1 calls
DFMP2 Aia Write                     :      0.017u      0.000s      0.003w      1 calls
DFMP2 iaQ                           :      1.400u      0.083s      0.228w      1 calls
DFMP2 Metric                        :      1.200u      0.067s      0.191w      1 calls
DFMP2 Aia Read                      :      0.000u      0.000s      0.002w      1 calls
DFMP2 (Q|A)(A|ia)                   :      0.083u      0.000s      0.012w      2 calls
DFMP2 Qia Write                     :      0.000u      0.017s      0.002w      1 calls
DFMP2 Qia Read                      :      0.033u      0.017s      0.002w      3 calls
DFMP2 Bia Write                     :      0.017u      0.000s      0.002w      1 calls
DFMP2 aiQ                           :      0.083u      0.033s      0.019w      1 calls
DFMP2 Tij                           :      0.383u      0.050s      0.068w      1 calls
DFMP2 Cia Read                      :      0.000u      0.017s      0.002w      2 calls
DFMP2 I                             :      0.217u      0.000s      0.033w      2 calls
DFMP2 T2                            :      0.083u      0.000s      0.014w      2 calls
DFMP2 G                             :      0.083u      0.000s      0.013w      1 calls
